;i;j;chi2
0;home;Formation;0.7872441427683302
0;home;opp_Formation;0.5942454652091596
0;home;saison;0.7396986037640889
0;home;PK;0.6075795929604473
0;home;CrdR;0.7657745403633011
0;home;top_GK;0.8489845325241645
0;home;top_MF;0.8717599442693547
0;home;top_DM;0.7059323078552058
0;home;top_DF;0.964580161878929
0;home;top_FW;0.986656899241501
0;home;diff_avant;0.8311511193761896
0;home;diff_def;0.9238495207299239
0;home;diff_mil;0.21508246770591474
0;home;sup_def;0.5905525149124666
0;Formation;home;0.7872441427683302
0;Formation;opp_Formation;0.34019039780988436
0;Formation;saison;0.24792130164734819
0;Formation;PK;0.525713967127627
0;Formation;CrdR;0.12581573109053626
0;Formation;top_GK;7.635407172410317e-23
0;Formation;top_MF;1.7931043171305657e-17
0;Formation;top_DM;1.543572596011611e-06
0;Formation;top_DF;5.0042817911077984e-23
0;Formation;top_FW;3.0724549665367016e-08
0;Formation;diff_avant;5.787601884944355e-136
0;Formation;diff_def;1.8610213054797935e-42
0;Formation;diff_mil;9.070040573460089e-110
0;Formation;sup_def;6.6318559032354155e-34
0;opp_Formation;home;0.5942454652091596
0;opp_Formation;Formation;0.34019039780988425
0;opp_Formation;saison;0.0004176888339052782
0;opp_Formation;PK;0.007466792770003254
0;opp_Formation;CrdR;0.7777275903215514
0;opp_Formation;top_GK;0.5674364131353897
0;opp_Formation;top_MF;0.9501416083372257
0;opp_Formation;top_DM;0.36259447650389504
0;opp_Formation;top_DF;0.9150202134014068
0;opp_Formation;top_FW;0.5639727671317001
0;opp_Formation;diff_avant;1.3661098473194508e-47
0;opp_Formation;diff_def;3.741394276067482e-129
0;opp_Formation;diff_mil;4.2957087156649554e-130
0;opp_Formation;sup_def;1.2299249604528777e-55
0;saison;home;0.7396986037640889
0;saison;Formation;0.24792130164734819
0;saison;opp_Formation;0.0004176888339052782
0;saison;PK;0.03483393605630846
0;saison;CrdR;0.38284543818228267
0;saison;top_GK;0.7157854518467204
0;saison;top_MF;0.8759560654022687
0;saison;top_DM;0.6016381165296539
0;saison;top_DF;0.9577928496740974
0;saison;top_FW;0.8092370776386388
0;saison;diff_avant;0.06938291138119435
0;saison;diff_def;0.13354937967085032
0;saison;diff_mil;0.005221762712067162
0;saison;sup_def;0.09819300090226868
0;PK;home;0.6075795929604473
0;PK;Formation;0.5257139671276272
0;PK;opp_Formation;0.007466792770003254
0;PK;saison;0.03483393605630846
0;PK;CrdR;0.654669300741229
0;PK;top_GK;0.5391433086375539
0;PK;top_MF;0.20533718857626168
0;PK;top_DM;0.2835266355189077
0;PK;top_DF;0.15381382851296369
0;PK;top_FW;0.7141679038873614
0;PK;diff_avant;0.5653677747742478
0;PK;diff_def;0.02079327588727874
0;PK;diff_mil;0.1717622147443791
0;PK;sup_def;0.1560159882428344
0;CrdR;home;0.765774540363301
0;CrdR;Formation;0.12581573109053643
0;CrdR;opp_Formation;0.7777275903215514
0;CrdR;saison;0.38284543818228267
0;CrdR;PK;0.654669300741229
0;CrdR;top_GK;0.05107251241415132
0;CrdR;top_MF;0.00477572320009607
0;CrdR;top_DM;0.29665671988244596
0;CrdR;top_DF;0.0409039843156423
0;CrdR;top_FW;0.02707970198799539
0;CrdR;diff_avant;0.47480428010708653
0;CrdR;diff_def;0.3389766951103664
0;CrdR;diff_mil;0.41015268003343613
0;CrdR;sup_def;0.4462133311812362
0;top_GK;home;0.8489845325241645
0;top_GK;Formation;7.635407172410258e-23
0;top_GK;opp_Formation;0.5674364131353894
0;top_GK;saison;0.7157854518467204
0;top_GK;PK;0.5391433086375539
0;top_GK;CrdR;0.05107251241415132
0;top_GK;top_MF;8.02435117738427e-16
0;top_GK;top_DM;1.9589283159482066e-10
0;top_GK;top_DF;4.054403571145075e-32
0;top_GK;top_FW;8.324355797458566e-08
0;top_GK;diff_avant;3.6332008386042956e-05
0;top_GK;diff_def;3.1116446114072645e-07
0;top_GK;diff_mil;0.0006964322344840746
0;top_GK;sup_def;3.0002445565624302e-06
0;top_MF;home;0.8717599442693547
0;top_MF;Formation;1.7931043171305657e-17
0;top_MF;opp_Formation;0.9501416083372257
0;top_MF;saison;0.8759560654022687
0;top_MF;PK;0.20533718857626168
0;top_MF;CrdR;0.00477572320009607
0;top_MF;top_GK;8.02435117738427e-16
0;top_MF;top_DM;0.0021734169097963577
0;top_MF;top_DF;7.875709283894362e-06
0;top_MF;top_FW;0.008042168241476872
0;top_MF;diff_avant;1.1330714375728664e-06
0;top_MF;diff_def;0.01912002144605589
0;top_MF;diff_mil;0.0001368691573556305
0;top_MF;sup_def;0.11706040259550866
0;top_DM;home;0.7059323078552058
0;top_DM;Formation;1.5435725960116116e-06
0;top_DM;opp_Formation;0.362594476503895
0;top_DM;saison;0.6016381165296539
0;top_DM;PK;0.2835266355189077
0;top_DM;CrdR;0.29665671988244596
0;top_DM;top_GK;1.9589283159482066e-10
0;top_DM;top_MF;0.0021734169097963607
0;top_DM;top_DF;1.9861591830711035e-24
0;top_DM;top_FW;0.5354213831500745
0;top_DM;diff_avant;0.8006496905407224
0;top_DM;diff_def;0.7955061070682234
0;top_DM;diff_mil;0.1212144188976714
0;top_DM;sup_def;0.41059917311890903
0;top_DF;home;0.964580161878929
0;top_DF;Formation;5.0042817911077984e-23
0;top_DF;opp_Formation;0.9150202134014068
0;top_DF;saison;0.9577928496740974
0;top_DF;PK;0.15381382851296377
0;top_DF;CrdR;0.0409039843156423
0;top_DF;top_GK;4.054403571145075e-32
0;top_DF;top_MF;7.875709283894369e-06
0;top_DF;top_DM;1.9861591830711174e-24
0;top_DF;top_FW;2.6696957054376693e-08
0;top_DF;diff_avant;6.311599394046846e-13
0;top_DF;diff_def;0.03710719602260714
0;top_DF;diff_mil;3.722977769967798e-15
0;top_DF;sup_def;0.049136061068766855
0;top_FW;home;0.986656899241501
0;top_FW;Formation;3.0724549665367016e-08
0;top_FW;opp_Formation;0.5639727671317001
0;top_FW;saison;0.8092370776386388
0;top_FW;PK;0.7141679038873614
0;top_FW;CrdR;0.027079701987995374
0;top_FW;top_GK;8.324355797458566e-08
0;top_FW;top_MF;0.008042168241476872
0;top_FW;top_DM;0.5354213831500745
0;top_FW;top_DF;2.6696957054376693e-08
0;top_FW;diff_avant;9.317350651917099e-07
0;top_FW;diff_def;0.054561922210449136
0;top_FW;diff_mil;0.00216739476586899
0;top_FW;sup_def;0.020936112004722833
0;diff_avant;home;0.8311511193761896
0;diff_avant;Formation;5.787601884944355e-136
0;diff_avant;opp_Formation;1.3661098473194313e-47
0;diff_avant;saison;0.06938291138119433
0;diff_avant;PK;0.5653677747742478
0;diff_avant;CrdR;0.47480428010708653
0;diff_avant;top_GK;3.6332008386042956e-05
0;diff_avant;top_MF;1.133071437572864e-06
0;diff_avant;top_DM;0.8006496905407223
0;diff_avant;top_DF;6.311599394046849e-13
0;diff_avant;top_FW;9.317350651917089e-07
0;diff_avant;diff_def;9.129730830213299e-34
0;diff_avant;diff_mil;2.8457388685739835e-61
0;diff_avant;sup_def;3.104658152885105e-07
0;diff_def;home;0.9238495207299239
0;diff_def;Formation;1.8610213054797935e-42
0;diff_def;opp_Formation;3.7413942760672696e-129
0;diff_def;saison;0.13354937967085032
0;diff_def;PK;0.020793275887278723
0;diff_def;CrdR;0.3389766951103664
0;diff_def;top_GK;3.1116446114072645e-07
0;diff_def;top_MF;0.01912002144605595
0;diff_def;top_DM;0.7955061070682234
0;diff_def;top_DF;0.03710719602260714
0;diff_def;top_FW;0.05456192221044913
0;diff_def;diff_avant;9.129730830213299e-34
0;diff_def;diff_mil;6.811866964832506e-58
0;diff_def;sup_def;5.042701358811424e-131
0;diff_mil;home;0.21508246770591474
0;diff_mil;Formation;9.070040573460605e-110
0;diff_mil;opp_Formation;4.295708715665445e-130
0;diff_mil;saison;0.005221762712067162
0;diff_mil;PK;0.1717622147443791
0;diff_mil;CrdR;0.41015268003343613
0;diff_mil;top_GK;0.0006964322344840754
0;diff_mil;top_MF;0.0001368691573556305
0;diff_mil;top_DM;0.12121441889767133
0;diff_mil;top_DF;3.722977769967798e-15
0;diff_mil;top_FW;0.00216739476586899
0;diff_mil;diff_avant;2.845738868573903e-61
0;diff_mil;diff_def;6.811866964832506e-58
0;diff_mil;sup_def;7.070706632788006e-29
0;sup_def;home;0.5905525149124666
0;sup_def;Formation;6.6318559032354155e-34
0;sup_def;opp_Formation;1.2299249604528422e-55
0;sup_def;saison;0.09819300090226868
0;sup_def;PK;0.1560159882428346
0;sup_def;CrdR;0.4462133311812362
0;sup_def;top_GK;3.0002445565624302e-06
0;sup_def;top_MF;0.11706040259550866
0;sup_def;top_DM;0.41059917311890903
0;sup_def;top_DF;0.049136061068766855
0;sup_def;top_FW;0.020936112004722833
0;sup_def;diff_avant;3.104658152885105e-07
0;sup_def;diff_def;5.042701358811424e-131
0;sup_def;diff_mil;7.070706632787905e-29
