;victoire;not_lose;home;Poss;age;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;CMP;Att;FDD;FDA;DF;DM;FW;GK;MF;score_df_mean;score_mf_mean;score_fw_mean;score_dm_mean;score_gk_mean;score_dis;n_form;n;top_GK;top_MF;top_DM;top_DF;top_FW;nb_def;nb_opp_def;nb_att;nb_opp_att;nb_mil;nb_opp_mil;diff_avant;diff_def;diff_mil;sup_def
victoire;1.0;0.5718646779206429;0.04603961696433174;0.16309035917636772;0.07564864211065483;0.3774875811421439;-0.10772980701308944;0.19456773109319622;-0.03645256988578675;-0.07847781299724073;0.3914296626748967;0.005568301390120473;0.04466703163020901;0.21049591443189558;0.15124687701819442;-0.09159353619236595;-0.10800875082703065;0.08306259196002333;-0.24068013521590334;-0.1064992944135941;0.013164238597303328;0.22552531210407678;0.20632448640616372;0.16383773733023602;0.23437190499822141;-0.07288575685973361;-0.12650311371684564;0.19769314405284508;0.12164707450151649;0.14455616608258046;-0.11490405384217303;0.24842889421839418;0.2488229868900977;-0.06818662521586487;0.17629740473057662;-0.17386770492159168;-0.015451995673432589;-0.038370786440812925;0.12164707450151649;0.09045748616866811;-0.11490451793199954;-0.03144010819400342;0.21560146128305704;0.05822461326341656;0.005021326584178767;0.027443626576316375;-0.017547859535984787;-0.06405643859105843;0.014585387403537051;0.020568459596845834;0.044879691699921585;-0.054803408516641734;0.05734990129426296
not_lose;0.5718646779206429;1.0;0.04684131334780096;0.13811761693240135;0.10142301709911969;0.2630186159832335;-0.0643109864728863;0.02555595404527443;-0.009850854615870768;-0.013524787852237785;0.3987015614237749;-0.05497691600786302;-0.030801275389321883;0.19325110384586994;0.15646699285213522;-0.05062679053586883;-0.12741675101330774;0.10736457899418729;-0.21666789070686512;-0.06836427360230032;0.06847914161950781;0.10421569581086372;0.1140335291620796;0.12047289354332245;0.20515806390575658;-0.002319694894108937;-0.06317137305385158;0.17251627151829815;0.02472388083250015;0.11884611206625736;-0.041764784707701584;0.2172605936327266;0.20178150877212847;-0.026707628204446644;0.10470610823363519;-0.20559115287175392;-0.0014870353096225791;-0.03928951523386715;0.02472388083250015;0.09112143702287827;-0.06289452230516401;0.026180889459100895;0.18765031696934983;-0.001674587922690433;-0.04274739126426274;0.037185309987679944;-0.018021406614007453;-0.03735621541807456;0.045807087607417314;0.05229740944375872;0.013849863919930023;-0.05670673129275803;-0.004455572454221061
home;0.04603961696433174;0.04684131334780096;1.0;0.06680340616374376;0.004164149533873536;0.09513713793522355;-0.02328843114679125;0.033385905420275336;0.01779919554526604;-0.1049623948006318;0.012860076586480447;0.0031547555933297655;-0.007553236800608052;0.18922125124534425;-0.019103409907305764;-0.1964930867663337;0.025509667536168956;0.13353173154243128;-0.17893170323708535;-0.07989575170500429;0.078628675056539;0.07510289638233776;0.079144515594397;0.147635774993515;0.195481434839567;-0.01830338889523494;0.014693027017068726;0.006153717363950432;0.011449345211333242;-0.0038931446151186135;0.01316494459870447;-0.010303670866528454;-0.0036359620791662863;0.01508939989846123;0.006187787266020556;0.007149387913445009;0.019234477229121104;-0.0038997409907449826;0.011449345211333242;-0.009857850879581784;0.018740196337731885;0.0015910190634907965;0.004290701293140346;0.0365945492706609;-0.06580677596584397;0.0028059653262079327;0.007184832483131275;-0.025351874297652923;0.03505409281172064;0.03479757504399306;0.013321785508956789;-0.04111597078364646;0.02603702572993267
Poss;0.16309035917636772;0.13811761693240135;0.06680340616374376;1.0;0.13754879097789718;0.3584383645114168;-0.06541190063279347;0.5699645376667678;-0.2646996127680024;-0.18112134956077539;0.5502014302971155;-0.0417863087865285;0.02907731021483583;0.5014560481371552;0.07919066385310966;-0.1580930291549699;-0.087804156273528;0.12051542819810232;-0.4829600573683403;-0.2035477545226523;0.09925596257899669;0.835395763140984;0.8792957085808271;0.2658104983892672;0.5503403710973026;-0.13504205869956518;-0.04905622942509543;0.33342838016956616;0.09212902253265791;0.2710107097535099;-0.17483057857549256;0.44665373186243057;0.47344932412205454;-0.07696559772882595;0.11997615270899575;-0.36870929527237734;0.023267973348769788;-0.12223051729336037;0.09212902253265791;0.19602690975531528;-0.04287149240089695;-0.10053579824879923;0.33330644784133134;0.10976704125182112;-0.04859776895281016;0.09179939333681862;-0.10733161541150346;-0.16211431211616073;0.14025096575087448;0.10103990846298912;0.14529012787037687;-0.2072541207659904;0.1446593128263418
age;0.07564864211065483;0.10142301709911969;0.004164149533873536;0.13754879097789718;1.0;0.12999438509312852;-0.04391029862340981;0.16546414145277924;-0.10487713961557753;-0.08815425403362728;0.1654684526382875;-0.047710260209694676;-0.020275956810183796;0.05930530115786863;0.022113600338696693;-0.08636608923034676;-0.08117850277830138;0.007765537369365174;-0.08255608236712815;-0.10640273146585522;-0.015028129264584375;0.23852955359981548;0.23075021375132182;0.09418205594543964;0.08076112897795311;-0.0995829073330417;-0.25407056058233557;0.2645281043653944;0.11207298628441023;0.057253582293981205;-0.027919057159472228;0.23943184785632168;0.3182689524390956;-0.2813647980134513;0.29288442081186933;0.04000965110701866;0.059140807057305775;0.03595060875076984;0.11207298628441023;-0.02397164260708679;-0.25270397637294795;-0.11232766680922282;0.19641363115931176;0.1507565349390314;0.00032127253510754594;0.031040745341297814;-0.07253626459380345;-0.12454975318093664;0.07344118190460598;0.025905925051777457;0.13835206447959641;-0.13646684529567976;0.10743519708256083
SoT;0.3774875811421439;0.2630186159832335;0.09513713793522355;0.3584383645114168;0.12999438509312852;1.0;-0.20815029586687192;0.32857355235840746;-0.12601066758445342;-0.16815999259102415;0.3673408649484302;-0.0411555260610472;-0.0362558952835772;0.6793057042242748;-0.04105113166340047;-0.1090843243999426;-0.08885545869479286;-0.0021448400348363763;-0.24414787359017634;-0.1446687823264684;-0.12469212277019243;0.3885157517167617;0.37227459988520506;0.18655967814789154;0.5728598297442818;-0.022404953693399905;-0.061849917583457314;0.23991062655242706;0.03299918123422955;0.08912707764164654;-0.07652587390916744;0.2238785109575872;0.26388314542564145;-0.07995363846346278;0.07412676047476828;-0.2755295113288183;0.03213932079939236;-0.030044849940481743;0.03299918123422955;0.06192677810744115;-0.061520229167512666;0.008391064574712611;0.22316386621100293;0.07212940667966707;0.0018295259964063717;0.028154588495846348;-0.09405411716035506;-0.07332269780077315;0.09431819466588352;0.022738936024867654;0.11469820212317132;-0.1142283320190879;0.1025174853303239
Dist;-0.10772980701308944;-0.0643109864728863;-0.02328843114679125;-0.06541190063279347;-0.04391029862340981;-0.20815029586687192;1.0;-0.013821639493792535;-0.0066449867268449855;-0.07763180555826908;-0.18133030939215483;0.05522973003357648;0.03748917484491203;-0.1512829242419149;0.1948189589973092;0.012225773385350996;-0.041665031997626334;-0.0026326931725625643;0.07003038763311419;0.1169317837138541;0.06666521525719948;-0.04277000261402838;-0.048232919685250626;-0.09441136570267716;-0.4041949811310374;-0.0086790295471692;-0.018333526384141693;-0.023232241850017567;0.05489384512587314;-0.042254031378503865;-0.05188214743527277;-0.12245545115267345;-0.10880749340925032;0.06586128189426241;0.008020622817637428;0.15589071949732466;-0.0348059784928708;0.06475595431330819;0.05489384512587314;-0.07298661607401288;-0.03264370818071857;-0.018028909046140868;-0.03425781183772859;0.11994522309908266;-0.03879688885090874;-0.09552711197377133;0.033364730412697455;0.025004092051853364;-0.008908868087864024;-0.06108613397504815;0.035643020680919575;0.02352549819494714;0.027459960774123174
Cmp;0.19456773109319622;0.02555595404527443;0.033385905420275336;0.5699645376667678;0.16546414145277924;0.32857355235840746;-0.013821639493792535;1.0;-0.2902833692068479;-0.3324617578692121;0.31600203076226824;-0.07760183216247371;0.15995169578160648;0.32184442472640834;0.09028092256455829;-0.14769656098375597;-0.05456339187441968;-0.0031300866392710517;-0.24775072203460993;-0.12538005850791537;-0.16900007820238433;0.8334479322034927;0.7360841549412264;0.1597645379442601;0.3399725134493311;-0.1567463425077591;-0.07381308991763938;0.3949548504941596;0.1407944174654624;0.29359166527378927;-0.2155441835566166;0.43865262467046695;0.5326684568997373;-0.08095070720388449;0.18111037003541589;-0.19510785750526558;0.03696433468668143;-0.05403778339751401;0.1407944174654624;0.16576371081639282;-0.06058579013852846;-0.12875004330195206;0.3716841784614705;0.2239616501937424;0.13808730200685082;0.04965423153811323;-0.0941714165375908;-0.18868392522359476;0.006750490238777117;-0.0263806685680724;0.19442933754848055;-0.13740422175256944;0.18778960648919582
Int;-0.03645256988578675;-0.009850854615870768;0.01779919554526604;-0.2646996127680024;-0.10487713961557753;-0.12601066758445342;-0.0066449867268449855;-0.2902833692068479;1.0;0.060106928412593234;-0.1568129875612817;0.048058692459958245;-0.054583672718902805;-0.13828705340686423;-0.046021075675791806;0.013591141651087596;0.012418859641413689;-0.0689379110844314;0.09887911779856301;-0.051346616873177056;-0.0628583951838599;-0.2572120140272435;-0.22306731413282946;0.3110001961764736;-0.18573200535590553;0.13610891370671674;0.15402217907031895;-0.12770682362558425;-0.1544416800730269;-0.05379201020609668;0.18871269353363426;-0.10044748175334156;-0.16325310873065255;0.14483853494172827;-0.13898319492055278;0.0034179652451608983;0.005557205629858669;0.029490675943410958;-0.1544416800730269;0.01753881874186115;0.1564272061980884;0.15078705519931188;-0.08116125323898547;-0.17884033850294268;-0.009894151045917286;-0.013028890539880093;0.014687518967406485;0.12319041040682698;-0.008545371578816153;-0.0060624802467085705;-0.10580440910558372;0.09245553121432024;-0.08560594035682742
Fls;-0.07847781299724073;-0.013524787852237785;-0.1049623948006318;-0.18112134956077539;-0.08815425403362728;-0.16815999259102415;-0.07763180555826908;-0.3324617578692121;0.060106928412593234;1.0;-0.1278596111288742;0.024061086067615315;-0.07134696887840634;-0.19638596189886107;-0.022813780823555313;0.4427460565016386;0.040513240070612556;0.0341491276507162;-0.027480687165806764;0.20305278034367494;-0.052844501228504995;-0.32562915196013026;-0.3019762422819157;-0.3622199231898248;-0.2090005809719984;0.19787504881215162;0.14678267071612877;-0.17569659075676733;-0.11800439086878564;-0.07947388466514331;0.16195951906536232;-0.13303680099852022;-0.22347622914052823;0.049807995673131884;-0.16068633902702772;0.09588061466164312;-0.06454181701979922;-0.04862694302052022;-0.11800439086878564;-0.010995800067336211;0.14674703808271378;0.13628786101343807;-0.16567097251465743;-0.1368965480413847;0.030633147166382154;0.03833352355726631;0.060708495463497186;0.04443466608938722;-0.08135243151413893;0.017086363387657316;-0.12141620479753154;0.08527518467028021;-0.10348146844374057
