;Date;Time;Comp;Round;Day;Venue;Result;GF;GA;Opponent;xG;xGA;Poss;Attendance;Captain;Formation;Referee;Match Report;Notes;team;key;Sh;SoT;Dist;FK;PK;Att;Cmp%;CrdY;CrdR;2CrdY;Fls;Off;Int;age;value;repos
0;2020-09-26;15:00;Serie A;Matchweek 2;Sat;Away;W;4;2;Torino;2.1;0.6;55.0;1000.0;Papu Gómez;3-4-1-2;Massimiliano Irrati;Match Report;;Atalanta;2020-09-2615:00Serie AMatchweek 2AwayWTorinoAtalanta;18.0;7.0;17.2;1.0;0;591.0;82.9;2;0;0;12.0;2.0;12.0;24.5;€398.75m;10
1;2020-09-30;20:45;Serie A;Matchweek 1;Wed;Away;W;4;1;Lazio;1.8;2.3;39.0;1000.0;Papu Gómez;3-4-3;Fabio Maresca;Match Report;;Atalanta;2020-09-3020:45Serie AMatchweek 1AwayWLazioAtalanta;10.0;6.0;16.2;1.0;0;441.0;74.1;2;0;0;11.0;0.0;13.0;24.5;€398.75m;4
2;2020-10-04;12:30;Serie A;Matchweek 3;Sun;Home;W;5;2;Cagliari;3.4;0.8;59.0;1000.0;Papu Gómez;3-4-1-2;Fabrizio Pasqua;Match Report;;Atalanta;2020-10-0412:30Serie AMatchweek 3HomeWCagliariAtalanta;21.0;12.0;16.5;1.0;0;645.0;84.2;0;0;0;11.0;2.0;10.0;24.5;€398.75m;4
3;2020-10-17;15:00;Serie A;Matchweek 4;Sat;Away;L;1;4;Napoli;0.7;1.6;50.0;1000.0;Papu Gómez;3-4-3;Marco Di Bello;Match Report;;Atalanta;2020-10-1715:00Serie AMatchweek 4AwayLNapoliAtalanta;13.0;4.0;20.4;0.0;0;531.0;85.9;3;0;0;23.0;1.0;17.0;24.5;€398.75m;13
4;2020-10-21;21:00;Champions Lg;Group stage;Wed;Away;W;4;0;dk Midtjylland;2.5;0.8;52.0;132.0;Papu Gómez;3-4-1-2;Artur Soares Dias;Match Report;;Atalanta;2020-10-2121:00Champions LgGroup stageAwayWdk MidtjyllandAtalanta;18.0;10.0;18.4;0.0;0;515.0;80.4;1;0;0;12.0;3.0;11.0;24.5;€398.75m;4
5;2020-10-24;15:00;Serie A;Matchweek 5;Sat;Home;L;1;3;Sampdoria;2.1;2.1;65.0;1000.0;Papu Gómez;3-4-1-2;Giampaolo Calvarese;Match Report;;Atalanta;2020-10-2415:00Serie AMatchweek 5HomeLSampdoriaAtalanta;19.0;4.0;19.8;2.0;1;701.0;85.6;3;0;0;12.0;1.0;16.0;24.5;€398.75m;3
6;2020-10-27;21:00;Champions Lg;Group stage;Tue;Home;D;2;2;nl Ajax;1.7;1.4;46.0;;Papu Gómez;3-4-3;Damir Skomina;Match Report;;Atalanta;2020-10-2721:00Champions LgGroup stageHomeDnl AjaxAtalanta;14.0;7.0;17.7;1.0;0;433.0;72.7;3;0;0;12.0;5.0;22.0;24.5;€398.75m;3
7;2020-10-31;15:00;Serie A;Matchweek 6;Sat;Away;W;2;1;Crotone;2.8;0.6;58.0;;Papu Gómez;3-5-1-1;Federico Dionisi;Match Report;;Atalanta;2020-10-3115:00Serie AMatchweek 6AwayWCrotoneAtalanta;19.0;6.0;13.9;0.0;0;659.0;84.1;3;0;0;22.0;1.0;24.0;24.5;€398.75m;4
8;2020-11-03;21:00;Champions Lg;Group stage;Tue;Home;L;0;5;eng Liverpool;1.2;2.5;44.0;;Papu Gómez;3-4-1-2;Ovidiu Hațegan;Match Report;;Atalanta;2020-11-0321:00Champions LgGroup stageHomeLeng LiverpoolAtalanta;9.0;6.0;14.8;0.0;0;500.0;80.2;0;0;0;6.0;4.0;14.0;24.5;€398.75m;3
9;2020-11-08;15:00;Serie A;Matchweek 7;Sun;Home;D;1;1;Inter;1.0;0.9;52.0;;Papu Gómez;3-4-3;Daniele Doveri;Match Report;;Atalanta;2020-11-0815:00Serie AMatchweek 7HomeDInterAtalanta;9.0;2.0;19.2;2.0;0;574.0;87.1;1;0;0;15.0;1.0;10.0;24.5;€398.75m;5
