;Date;Time;Comp;Round;Day;Venue;Result;GF;GA;Opponent;xG;xGA;Poss;Attendance;Captain;Formation;Referee;Match Report;Notes;team;key;Sh;SoT;Dist;FK;PK;Att;Cmp%;CrdY;CrdR;2CrdY;Fls;Off;Int;age;value
0;2021-08-21;20:45;Serie A;Matchweek 1;Sat;Away;W;2;1;Torino;0.8;1.4;52.0;3475.0;José Luis Palomino;3-4-3;Daniele Chiffi;Match Report;;Atalanta;2021-08-2120:45Serie AMatchweek 1AwayWTorinoAtalanta;7.0;2.0;14.9;0.0;0;456.0;72.1;2;0;0;13.0;0.0;8.0;24.5;€398.75m
1;2021-08-28;18:30;Serie A;Matchweek 2;Sat;Home;D;0;0;Bologna;1.2;0.3;59.0;7912.0;Rafael Tolói;3-4-3;Daniele Orsato;Match Report;;Atalanta;2021-08-2818:30Serie AMatchweek 2HomeDBolognaAtalanta;22.0;3.0;20.0;2.0;0;591.0;79.4;2;0;0;11.0;2.0;9.0;24.5;€398.75m
2;2021-09-11;20:45;Serie A;Matchweek 3;Sat;Home;L;1;2;Fiorentina;2.3;1.9;55.0;9162.0;Rafael Tolói;3-4-3;Valerio Marini;Match Report;;Atalanta;2021-09-1120:45Serie AMatchweek 3HomeLFiorentinaAtalanta;12.0;4.0;10.7;0.0;1;551.0;83.5;4;0;0;13.0;2.0;8.0;24.5;€398.75m
3;2021-09-14;21:00;Champions Lg;Group stage;Tue;Away;D;2;2;es Villarreal;1.3;2.3;52.0;12916.0;Rafael Tolói;3-4-3;Clément Turpin;Match Report;;Atalanta;2021-09-1421:00Champions LgGroup stageAwayDes VillarrealAtalanta;13.0;4.0;19.6;0.0;0;473.0;78.2;1;0;0;11.0;2.0;14.0;24.5;€398.75m
4;2021-09-18;20:45;Serie A;Matchweek 4;Sat;Away;W;1;0;Salernitana;1.7;0.9;58.0;11949.0;Rafael Tolói;3-4-3;Paolo Valeri;Match Report;;Atalanta;2021-09-1820:45Serie AMatchweek 4AwayWSalernitanaAtalanta;10.0;3.0;15.6;1.0;0;573.0;82.9;4;0;0;13.0;1.0;13.0;24.5;€398.75m
5;2021-09-21;20:45;Serie A;Matchweek 5;Tue;Home;W;2;1;Sassuolo;1.9;1.1;48.0;7353.0;Rafael Tolói;3-4-1-2;Davide Massa;Match Report;;Atalanta;2021-09-2120:45Serie AMatchweek 5HomeWSassuoloAtalanta;14.0;5.0;16.9;1.0;0;491.0;80.4;2;0;0;16.0;2.0;9.0;24.5;€398.75m
6;2021-09-25;18:00;Serie A;Matchweek 6;Sat;Away;D;2;2;Inter;2.4;4.1;51.0;36517.0;Rafael Tolói;3-4-1-2;Fabio Maresca;Match Report;;Atalanta;2021-09-2518:00Serie AMatchweek 6AwayDInterAtalanta;22.0;5.0;15.2;1.0;0;454.0;78.0;5;0;0;11.0;1.0;18.0;24.5;€398.75m
7;2021-09-29;18:45;Champions Lg;Group stage;Wed;Home;W;1;0;ch Young Boys;2.5;0.1;64.0;8536.0;Rafael Tolói;3-4-3;Felix Brych;Match Report;;Atalanta;2021-09-2918:45Champions LgGroup stageHomeWch Young BoysAtalanta;13.0;7.0;13.9;0.0;0;657.0;85.2;1;0;0;10.0;1.0;15.0;24.5;€398.75m
8;2021-10-03;20:45;Serie A;Matchweek 7;Sun;Home;L;2;3;Milan;2.3;2.5;56.0;9363.0;Remo Freuler;3-4-1-2;Marco Di Bello;Match Report;;Atalanta;2021-10-0320:45Serie AMatchweek 7HomeLMilanAtalanta;16.0;4.0;17.9;1.0;1;510.0;80.0;1;0;0;13.0;2.0;8.0;24.5;€398.75m
9;2021-10-17;15:00;Serie A;Matchweek 8;Sun;Away;W;4;1;Empoli;4.3;1.0;52.0;6214.0;Rafael Tolói;3-4-1-2;Marco Serra;Match Report;;Atalanta;2021-10-1715:00Serie AMatchweek 8AwayWEmpoliAtalanta;21.0;7.0;17.6;0.0;0;499.0;80.2;2;0;0;16.0;2.0;15.0;24.5;€398.75m
10;2021-10-20;20:00;Champions Lg;Group stage;Wed;Away;L;2;3;eng Manchester Utd;1.6;2.8;44.0;72279.0;Remo Freuler;3-4-1-2;Szymon Marciniak;Match Report;;Atalanta;2021-10-2020:00Champions LgGroup stageAwayLeng Manchester UtdAtalanta;13.0;6.0;19.6;0.0;0;481.0;76.9;4;0;0;12.0;1.0;13.0;24.5;€398.75m
11;2021-10-24;12:30;Serie A;Matchweek 9;Sun;Home;D;1;1;Udinese;0.6;0.7;68.0;9951.0;Remo Freuler;3-4-3;Livio Marinelli;Match Report;;Atalanta;2021-10-2412:30Serie AMatchweek 9HomeDUdineseAtalanta;8.0;3.0;21.0;0.0;0;687.0;83.7;2;0;0;15.0;1.0;9.0;24.5;€398.75m
12;2021-10-27;18:30;Serie A;Matchweek 10;Wed;Away;W;3;1;Sampdoria;1.7;1.5;59.0;5462.0;Remo Freuler;3-4-3;Alessandro Prontera;Match Report;;Atalanta;2021-10-2718:30Serie AMatchweek 10AwayWSampdoriaAtalanta;13.0;4.0;15.0;0.0;0;604.0;79.5;3;0;0;19.0;1.0;11.0;24.5;€398.75m
13;2021-10-30;15:00;Serie A;Matchweek 11;Sat;Home;D;2;2;Lazio;1.3;1.8;57.0;11981.0;Remo Freuler;3-4-3;Marco Guida;Match Report;;Atalanta;2021-10-3015:00Serie AMatchweek 11HomeDLazioAtalanta;17.0;3.0;17.0;1.0;0;642.0;81.9;1;0;0;13.0;3.0;6.0;24.5;€398.75m
14;2021-11-02;21:00;Champions Lg;Group stage;Tue;Home;D;2;2;eng Manchester Utd;1.5;1.1;47.0;14443.0;Remo Freuler;3-4-1-2;Slavko Vinčič;Match Report;;Atalanta;2021-11-0221:00Champions LgGroup stageHomeDeng Manchester UtdAtalanta;10.0;4.0;18.0;0.0;0;537.0;82.3;0;0;0;11.0;1.0;17.0;24.5;€398.75m
15;2021-11-06;20:45;Serie A;Matchweek 12;Sat;Away;W;2;1;Cagliari;3.2;0.9;62.0;6976.0;Remo Freuler;3-4-3;Marco Piccinini;Match Report;;Atalanta;2021-11-0620:45Serie AMatchweek 12AwayWCagliariAtalanta;21.0;8.0;14.2;1.0;0;642.0;83.6;1;0;0;9.0;0.0;14.0;24.5;€398.75m
16;2021-11-20;15:00;Serie A;Matchweek 13;Sat;Home;W;5;2;Spezia;2.9;1.0;51.0;10744.0;Rafael Tolói;3-4-3;Rosario Abisso;Match Report;;Atalanta;2021-11-2015:00Serie AMatchweek 13HomeWSpeziaAtalanta;17.0;8.0;19.1;0.0;1;530.0;83.6;2;0;0;10.0;2.0;13.0;24.5;€398.75m
17;2021-11-23;21:00;Champions Lg;Group stage;Tue;Away;D;3;3;ch Young Boys;1.2;0.7;41.0;31120.0;Rafael Tolói;3-4-1-2;Daniel Siebert;Match Report;;Atalanta;2021-11-2321:00Champions LgGroup stageAwayDch Young BoysAtalanta;14.0;5.0;18.9;2.0;0;376.0;75.8;2;0;0;16.0;1.0;8.0;24.5;€398.75m
