;Date;Time;Comp;Round;Day;Venue;Result;GF;GA;Opponent;xG;xGA;Poss;Attendance;Captain;Formation;Referee;Match Report;Notes;team;key;Sh;SoT;Dist;FK;PK;Att;Cmp%;CrdY;CrdR;2CrdY;Fls;Off;Int;age;value;repos
0;2021-08-01;21:00;Trophée des Champions;Trophée des Champions;Sun;Neutral;L;0;1;Lille;;;71.0;29000.0;Presnel Kimpembe;4-3-3;Igal Frid;Match Report;;Paris-Saint-Germain;2021-08-0121:00Trophée des ChampionsTrophée des ChampionsNeutralLLilleParis-Saint-Germain;10.0;3.0;;;0.0;;;4.0;0.0;0.0;15.0;2.0;9.0;25,7;€875,15m;10
1;2021-08-07;21:00;Ligue 1;Matchweek 1;Sat;Away;W;2;1;Troyes;1.2;0.9;56.0;15248.0;Presnel Kimpembe;4-4-2;Amaury Delerue;Match Report;;Paris-Saint-Germain;2021-08-0721:00Ligue 1Matchweek 1AwayWTroyesParis-Saint-Germain;12.0;2.0;16.2;0.0;0.0;636.0;91.4;4.0;0.0;0.0;15.0;1.0;14.0;25,7;€875,15m;6
2;2021-08-14;21:00;Ligue 1;Matchweek 2;Sat;Home;W;4;2;Strasbourg;3.1;0.7;65.0;46962.0;Presnel Kimpembe;4-3-3;Willy Delajod;Match Report;;Paris-Saint-Germain;2021-08-1421:00Ligue 1Matchweek 2HomeWStrasbourgParis-Saint-Germain;11.0;5.0;15.4;1.0;0.0;736.0;90.9;1.0;0.0;0.0;6.0;1.0;9.0;25,7;€875,15m;7
3;2021-08-20;21:00;Ligue 1;Matchweek 3;Fri;Away;W;4;2;Brest;0.9;1.1;74.0;14586.0;Presnel Kimpembe;4-1-2-1-2◆;Eric Wattellier;Match Report;;Paris-Saint-Germain;2021-08-2021:00Ligue 1Matchweek 3AwayWBrestParis-Saint-Germain;16.0;8.0;21.1;0.0;0.0;865.0;90.9;2.0;0.0;0.0;7.0;1.0;2.0;25,7;€875,15m;6
4;2021-08-29;20:45;Ligue 1;Matchweek 4;Sun;Away;W;2;0;Reims;1.3;0.7;67.0;20525.0;Marquinhos;4-3-3;François Letexier;Match Report;;Paris-Saint-Germain;2021-08-2920:45Ligue 1Matchweek 4AwayWReimsParis-Saint-Germain;12.0;3.0;17.1;1.0;0.0;762.0;88.6;3.0;0.0;0.0;13.0;0.0;12.0;25,7;€875,15m;9
5;2021-09-11;17:00;Ligue 1;Matchweek 5;Sat;Home;W;4;0;Clermont Foot;2.5;0.9;51.0;47329.0;Marquinhos;4-3-3;Mikael Lesage;Match Report;;Paris-Saint-Germain;2021-09-1117:00Ligue 1Matchweek 5HomeWClermont FootParis-Saint-Germain;13.0;7.0;14.7;0.0;0.0;606.0;88.0;0.0;0.0;0.0;13.0;1.0;13.0;25,7;€875,15m;13
6;2021-09-15;21:00;Champions Lg;Group stage;Wed;Away;D;1;1;be Club Brugge;1.4;1.3;64.0;27546.0;Marquinhos;4-3-3;Sandro Schärer;Match Report;;Paris-Saint-Germain;2021-09-1521:00Champions LgGroup stageAwayDbe Club BruggeParis-Saint-Germain;9.0;4.0;15.0;0.0;0.0;722.0;87.8;2.0;0.0;0.0;9.0;4.0;7.0;25,7;€875,15m;4
7;2021-09-19;20:45;Ligue 1;Matchweek 6;Sun;Home;W;2;1;Lyon;2.0;0.8;54.0;47611.0;Marquinhos;4-2-3-1;Clément Turpin;Match Report;;Paris-Saint-Germain;2021-09-1920:45Ligue 1Matchweek 6HomeWLyonParis-Saint-Germain;13.0;4.0;20.6;2.0;1.0;552.0;87.5;3.0;0.0;0.0;13.0;2.0;8.0;25,7;€875,15m;4
8;2021-09-22;21:00;Ligue 1;Matchweek 7;Wed;Away;W;2;1;Metz;1.3;0.9;74.0;2661.0;Marquinhos;4-1-2-1-2◆;Jérémie Pignard;Match Report;;Paris-Saint-Germain;2021-09-2221:00Ligue 1Matchweek 7AwayWMetzParis-Saint-Germain;15.0;4.0;20.0;0.0;0.0;763.0;88.2;2.0;0.0;0.0;12.0;1.0;5.0;25,7;€875,15m;3
9;2021-09-25;21:00;Ligue 1;Matchweek 8;Sat;Home;W;2;0;Montpellier;2.1;0.2;53.0;47408.0;Marquinhos;4-3-3;Antony Gautier;Match Report;;Paris-Saint-Germain;2021-09-2521:00Ligue 1Matchweek 8HomeWMontpellierParis-Saint-Germain;16.0;5.0;15.3;0.0;0.0;555.0;87.2;0.0;0.0;0.0;10.0;5.0;6.0;25,7;€875,15m;3
