;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls
0;2020-09-26;W;1;1;Away;0;55.0;24.5;3-5-2;7.0;17.2;82.9;12.0;12.0;175.35;10;9;4-4-2;Atalanta;automne;18.0;0;2;0;1.0;7.0;0.0;11.0
1;2020-09-30;W;1;1;Away;0;39.0;24.5;3-4-3;6.0;16.2;74.1;13.0;11.0;134.26999999999998;4;9;3-5-2;Atalanta;automne;10.0;0;2;0;7.0;14.0;0.0;16.0
2;2020-10-04;W;1;1;Home;1;59.0;24.5;3-5-2;12.0;16.5;84.2;10.0;11.0;264.22;4;10;4-4-2;Atalanta;automne;21.0;0;0;0;0.0;12.0;1.0;9.0
3;2020-10-17;L;0;0;Away;0;50.0;24.5;3-4-3;4.0;20.4;85.9;17.0;23.0;-78.48000000000002;13;10;4-5-1;Atalanta;automne;13.0;0;3;0;1.0;19.0;0.0;12.0
4;2020-10-21;W;1;1;Away;0;52.0;24.5;3-5-2;10.0;18.4;80.4;11.0;12.0;;4;10;<NA>-<NA>-<NA>;Atalanta;automne;18.0;0;1;0;;;;
5;2020-10-24;L;0;0;Home;1;65.0;24.5;3-5-2;4.0;19.8;85.6;16.0;12.0;270.2;3;10;4-4-2;Atalanta;automne;19.0;1;3;0;4.0;6.0;0.0;19.0
6;2020-10-27;D;0;1;Home;1;46.0;24.5;3-4-3;7.0;17.7;72.7;22.0;12.0;;3;10;<NA>-<NA>-<NA>;Atalanta;automne;14.0;0;3;0;;;;
7;2020-10-31;W;1;1;Away;0;58.0;24.5;3-6-1;6.0;13.9;84.1;24.0;22.0;;4;10;<NA>-<NA>-<NA>;Atalanta;automne;19.0;0;3;0;;;;
8;2020-11-03;L;0;0;Home;1;44.0;24.5;3-5-2;6.0;14.8;80.2;14.0;6.0;;3;11;<NA>-<NA>-<NA>;Atalanta;automne;9.0;0;0;0;;;;
9;2020-11-08;D;0;1;Home;1;52.0;24.5;3-4-3;2.0;19.2;87.1;10.0;15.0;-159.79999999999995;5;11;3-5-2;Atalanta;automne;9.0;0;1;0;3.0;10.0;0.0;13.0
10;2020-11-21;D;0;1;Away;0;45.0;24.5;3-4-3;4.0;15.9;73.6;26.0;18.0;320.25;13;11;4-3-3;Atalanta;automne;11.0;0;3;0;3.0;9.0;0.0;19.0
11;2020-11-25;W;1;1;Away;0;46.0;24.5;3-5-2;4.0;18.5;82.2;22.0;15.0;;4;11;<NA>-<NA>-<NA>;Atalanta;automne;8.0;0;1;0;;;;
12;2020-11-28;L;0;0;Home;1;58.0;24.5;3-4-3;5.0;17.0;80.6;14.0;12.0;235.77;3;11;3-4-3;Atalanta;automne;20.0;0;2;0;3.0;6.0;1.0;15.0
13;2020-12-01;D;0;1;Home;1;68.0;24.5;3-5-2;8.0;14.6;79.3;19.0;13.0;;3;12;<NA>-<NA>-<NA>;Atalanta;reste;19.0;0;2;0;;;;
14;2020-12-09;W;1;1;Away;0;37.0;24.5;3-5-2;1.0;16.0;70.0;20.0;14.0;;8;12;<NA>-<NA>-<NA>;Atalanta;reste;8.0;0;2;0;;;;
15;2020-12-13;W;1;1;Home;1;53.0;24.5;3-4-3;7.0;13.5;83.1;11.0;17.0;72.94999999999999;4;12;4-5-1;Atalanta;reste;21.0;0;1;0;2.0;4.0;0.0;13.0
16;2020-12-16;D;0;1;Away;0;46.0;24.5;3-5-2;6.0;20.3;81.0;15.0;18.0;-243.75;3;12;4-4-2;Atalanta;reste;15.0;0;2;0;3.0;11.0;0.0;14.0
17;2020-12-20;W;1;1;Home;1;55.0;24.5;3-4-3;7.0;19.1;83.0;6.0;15.0;17.5;4;12;3-4-3;Atalanta;reste;14.0;0;2;0;3.0;5.0;1.0;14.0
18;2020-12-23;D;0;1;Away;0;53.0;24.5;3-5-2;5.0;17.4;83.1;17.0;14.0;212.55;3;12;4-5-1;Atalanta;reste;11.0;1;2;0;2.0;9.0;1.0;12.0
19;2021-01-03;W;1;1;Home;1;46.0;24.5;3-5-2;7.0;17.0;75.3;16.0;13.0;147.75;11;1;4-5-1;Atalanta;reste;23.0;0;3;0;1.0;10.0;0.0;9.0
20;2021-01-06;W;1;1;Home;1;52.0;24.5;3-5-2;6.0;15.7;83.1;8.0;10.0;;3;1;<NA>-<NA>-<NA>;Atalanta;reste;17.0;0;1;0;;;;
21;2021-01-09;W;1;1;Away;0;59.0;24.5;3-5-2;12.0;14.1;82.6;13.0;21.0;;3;1;<NA>-<NA>-<NA>;Atalanta;reste;27.0;0;2;0;;;;
22;2021-01-14;W;1;1;Home;1;58.0;24.5;<NA>-<NA>-<NA>;0.0;;;0.0;0.0;264.22;5;1;<NA>-<NA>-<NA>;Atalanta;reste;0.0;0;1;0;0.0;0.0;;0.0
23;2021-01-17;D;0;1;Home;1;64.0;24.5;3-4-3;2.0;15.6;79.1;13.0;14.0;277.47;3;1;3-5-2;Atalanta;reste;18.0;0;1;0;2.0;7.0;0.0;13.0
24;2021-01-20;D;0;1;Away;0;66.0;24.5;3-4-3;4.0;16.0;82.3;9.0;26.0;256.45;3;1;3-6-1;Atalanta;reste;17.0;0;2;0;3.0;6.0;0.0;20.0
25;2021-01-23;W;1;1;Away;0;49.0;24.5;3-5-2;6.0;19.0;81.4;12.0;14.0;-148.20000000000005;3;1;4-5-1;Atalanta;reste;17.0;1;1;0;2.0;14.0;0.0;11.0
26;2021-01-27;W;1;1;Home;1;34.0;24.5;3-4-3;8.0;;;28.0;12.0;134.26999999999998;4;1;3-5-2;Atalanta;reste;12.0;0;2;1;3.0;11.0;;15.0
27;2021-01-31;L;0;0;Home;1;57.0;24.5;3-4-3;3.0;12.3;78.4;23.0;12.0;134.26999999999998;4;1;3-5-2;Atalanta;reste;8.0;0;0;0;2.0;14.0;1.0;20.0
28;2021-02-03;D;0;1;Away;0;50.0;24.5;3-5-2;4.0;;;17.0;13.0;-78.48000000000002;3;2;3-4-3;Atalanta;reste;17.0;0;1;0;1.0;10.0;;9.0
29;2021-02-06;D;0;1;Home;1;57.0;24.5;3-4-3;4.0;12.4;77.6;14.0;23.0;175.35;3;2;3-5-2;Atalanta;reste;11.0;0;3;0;2.0;20.0;1.0;17.0
30;2021-02-10;W;1;1;Home;1;40.0;24.5;3-5-2;7.0;;;20.0;16.0;-78.48000000000002;4;2;4-3-3;Atalanta;reste;19.0;0;1;0;4.0;12.0;;14.0
31;2021-02-14;W;1;1;Away;0;64.0;24.5;3-4-3;2.0;15.4;79.5;15.0;14.0;264.22;4;2;3-5-2;Atalanta;reste;10.0;0;3;0;3.0;4.0;0.0;17.0
32;2021-02-21;W;1;1;Home;1;47.0;24.5;3-5-2;5.0;12.7;81.7;19.0;19.0;-78.48000000000002;7;2;4-5-1;Atalanta;reste;18.0;0;2;0;1.0;4.0;0.0;11.0
33;2021-02-24;L;0;0;Home;1;32.0;24.5;3-5-2;0.0;17.3;74.1;20.0;8.0;;3;2;<NA>-<NA>-<NA>;Atalanta;reste;2.0;0;1;1;;;;
34;2021-02-28;W;1;1;Away;0;55.0;24.5;3-5-2;8.0;17.8;79.4;11.0;17.0;270.2;4;2;4-5-1;Atalanta;reste;20.0;0;3;0;1.0;8.0;2.0;7.0
35;2021-03-03;W;1;1;Home;1;66.0;24.5;3-4-3;11.0;15.7;83.1;9.0;7.0;;3;3;<NA>-<NA>-<NA>;Atalanta;reste;21.0;0;0;0;;;;
36;2021-03-08;L;0;0;Away;0;56.0;24.5;3-4-3;2.0;13.3;83.7;18.0;17.0;-159.79999999999995;5;3;3-5-2;Atalanta;reste;13.0;0;1;0;0.0;5.0;0.0;11.0
37;2021-03-12;W;1;1;Home;1;47.0;24.5;3-5-2;7.0;14.5;80.1;12.0;17.0;320.25;4;3;4-3-3;Atalanta;reste;14.0;0;2;0;0.0;7.0;0.0;6.0
38;2021-03-16;L;0;0;Away;0;47.0;24.5;3-4-3;5.0;20.1;79.8;12.0;13.0;;4;3;<NA>-<NA>-<NA>;Atalanta;reste;13.0;0;1;0;;;;
39;2021-03-21;W;1;1;Away;0;48.0;24.5;4-5-1;5.0;16.4;65.8;16.0;20.0;235.77;5;3;3-4-3;Atalanta;reste;15.0;1;2;0;3.0;3.0;0.0;23.0
40;2021-04-03;W;1;1;Home;1;58.0;24.5;3-5-2;8.0;19.0;83.9;14.0;15.0;256.45;13;4;3-5-2;Atalanta;reste;23.0;0;0;0;2.0;9.0;1.0;9.0
41;2021-04-11;W;1;1;Away;0;60.0;24.5;3-5-2;7.0;17.1;82.3;15.0;13.0;72.94999999999999;8;4;3-5-2;Atalanta;reste;14.0;1;1;0;3.0;10.0;1.0;15.0
42;2021-04-18;W;1;1;Home;1;45.0;24.5;3-5-2;2.0;21.2;86.6;18.0;18.0;-243.75;7;4;4-4-2;Atalanta;reste;14.0;0;3;0;2.0;11.0;0.0;16.0
43;2021-04-22;D;0;1;Away;0;41.0;24.5;3-4-3;8.0;18.5;77.2;16.0;7.0;17.5;4;4;4-5-1;Atalanta;reste;22.0;0;2;1;5.0;14.0;1.0;16.0
44;2021-04-25;W;1;1;Home;1;56.0;24.5;3-4-3;8.0;17.4;81.9;8.0;12.0;212.55;3;4;5-3-2;Atalanta;reste;24.0;1;0;0;2.0;8.0;0.0;8.0
45;2021-05-02;D;0;1;Away;0;37.0;24.5;3-5-2;6.0;21.4;77.4;10.0;12.0;147.75;7;5;4-5-1;Atalanta;reste;9.0;0;1;1;7.0;10.0;3.0;18.0
46;2021-05-09;W;1;1;Away;0;56.0;24.5;3-4-3;12.0;13.8;85.3;10.0;15.0;;7;5;<NA>-<NA>-<NA>;Atalanta;reste;18.0;0;1;0;;;;
47;2021-05-12;W;1;1;Home;1;71.0;24.5;4-5-1;4.0;16.0;87.9;6.0;19.0;;3;5;<NA>-<NA>-<NA>;Atalanta;reste;15.0;0;2;0;;;;
48;2021-05-15;W;1;1;Away;0;60.0;24.5;3-4-3;6.0;13.3;86.7;11.0;8.0;277.47;3;5;3-5-2;Atalanta;reste;12.0;0;2;0;1.0;9.0;3.0;13.0
49;2021-05-19;L;0;0;Home;1;57.0;24.5;3-4-3;4.0;;;10.0;15.0;-243.75;4;5;4-4-2;Atalanta;reste;11.0;0;5;1;2.0;14.0;;17.0
50;2021-05-23;L;0;0;Home;1;70.0;24.5;3-4-3;1.0;20.5;86.2;9.0;17.0;-148.20000000000005;4;5;4-5-1;Atalanta;reste;13.0;0;3;1;3.0;4.0;2.0;11.0
51;2020-09-21;L;0;0;Away;0;42.0;23.7;4-5-1;4.0;16.8;81.7;11.0;20.0;-360.75000000000006;10;9;4-5-1;Bologna;automne;13.0;0;5;1;3.0;16.0;1.0;13.0
52;2020-09-28;W;1;1;Home;1;58.0;23.7;4-5-1;8.0;15.0;83.5;12.0;12.0;;7;9;<NA>-<NA>-<NA>;Bologna;automne;12.0;0;1;0;;;;
53;2020-10-04;L;0;0;Away;0;60.0;23.7;4-5-1;7.0;18.5;80.1;7.0;15.0;;6;10;<NA>-<NA>-<NA>;Bologna;automne;17.0;0;1;0;;;;
54;2020-10-18;L;0;0;Home;1;48.0;23.7;4-4-2;6.0;16.6;70.5;13.0;20.0;-64.80000000000001;14;10;4-5-1;Bologna;automne;14.0;0;2;0;2.0;25.0;0.0;11.0
55;2020-10-24;L;0;0;Away;0;52.0;23.7;4-5-1;5.0;18.0;82.4;14.0;16.0;-78.28000000000003;6;10;3-5-2;Bologna;automne;21.0;0;3;0;3.0;10.0;0.0;14.0
56;2020-10-27;W;1;1;Home;1;;23.7;<NA>-<NA>-<NA>;2.0;;;0.0;0.0;;3;10;<NA>-<NA>-<NA>;Bologna;automne;2.0;0;2;0;;;;
57;2020-10-31;W;1;1;Home;1;52.0;23.7;4-5-1;9.0;20.6;78.1;11.0;11.0;51.66999999999999;4;10;4-5-1;Bologna;automne;22.0;0;3;0;3.0;7.0;0.0;18.0
58;2020-11-08;L;0;0;Home;1;48.0;23.7;4-5-1;3.0;20.9;78.5;14.0;12.0;-291.03000000000003;8;11;4-5-1;Bologna;automne;9.0;0;3;0;0.0;19.0;1.0;11.0
59;2020-11-22;W;1;1;Away;0;55.0;23.7;4-5-1;3.0;17.1;77.8;20.0;9.0;57.64999999999998;14;11;4-3-3;Bologna;automne;11.0;0;2;0;2.0;11.0;0.0;12.0
60;2020-11-25;L;0;0;Home;1;33.0;23.7;<NA>-<NA>-<NA>;2.0;;;0.0;0.0;107.69999999999999;3;11;<NA>-<NA>-<NA>;Bologna;automne;2.0;0;4;0;7.0;4.0;;0.0
61;2020-11-29;W;1;1;Home;1;51.0;23.7;4-5-1;7.0;13.7;74.2;12.0;15.0;;4;11;<NA>-<NA>-<NA>;Bologna;automne;14.0;0;2;0;;;;
62;2020-12-05;L;0;0;Away;0;54.0;23.7;3-4-3;7.0;20.0;85.6;8.0;13.0;-372.34999999999997;6;12;3-5-2;Bologna;reste;14.0;0;2;0;1.0;14.0;1.0;12.0
63;2020-12-13;L;0;0;Home;1;54.0;23.7;4-5-1;1.0;17.2;81.9;15.0;14.0;-195.05;8;12;3-4-3;Bologna;reste;7.0;0;4;0;2.0;15.0;0.0;9.0
64;2020-12-16;D;0;1;Away;0;55.0;23.7;4-5-1;5.0;19.7;73.7;20.0;11.0;107.69999999999999;3;12;4-3-3;Bologna;reste;9.0;0;1;0;6.0;10.0;0.0;19.0
65;2020-12-20;D;0;1;Away;0;49.0;23.7;4-5-1;6.0;17.7;78.1;10.0;17.0;-37.20000000000002;4;12;4-4-2;Bologna;reste;16.0;0;3;0;1.0;14.0;1.0;14.0
66;2020-12-23;D;0;1;Home;1;47.0;23.7;4-5-1;3.0;17.2;80.6;13.0;12.0;-212.55;3;12;3-5-2;Bologna;reste;9.0;0;2;0;2.0;11.0;1.0;14.0
