;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att
0;2020-09-26;W;1;1;Away;0;55.0;25,0;3-5-2;7.0;17.2;82.9;12.0;12.0;254.72;10;9;4-4-2;Atalanta;automne;18.0;0;2;0;1.0;7.0;0.0;11.0;Torino;489.939;591.0
1;2020-09-30;W;1;1;Away;0;39.0;25,0;3-4-3;6.0;16.2;74.1;13.0;11.0;103.67000000000002;4;9;3-5-2;Atalanta;automne;10.0;0;2;0;7.0;14.0;0.0;16.0;Lazio;326.781;441.0
2;2020-10-04;W;1;1;Home;1;59.0;25,0;3-5-2;12.0;16.5;84.2;10.0;11.0;242.17;4;10;4-4-2;Atalanta;automne;21.0;0;0;0;0.0;12.0;1.0;9.0;Cagliari;543.09;645.0
3;2020-10-17;L;0;0;Away;0;50.0;25,0;3-4-3;4.0;20.4;85.9;17.0;23.0;-100.20000000000005;13;10;4-5-1;Atalanta;automne;13.0;0;3;0;1.0;19.0;0.0;12.0;Napoli;456.129;531.0
4;2020-10-21;W;1;1;Away;0;52.0;25,0;3-5-2;10.0;18.4;80.4;11.0;12.0;;4;10;<NA>-<NA>-<NA>;Atalanta;automne;18.0;0;1;0;;;;;dk Midtjylland;414.06;515.0
5;2020-10-24;L;0;0;Home;1;65.0;25,0;3-5-2;4.0;19.8;85.6;16.0;12.0;302.82;3;10;4-4-2;Atalanta;automne;19.0;1;3;0;4.0;6.0;0.0;19.0;Sampdoria;600.056;701.0
6;2020-10-27;D;0;1;Home;1;46.0;25,0;3-4-3;7.0;17.7;72.7;22.0;12.0;;3;10;<NA>-<NA>-<NA>;Atalanta;automne;14.0;0;3;0;;;;;nl Ajax;314.791;433.0
7;2020-10-31;W;1;1;Away;0;58.0;25,0;3-6-1;6.0;13.9;84.1;24.0;22.0;377.25;4;10;3-5-2;Atalanta;automne;19.0;0;3;0;1.0;6.0;0.0;11.0;Crotone;554.2189999999999;659.0
8;2020-11-03;L;0;0;Home;1;44.0;25,0;3-5-2;6.0;14.8;80.2;14.0;6.0;;3;11;<NA>-<NA>-<NA>;Atalanta;automne;9.0;0;0;0;;;;;eng Liverpool;401.0;500.0
9;2020-11-08;D;0;1;Home;1;52.0;25,0;3-4-3;2.0;19.2;87.1;10.0;15.0;-233.89999999999998;5;11;3-5-2;Atalanta;automne;9.0;0;1;0;3.0;10.0;0.0;13.0;Internazionale;499.95399999999995;574.0
