;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att
0;2021-08-21;W;1;1;Away;0;52.0;24.5;3-4-3;2.0;14.9;72.1;8.0;13.0;175.35;10;8;3-4-3;Atalanta;reste;7.0;0;2;0;2.0;21.0;1.0;17.0;Torino;328.776;456.0
1;2021-08-28;D;0;1;Home;1;59.0;24.5;3-4-3;3.0;20.0;79.4;9.0;11.0;212.55;7;8;4-3-3;Atalanta;reste;22.0;0;2;0;5.0;4.0;0.0;14.0;Bologna;469.254;591.0
2;2021-09-11;L;0;0;Home;1;55.0;24.5;3-4-3;4.0;10.7;83.5;8.0;13.0;72.94999999999999;14;9;4-3-3;Atalanta;automne;12.0;1;4;0;4.0;5.0;2.0;19.0;Fiorentina;460.085;551.0
3;2021-09-14;D;0;1;Away;0;52.0;24.5;3-4-3;4.0;19.6;78.2;14.0;11.0;;3;9;<NA>-<NA>-<NA>;Atalanta;automne;13.0;0;1;0;;;;;es Villarreal;369.88599999999997;473.0
4;2021-09-18;W;1;1;Away;0;58.0;24.5;3-4-3;3.0;15.6;82.9;13.0;13.0;328.19;4;9;3-5-2;Atalanta;automne;10.0;0;4;0;4.0;10.0;0.0;21.0;Salernitana;475.01700000000005;573.0
5;2021-09-21;W;1;1;Home;1;48.0;24.5;3-5-2;5.0;16.9;80.4;9.0;16.0;147.75;3;9;4-5-1;Atalanta;automne;14.0;0;2;0;2.0;8.0;0.0;16.0;Sassuolo;394.764;491.0
6;2021-09-25;D;0;1;Away;0;51.0;24.5;3-5-2;5.0;15.2;78.0;18.0;11.0;-159.79999999999995;4;9;3-5-2;Atalanta;automne;22.0;0;5;0;3.0;18.0;1.0;13.0;Internazionale;354.12;454.0
7;2021-09-29;W;1;1;Home;1;64.0;24.5;3-4-3;7.0;13.9;85.2;15.0;10.0;;4;9;<NA>-<NA>-<NA>;Atalanta;automne;13.0;0;1;0;;;;;ch Young Boys;559.764;657.0
8;2021-10-03;L;0;0;Home;1;56.0;24.5;3-5-2;4.0;17.9;80.0;8.0;13.0;-148.20000000000005;4;10;4-5-1;Atalanta;automne;16.0;1;1;0;4.0;13.0;0.0;15.0;Milan;408.0;510.0
9;2021-10-17;W;1;1;Away;0;52.0;24.5;3-5-2;7.0;17.6;80.2;15.0;16.0;272.25;14;10;4-3-3;Atalanta;automne;21.0;0;2;0;3.0;12.0;1.0;10.0;Empoli;400.19800000000004;499.0
