;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att
0;2021-08-01;L;0;0;Neutral;0;71.0;25,7;4-3-3;3.0;;;9.0;15.0;568.27;10;8;4-4-2;Paris-Saint-Germain;reste;10.0;0.0;4.0;0.0;2.0;8.0;;12.0;Lille;;
1;2021-08-07;W;1;1;Away;0;56.0;25,7;4-4-2;2.0;16.2;91.4;14.0;15.0;801.9499999999999;6;8;5-4-1;Paris-Saint-Germain;reste;12.0;0.0;4.0;0.0;1.0;15.0;0.0;3.0;Troyes;581.304;636.0
2;2021-08-14;W;1;1;Home;1;65.0;25,7;4-3-3;5.0;15.4;90.9;9.0;6.0;755.1;7;8;5-3-2;Paris-Saint-Germain;reste;11.0;0.0;1.0;0.0;5.0;8.0;0.0;18.0;Strasbourg;669.0240000000001;736.0
3;2021-08-20;W;1;1;Away;0;74.0;25,7;4-<NA>-<NA>;8.0;21.1;90.9;2.0;7.0;772.0;6;8;4-5-1;Paris-Saint-Germain;reste;16.0;0.0;2.0;0.0;1.0;11.0;1.0;8.0;Brest;786.285;865.0
4;2021-08-29;W;1;1;Away;0;67.0;25,7;4-3-3;3.0;17.1;88.6;12.0;13.0;725.75;9;8;3-5-2;Paris-Saint-Germain;reste;12.0;0.0;3.0;0.0;1.0;11.0;0.0;13.0;Reims;675.132;762.0
5;2021-09-11;W;1;1;Home;1;51.0;25,7;4-3-3;7.0;14.7;88.0;13.0;13.0;820.05;13;9;4-5-1;Paris-Saint-Germain;automne;13.0;0.0;0.0;0.0;1.0;14.0;1.0;9.0;Clermont-Foot;533.28;606.0
6;2021-09-15;D;0;1;Away;0;64.0;25,7;4-3-3;4.0;15.0;87.8;7.0;9.0;;4;9;<NA>-<NA>-<NA>;Paris-Saint-Germain;automne;9.0;0.0;2.0;0.0;;;;;be Club Brugge;633.9159999999999;722.0
7;2021-09-19;W;1;1;Home;1;54.0;25,7;4-5-1;4.0;20.6;87.5;8.0;13.0;477.45;4;9;4-5-1;Paris-Saint-Germain;automne;13.0;1.0;3.0;0.0;1.0;12.0;0.0;19.0;Lyon;483.0;552.0
8;2021-09-22;W;1;1;Away;0;74.0;25,7;4-<NA>-<NA>;4.0;20.0;88.2;5.0;12.0;784.1;3;9;4-5-1;Paris-Saint-Germain;automne;15.0;0.0;2.0;0.0;7.0;6.0;0.0;12.0;Metz;672.966;763.0
9;2021-09-25;W;1;1;Home;1;53.0;25,7;4-3-3;5.0;15.3;87.2;6.0;10.0;730.55;3;9;4-5-1;Paris-Saint-Germain;automne;16.0;0.0;0.0;0.0;1.0;10.0;1.0;8.0;Montpellier;483.96;555.0
10;2021-09-28;W;1;1;Home;1;46.0;25,7;4-3-3;3.0;15.8;85.9;10.0;8.0;;3;9;<NA>-<NA>-<NA>;Paris-Saint-Germain;automne;6.0;0.0;1.0;0.0;;;;;eng Manchester City;433.795;505.0
11;2021-10-03;L;0;0;Away;0;67.0;25,7;4-5-1;0.0;19.9;85.9;7.0;4.0;569.8;5;10;4-4-2;Paris-Saint-Germain;automne;13.0;0.0;3.0;0.0;2.0;12.0;0.0;9.0;Rennes;555.773;647.0
12;2021-10-15;W;1;1;Home;1;72.0;25,7;4-3-3;1.0;20.4;90.6;11.0;8.0;785.65;12;10;3-5-2;Paris-Saint-Germain;automne;12.0;1.0;1.0;0.0;0.0;7.0;0.0;10.0;Angers;703.0559999999999;776.0
13;2021-10-19;W;1;1;Home;1;64.0;25,7;4-3-3;3.0;18.2;87.6;7.0;7.0;;4;10;<NA>-<NA>-<NA>;Paris-Saint-Germain;automne;10.0;1.0;2.0;0.0;;;;;de RB Leipzig;586.044;669.0
14;2021-10-24;D;0;1;Away;0;52.0;25,7;4-5-1;4.0;12.4;87.3;9.0;8.0;590.45;5;10;4-5-1;Paris-Saint-Germain;automne;10.0;0.0;1.0;1.0;1.0;15.0;2.0;7.0;Marseille;487.134;558.0
15;2021-10-29;W;1;1;Home;1;59.0;25,7;4-3-3;6.0;15.0;90.8;13.0;7.0;568.27;5;10;4-4-2;Paris-Saint-Germain;automne;17.0;0.0;1.0;0.0;5.0;11.0;0.0;10.0;Lille;544.8;600.0
