;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;n_form;Penalty;Rouge;periode;nb_def
0;2020-09-26;W;1;1;Away;0;55.0;24.5;3-5-2;7.0;17.2;82.9;12.0;12.0;175.35;10;9;4-4-2;Atalanta;automne;18.0;0;2;0;162;0;0;2020-09;3
1;2020-09-30;W;1;1;Away;0;39.0;24.5;3-4-3;6.0;16.2;74.1;13.0;11.0;134.26999999999998;4;9;3-5-2;Atalanta;automne;10.0;0;2;0;322;0;0;2020-09;3
2;2020-10-04;W;1;1;Home;1;59.0;24.5;3-5-2;12.0;16.5;84.2;10.0;11.0;264.22;4;10;4-4-2;Atalanta;automne;21.0;0;0;0;162;0;0;2020-10;3
3;2020-10-17;L;0;0;Away;0;50.0;24.5;3-4-3;4.0;20.4;85.9;17.0;23.0;-78.48000000000002;13;10;4-5-1;Atalanta;automne;13.0;0;3;0;327;0;0;2020-10;3
4;2020-10-24;L;0;0;Home;1;65.0;24.5;3-5-2;4.0;19.8;85.6;16.0;12.0;270.2;3;10;4-4-2;Atalanta;automne;19.0;1;3;0;162;1;0;2020-10;3
5;2020-11-21;D;0;1;Away;0;45.0;24.5;3-4-3;4.0;15.9;73.6;26.0;18.0;320.25;13;11;4-3-3;Atalanta;automne;11.0;0;3;0;207;0;0;2020-11;3
6;2020-12-13;W;1;1;Home;1;53.0;24.5;3-4-3;7.0;13.5;83.1;11.0;17.0;72.94999999999997;4;12;4-5-1;Atalanta;reste;21.0;0;1;0;327;0;0;2020-12;3
7;2020-12-16;D;0;1;Away;0;46.0;24.5;3-5-2;6.0;20.3;81.0;15.0;18.0;-243.75;3;12;4-4-2;Atalanta;reste;15.0;0;2;0;162;0;0;2020-12;3
8;2020-12-20;W;1;1;Home;1;55.0;24.5;3-4-3;7.0;19.1;83.0;6.0;15.0;17.5;4;12;3-4-3;Atalanta;reste;14.0;0;2;0;155;0;0;2020-12;3
9;2020-12-23;D;0;1;Away;0;53.0;24.5;3-5-2;5.0;17.4;83.1;17.0;14.0;212.55;3;12;4-5-1;Atalanta;reste;11.0;1;2;0;327;1;0;2020-12;3
10;2021-01-03;W;1;1;Home;1;46.0;24.5;3-5-2;7.0;17.0;75.3;16.0;13.0;147.75;11;1;4-5-1;Atalanta;reste;23.0;0;3;0;327;0;0;2021-01;3
11;2021-01-17;D;0;1;Home;1;64.0;24.5;3-4-3;2.0;15.6;79.1;13.0;14.0;277.47;3;1;3-5-2;Atalanta;reste;18.0;0;1;0;322;0;0;2021-01;3
13;2021-01-23;W;1;1;Away;0;49.0;24.5;3-5-2;6.0;19.0;81.4;12.0;14.0;-148.20000000000005;3;1;4-5-1;Atalanta;reste;17.0;1;1;0;327;1;0;2021-01;3
14;2021-01-31;L;0;0;Home;1;57.0;24.5;3-4-3;3.0;12.3;78.4;23.0;12.0;134.26999999999998;4;1;3-5-2;Atalanta;reste;8.0;0;0;0;322;0;0;2021-01;3
15;2021-02-06;D;0;1;Home;1;57.0;24.5;3-4-3;4.0;12.4;77.6;14.0;23.0;175.35;3;2;3-5-2;Atalanta;reste;11.0;0;3;0;322;0;0;2021-02;3
16;2021-02-14;W;1;1;Away;0;64.0;24.5;3-4-3;2.0;15.4;79.5;15.0;14.0;264.22;4;2;3-5-2;Atalanta;reste;10.0;0;3;0;322;0;0;2021-02;3
17;2021-02-21;W;1;1;Home;1;47.0;24.5;3-5-2;5.0;12.7;81.7;19.0;19.0;-78.48000000000002;7;2;4-5-1;Atalanta;reste;18.0;0;2;0;327;0;0;2021-02;3
18;2021-02-28;W;1;1;Away;0;55.0;24.5;3-5-2;8.0;17.8;79.4;11.0;17.0;270.2;4;2;4-5-1;Atalanta;reste;20.0;0;3;0;327;0;0;2021-02;3
19;2021-03-12;W;1;1;Home;1;47.0;24.5;3-5-2;7.0;14.5;80.1;12.0;17.0;320.25;4;3;4-3-3;Atalanta;reste;14.0;0;2;0;207;0;0;2021-03;3
20;2021-04-03;W;1;1;Home;1;58.0;24.5;3-5-2;8.0;19.0;83.9;14.0;15.0;256.45;13;4;3-5-2;Atalanta;reste;23.0;0;0;0;322;0;0;2021-04;3
21;2021-04-11;W;1;1;Away;0;60.0;24.5;3-5-2;7.0;17.1;82.3;15.0;13.0;72.94999999999997;8;4;3-5-2;Atalanta;reste;14.0;1;1;0;322;1;0;2021-04;3
22;2021-04-18;W;1;1;Home;1;45.0;24.5;3-5-2;2.0;21.2;86.6;18.0;18.0;-243.75;7;4;4-4-2;Atalanta;reste;14.0;0;3;0;162;0;0;2021-04;3
23;2021-04-22;D;0;1;Away;0;41.0;24.5;3-4-3;8.0;18.5;77.2;16.0;7.0;17.5;4;4;4-5-1;Atalanta;reste;22.0;0;2;1;327;0;1;2021-04;3
25;2021-05-02;D;0;1;Away;0;37.0;24.5;3-5-2;6.0;21.4;77.4;10.0;12.0;147.75;7;5;4-5-1;Atalanta;reste;9.0;0;1;1;327;0;1;2021-05;3
26;2021-05-15;W;1;1;Away;0;60.0;24.5;3-4-3;6.0;13.3;86.7;11.0;8.0;277.47;3;5;3-5-2;Atalanta;reste;12.0;0;2;0;322;0;0;2021-05;3
27;2021-05-23;L;0;0;Home;1;70.0;24.5;3-4-3;1.0;20.5;86.2;9.0;17.0;-148.20000000000005;4;5;4-5-1;Atalanta;reste;13.0;0;3;1;327;0;1;2021-05;3
