;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp%;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;FDD;FDA
0;2020-09-26;W;1;1;Away;0;55.0;24.5;3-5-2;7.0;17.2;82.9;12.0;12.0;175.35;10;9;4-4-2;Atalanta;automne;18.0;0;2;0;1.0;7.0;0.0;11.0;-0.26442307692307687;1.8998612602935911
1;2020-09-30;W;1;1;Away;0;39.0;24.5;3-4-3;6.0;16.2;74.1;13.0;11.0;134.26999999999998;4;9;3-5-2;Atalanta;automne;10.0;0;2;0;7.0;14.0;0.0;16.0;-0.5625;1.4826799140708915
2;2020-10-04;W;1;1;Home;1;59.0;24.5;3-5-2;12.0;16.5;84.2;10.0;11.0;264.22;4;10;4-4-2;Atalanta;automne;21.0;0;0;0;0.0;12.0;1.0;9.0;-1.6682692307692308;2.068250984604368
3;2020-10-17;L;0;0;Away;0;50.0;24.5;3-4-3;4.0;20.4;85.9;17.0;23.0;-78.48000000000002;13;10;4-5-1;Atalanta;automne;13.0;0;3;0;1.0;19.0;0.0;12.0;-1.3173076923076923;1.3988766559255283
5;2020-10-24;L;0;0;Home;1;65.0;24.5;3-5-2;4.0;19.8;85.6;16.0;12.0;270.2;3;10;4-4-2;Atalanta;automne;19.0;1;3;0;4.0;6.0;0.0;19.0;0.10576923076923084;2.5051467955603295
9;2020-11-08;D;0;1;Home;1;52.0;24.5;3-4-3;2.0;19.2;87.1;10.0;15.0;-159.79999999999995;5;11;3-5-2;Atalanta;automne;9.0;0;1;0;3.0;10.0;0.0;13.0;-0.7932692307692307;1.3076888650196925
10;2020-11-21;D;0;1;Away;0;45.0;24.5;3-4-3;4.0;15.9;73.6;26.0;18.0;320.25;13;11;4-3-3;Atalanta;automne;11.0;0;3;0;3.0;9.0;0.0;19.0;0.3125;1.8532491944146083
12;2020-11-28;L;0;0;Home;1;58.0;24.5;3-4-3;5.0;17.0;80.6;14.0;12.0;235.77;3;11;3-4-3;Atalanta;automne;20.0;0;2;0;3.0;6.0;1.0;15.0;-1.0480769230769231;2.3376969208736127
15;2020-12-13;W;1;1;Home;1;53.0;24.5;3-4-3;7.0;13.5;83.1;11.0;17.0;72.94999999999997;4;12;4-5-1;Atalanta;reste;21.0;0;1;0;2.0;4.0;0.0;13.0;-0.46634615384615385;2.366049051199427
16;2020-12-16;D;0;1;Away;0;46.0;24.5;3-5-2;6.0;20.3;81.0;15.0;18.0;-243.75;3;12;4-4-2;Atalanta;reste;15.0;0;2;0;3.0;11.0;0.0;14.0;-0.6586538461538463;1.5838032581453634
17;2020-12-20;W;1;1;Home;1;55.0;24.5;3-4-3;7.0;19.1;83.0;6.0;15.0;17.5;4;12;3-4-3;Atalanta;reste;14.0;0;2;0;3.0;5.0;1.0;14.0;-1.7884615384615383;1.740422484783387
18;2020-12-23;D;0;1;Away;0;53.0;24.5;3-5-2;5.0;17.4;83.1;17.0;14.0;212.55;3;12;4-5-1;Atalanta;reste;11.0;1;2;0;2.0;9.0;1.0;12.0;-1.1298076923076923;1.4795694593626925
19;2021-01-03;W;1;1;Home;1;46.0;24.5;3-5-2;7.0;17.0;75.3;16.0;13.0;147.75;11;1;4-5-1;Atalanta;reste;23.0;0;3;0;1.0;10.0;0.0;9.0;-0.20673076923076916;1.9396706050841388
23;2021-01-17;D;0;1;Home;1;64.0;24.5;3-4-3;2.0;15.6;79.1;13.0;14.0;277.47;3;1;3-5-2;Atalanta;reste;18.0;0;1;0;2.0;7.0;0.0;13.0;-0.3125;2.264388650196921
24;2021-01-20;D;0;1;Away;0;66.0;24.5;3-4-3;4.0;16.0;82.3;9.0;26.0;256.45;3;1;3-6-1;Atalanta;reste;17.0;0;2;0;3.0;6.0;0.0;20.0;-1.3076923076923077;2.6540682062298604
25;2021-01-23;W;1;1;Away;0;49.0;24.5;3-5-2;6.0;19.0;81.4;12.0;14.0;-148.20000000000005;3;1;4-5-1;Atalanta;reste;17.0;1;1;0;2.0;14.0;0.0;11.0;-0.8269230769230769;1.6402613677049769
27;2021-01-31;L;0;0;Home;1;57.0;24.5;3-4-3;3.0;12.3;78.4;23.0;12.0;134.26999999999998;4;1;3-5-2;Atalanta;reste;8.0;0;0;0;2.0;14.0;1.0;20.0;-0.8557692307692308;2.122448979591837
29;2021-02-06;D;0;1;Home;1;57.0;24.5;3-4-3;4.0;12.4;77.6;14.0;23.0;175.35;3;2;3-5-2;Atalanta;reste;11.0;0;3;0;2.0;20.0;1.0;17.0;-2.6105769230769234;2.11734693877551
31;2021-02-14;W;1;1;Away;0;64.0;24.5;3-4-3;2.0;15.4;79.5;15.0;14.0;264.22;4;2;3-5-2;Atalanta;reste;10.0;0;3;0;3.0;4.0;0.0;17.0;0.028846153846153744;2.024592731829574
