;victoire;not_lose;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att;FDA;FDD;score_df_mean;score_mf_mean;score_fw_mean;score_dm_mean;score_gk_mean;top_GK;top_MF;top_DM;top_DF;top_FW;year;cluster;result;Domicile;reste;3-5-2;4-3-3;4-4-2;4-5-1;Cluster1;Cluster2;Cluster3;key;opp_cluster
0;0;1;0;53.0;25.0;3-5-2;5.0;17.4;83.1;17.0;14.0;276.4;3;12;4-5-1;Atalanta;reste;11.0;1;2;0;9.0;1.0;12.0;Bologna;505.24799999999993;608.0;1.5757118311242024;-1.260714285714286;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;1;1;1;0;1;2021;2;N;0;1;1;0;0;0;0;1;0;AtalantaBologna2021;3.0
1;1;1;1;46.0;25.0;3-5-2;7.0;17.0;75.3;16.0;13.0;188.26;11;1;4-5-1;Atalanta;reste;23.0;0;3;0;10.0;0.0;9.0;Sassuolo;350.898;466.0;2.11597324496809;-0.3363095238095237;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;1;1;1;0;1;2021;2;V;1;1;1;0;0;0;0;1;0;AtalantaSassuolo2021;3.0
3;1;1;1;52.0;25.0;3-5-2;6.0;15.7;83.1;8.0;10.0;301.3;3;1;4-5-1;Atalanta;reste;17.0;0;1;0;2.0;0.0;6.0;Parma;486.135;585.0;1.6883406971035837;-0.1869047619047619;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;1;1;1;0;1;2021;2;V;1;1;1;0;0;0;0;1;0;AtalantaParma2021;3.0
4;1;1;0;59.0;25.0;3-5-2;12.0;14.1;82.6;13.0;21.0;379.87;3;1;4-5-1;Atalanta;reste;27.0;0;2;0;5.0;0.0;13.0;Benevento;465.038;563.0;2.8690292096219934;-0.7172619047619047;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;1;1;1;0;1;2021;2;V;0;1;1;0;0;0;0;1;0;AtalantaBenevento2021;0.0
6;1;1;0;49.0;25.0;3-5-2;6.0;19.0;81.4;12.0;14.0;-117.77999999999996;3;1;4-5-1;Atalanta;reste;17.0;1;1;0;14.0;0.0;11.0;Milan;371.99800000000016;457.0;1.8104995090819835;-0.9511904761904764;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;1;1;1;0;1;2021;2;V;0;1;1;0;0;0;0;1;0;AtalantaMilan2021;1.0
8;1;1;1;47.0;25.0;3-5-2;5.0;12.7;81.7;19.0;19.0;-100.20000000000003;7;2;4-5-1;Atalanta;reste;18.0;0;2;0;4.0;0.0;11.0;Napoli;437.095;535.0;2.2054798723613156;-0.0970238095238094;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;1;1;1;0;1;2021;2;V;1;1;1;0;0;0;0;1;0;AtalantaNapoli2021;1.0
10;1;1;0;55.0;25.0;3-5-2;8.0;17.8;79.4;11.0;17.0;302.82;4;2;4-5-1;Atalanta;reste;20.0;0;3;0;8.0;2.0;7.0;Sampdoria;508.16;640.0;1.798545655375552;-2.8101190476190485;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;1;1;1;0;1;2021;2;V;0;1;1;0;0;0;0;1;0;AtalantaSampdoria2021;0.0
11;1;1;0;48.0;25.0;4-5-1;5.0;16.4;65.8;16.0;20.0;272.79;5;3;3-4-3;Atalanta;reste;15.0;1;2;0;3.0;0.0;23.0;Hellas-Verona;292.81;445.0;2.3754725085910646;-0.3071428571428572;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;1;1;1;0;1;2021;1;V;0;1;0;0;0;1;1;0;0;AtalantaHellas-Verona2021;
12;1;1;1;58.0;25.0;3-5-2;8.0;19.0;83.9;14.0;15.0;257.0;13;4;3-5-2;Atalanta;reste;23.0;0;0;0;9.0;1.0;9.0;Udinese;526.053;627.0;2.115261413843888;-1.5375;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;1;1;1;0;1;2021;2;V;1;1;1;0;0;0;0;1;0;AtalantaUdinese2021;3.0
13;1;1;0;60.0;25.0;3-5-2;7.0;17.1;82.3;15.0;13.0;143.2;8;4;3-5-2;Atalanta;reste;14.0;1;1;0;10.0;1.0;15.0;Fiorentina;516.021;627.0;1.9691519391261656;-1.4077380952380951;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;1;1;1;0;1;2021;2;V;0;1;1;0;0;0;0;1;0;AtalantaFiorentina2021;2.0
14;1;1;0;60.0;25.0;3-5-2;7.0;17.1;82.3;15.0;13.0;143.2;8;4;3-5-2;Atalanta;reste;14.0;1;1;0;10.0;1.0;15.0;Fiorentina;516.021;627.0;1.9691519391261656;-1.4077380952380951;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;1;1;1;0;1;2021;2;V;0;1;1;0;0;0;0;1;0;AtalantaFiorentina2021;3.0
15;0;1;0;37.0;25.0;3-5-2;6.0;21.4;77.4;10.0;12.0;188.26;7;5;4-5-1;Atalanta;reste;9.0;0;1;1;10.0;3.0;18.0;Sassuolo;284.832;368.0;1.5433357879234166;-3.7023809523809517;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;1;1;1;0;1;2021;2;N;0;1;1;0;0;0;0;1;0;AtalantaSassuolo2021;3.0
17;1;1;1;71.0;25.0;4-5-1;4.0;16.0;87.9;6.0;19.0;379.87;3;5;3-5-2;Atalanta;reste;15.0;0;2;0;4.0;0.0;11.0;Benevento;654.855;745.0;1.9091863033873344;-1.025595238095238;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;1;1;1;0;1;2021;1;V;1;1;0;0;0;1;1;0;0;AtalantaBenevento2021;0.0
19;0;0;0;42.0;24.1;4-5-1;4.0;16.8;81.7;11.0;20.0;-394.18;10;9;4-5-1;Bologna;automne;13.0;0;5;1;16.0;1.0;13.0;Milan;325.983;399.0;1.7858063328424154;-2.530952380952381;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;D;0;0;0;0;0;1;0;0;1;BolognaMilan2021;1.0
21;0;0;0;60.0;24.1;4-5-1;7.0;18.5;80.1;7.0;15.0;103.47;6;10;4-5-1;Bologna;automne;17.0;0;1;0;7.0;0.0;13.0;Benevento;386.082;482.0;1.9457965144820808;-0.9041666666666668;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;D;0;0;0;0;0;1;0;0;1;BolognaBenevento2021;0.0
23;0;0;0;52.0;24.1;4-5-1;5.0;18.0;82.4;14.0;16.0;-172.73;6;10;3-5-2;Bologna;automne;21.0;0;3;0;10.0;0.0;14.0;Lazio;431.77600000000007;524.0;2.3281173294059894;-0.6666666666666665;2.4705157276623777;2.029961487125798;1.8477012542538718;2.6994822989826703;0.3994292855263661;0;1;1;1;0;2021;3;D;0;0;0;0;0;1;0;0;1;BolognaLazio2021;2.0
