;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att;FDD;FDA;Squad;DF;DM;FW;GK;MF;score_df_mean;score_mf_mean;score_fw_mean;score_dm_mean;score_gk_mean;n_form;n;top_GK;top_MF;top_DM;top_DF;top_FW;top_MO;top_AIL;top_MIL;nb_def;nb_opp_def;nb_att;nb_opp_att;nb_mil;nb_opp_mil;diff_avant;diff_def;diff_mil;sup_def
7;2020-12-23;D;0;1;Away;0;53.0;25,0;3-5-2;5.0;17.4;83.1;17.0;14.0;276.4;3;12;4-5-1;Atalanta;reste;11.0;1;2;0;2.0;9.0;1.0;12.0;Bologna;505.24799999999993;608.0;-1.260714285714286;1.5757118311242024;Atalanta;0.0;2.0;2.0;1.0;2.0;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;212;200;1;1;1;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
8;2021-01-03;W;1;1;Home;1;46.0;25,0;3-5-2;7.0;17.0;75.3;16.0;13.0;188.26;11;1;4-5-1;Atalanta;reste;23.0;0;3;0;1.0;10.0;0.0;9.0;Sassuolo;350.898;466.0;-0.3363095238095237;2.11597324496809;Atalanta;0.0;2.0;2.0;1.0;2.0;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;212;200;1;1;1;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
9;2021-01-06;W;1;1;Home;1;52.0;25,0;3-5-2;6.0;15.7;83.1;8.0;10.0;301.3;3;1;4-5-1;Atalanta;reste;17.0;0;1;0;1.0;2.0;0.0;6.0;Parma;486.135;585.0;-0.1869047619047619;1.6883406971035837;Atalanta;0.0;2.0;2.0;1.0;2.0;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;212;200;1;1;1;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
10;2021-01-09;W;1;1;Away;0;59.0;25,0;3-5-2;12.0;14.1;82.6;13.0;21.0;379.87;3;1;4-5-1;Atalanta;reste;27.0;0;2;0;3.0;5.0;0.0;13.0;Benevento;465.038;563.0;-0.7172619047619047;2.869029209621993;Atalanta;0.0;2.0;2.0;1.0;2.0;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;212;200;1;1;1;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
12;2021-01-23;W;1;1;Away;0;49.0;25,0;3-5-2;6.0;19.0;81.4;12.0;14.0;-117.77999999999996;3;1;4-5-1;Atalanta;reste;17.0;1;1;0;2.0;14.0;0.0;11.0;Milan;371.9980000000001;457.0;-0.9511904761904763;1.8104995090819833;Atalanta;0.0;2.0;2.0;1.0;2.0;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;212;200;1;1;1;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
16;2021-02-21;W;1;1;Home;1;47.0;25,0;3-5-2;5.0;12.7;81.7;19.0;19.0;-100.20000000000003;7;2;4-5-1;Atalanta;reste;18.0;0;2;0;1.0;4.0;0.0;11.0;Napoli;437.095;535.0;-0.0970238095238094;2.2054798723613156;Atalanta;0.0;2.0;2.0;1.0;2.0;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;212;200;1;1;1;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
17;2021-02-28;W;1;1;Away;0;55.0;25,0;3-5-2;8.0;17.8;79.4;11.0;17.0;302.82;4;2;4-5-1;Atalanta;reste;20.0;0;3;0;1.0;8.0;2.0;7.0;Sampdoria;508.16;640.0;-2.8101190476190476;1.798545655375552;Atalanta;0.0;2.0;2.0;1.0;2.0;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;212;200;1;1;1;0;1;0;0;0;3;4;2;1;5;5;-2;2;0;1
20;2021-03-21;W;1;1;Away;0;48.0;25,0;4-5-1;5.0;16.4;65.8;16.0;20.0;272.79;5;3;3-4-3;Atalanta;reste;15.0;1;2;0;3.0;3.0;0.0;23.0;Hellas-Verona;292.81;445.0;-0.30714285714285716;2.375472508591065;Atalanta;0.0;2.0;2.0;1.0;2.0;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;99;160;1;1;1;0;1;0;0;0;4;3;1;3;5;4;-2;1;1;1
21;2021-04-03;W;1;1;Home;1;58.0;25,0;3-5-2;8.0;19.0;83.9;14.0;15.0;257.0;13;4;3-5-2;Atalanta;reste;23.0;0;0;0;2.0;9.0;1.0;9.0;Udinese;526.053;627.0;-1.5375;2.115261413843888;Atalanta;0.0;2.0;2.0;1.0;2.0;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;264;200;1;1;1;0;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
22;2021-04-11;W;1;1;Away;0;60.0;25,0;3-5-2;7.0;17.1;82.3;15.0;13.0;143.2;8;4;3-5-2;Atalanta;reste;14.0;1;1;0;3.0;10.0;1.0;15.0;Fiorentina;516.021;627.0;-1.4077380952380951;1.9691519391261658;Atalanta;0.0;2.0;2.0;1.0;2.0;2.02318917673053;3.924044584347053;6.620125577408347;2.8822002094312738;3.5583538610602394;264;200;1;1;1;0;1;0;0;0;3;3;2;2;5;5;-1;1;0;1
