;Date;Result;victoire;not_lose;Venue;home;Poss;age;Formation;SoT;Dist;Cmp;Int;Fls;diff_value;repos;Mois;opp_Formation;team;saison;Sh;PK;CrdY;CrdR;card;opp_Sh;coup_arret;opp_fls;Opponent;CMP;Att;FDD;FDA;Squad;DF;DM;FW;GK;MF;score_df_mean;score_mf_mean;score_fw_mean;score_dm_mean;score_gk_mean;n_form;n;top_GK;top_MF;top_DM;top_DF;top_FW;nb_def;nb_opp_def;nb_att;nb_opp_att;nb_mil;nb_opp_mil;diff_avant;diff_def;diff_mil;sup_def
0;2022-08-13;W;1;1;Away;0;45.0;26.4;3-5-2;3.0;14.4;76.7;11.0;21.0;258.05;10;8;4-5-1;Atalanta;reste;9.0;0;6;0;4.0;11.0;2.0;13.0;Sampdoria;312.9360000000001;408.0;-3.0875000000000004;1.6251056745801968;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;65;134;0;1;1;1;1;3;4;2;1;5;5;-2;2;0;1
1;2022-08-21;D;0;1;Home;1;40.0;26.4;3-4-3;2.0;18.9;78.6;7.0;15.0;-217.75;8;8;4-5-1;Atalanta;reste;11.0;0;4;0;3.0;18.0;0.0;6.0;Milan;304.182;387.0;-1.4886363636363638;1.0771699478865084;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;65;84;0;1;1;1;1;3;4;3;1;4;5;-1;2;-1;1
2;2022-08-28;W;1;1;Away;0;51.0;26.4;3-4-3;7.0;18.9;69.8;12.0;7.0;244.65;7;8;3-5-2;Atalanta;reste;15.0;0;3;0;3.0;14.0;0.0;15.0;Hellas-Verona;295.952;424.0;-0.25075757575757596;1.820503281219842;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;156;84;0;1;1;1;1;3;3;3;2;4;5;0;1;-1;1
3;2022-09-01;W;1;1;Home;1;41.0;26.4;3-4-3;3.0;18.8;70.2;10.0;14.0;159.97;4;9;3-4-3;Atalanta;automne;10.0;2;1;0;3.0;8.0;0.0;13.0;Torino;275.88599999999997;393.0;-0.5242424242424243;1.3846139741362673;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;93;84;0;1;1;1;1;3;3;3;3;4;4;0;0;0;0
4;2022-09-05;W;1;1;Away;0;41.0;26.4;4-5-1;6.0;15.2;75.5;14.0;10.0;214.8;4;9;3-5-2;Atalanta;automne;13.0;0;1;0;1.0;10.0;0.0;9.0;Monza;317.1;420.0;-0.01893939393939381;1.5531292221578847;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;156;67;0;1;1;1;1;4;3;1;2;5;5;-2;2;0;1
5;2022-09-11;D;0;1;Home;1;58.0;26.4;3-4-3;6.0;19.5;74.7;15.0;9.0;264.6;6;9;3-4-3;Atalanta;automne;14.0;0;3;0;5.0;7.0;0.0;17.0;Cremonese;377.98199999999997;506.0;0.32613636363636345;1.9201573055394714;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;93;84;0;1;1;1;1;3;3;3;3;4;4;0;0;0;0
6;2022-09-18;W;1;1;Away;0;44.0;26.4;3-4-3;1.0;25.1;72.7;14.0;19.0;12.350000000000026;7;9;3-4-3;Atalanta;automne;4.0;0;7;0;0.0;21.0;0.0;9.0;Roma;303.88599999999997;418.0;-1.306439393939394;0.4522312294923758;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;93;84;0;1;1;1;1;3;3;3;3;4;4;0;0;0;0
7;2022-10-02;W;1;1;Home;1;39.0;26.4;3-5-2;5.0;15.5;74.3;4.0;12.0;93.2;14;10;4-3-3;Atalanta;automne;10.0;0;2;0;2.0;16.0;0.0;10.0;Fiorentina;277.882;374.0;-1.4363636363636365;1.4024638100752747;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;107;134;0;1;1;1;1;3;4;2;3;5;3;-2;0;2;0
8;2022-10-09;D;0;1;Away;0;41.0;26.4;3-5-2;4.0;18.5;76.0;9.0;12.0;186.45;7;10;3-5-2;Atalanta;automne;8.0;1;3;0;2.0;10.0;2.0;11.0;Udinese;291.84;384.0;-2.6068181818181815;1.211870295309786;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;156;134;0;1;1;1;1;3;3;2;2;5;5;-1;1;0;1
9;2022-10-15;W;1;1;Home;1;48.0;26.4;3-5-2;4.0;13.8;80.7;13.0;10.0;158.1;6;10;4-3-3;Atalanta;automne;16.0;0;1;0;4.0;11.0;0.0;8.0;Sassuolo;430.131;533.0;-0.17234848484848464;1.8083304381393555;Atalanta;1.0;1.0;1.0;0.0;3.0;3.1725810970747683;4.252126865486015;4.922852005723769;2.4351688118229706;1.1066166672039035;107;134;0;1;1;1;1;3;4;2;3;5;3;-2;0;2;0
