Player
Nani
Felipe Anderson
Musa Barrow
Domenico Berardi
Federico Bernardeschi
Jérémie Boga
Jovane Cabral
José Callejón
Matteo Cancellieri
Samu Castillejo
Riccardo Ciervo
Ebrima Colley
Rafael Leão
Diego Farias
Mikkel Damsgaard
Francesco Di Mariano
Stephan El Shaarawy
Nicolás González
Albert Guðmundsson
Jonathan Ikoné
Lorenzo Insigne
Emil Ceide
Hirving Lozano
Junior Messias
Valentin Mihaila
Brian Oddei
Riccardo Orsolini
Carles Pérez
Diego Perotti
Matteo Politano
Ante Rebić
Pedro
Luka Romero
Alexis Saelemaekers
Nicola Sansone
Riccardo Saponara
Demba Seck
Andreas Skov Olsen
Riccardo Sottil
Daniele Verde
Magnus Warming
Mattia Zaccagni
