PLAYER
Jordan Veretout
Ronaldo Vieira
Mërgim Vojvoda
Gerard Yepes
Denis Zakaria
Nicola Zalewski
Davide Zappacosta
Szymon Zurkowski
Franck Kessie;DM
Ben Lhassine Kone
Teun Koopmeiners
Rade Krunić
Maxime López
Darko Lazović
Saša Lukić
Joakim Mæhle
Francesco Magnanelli
Christian Oliva
Miguel Veloso
Tommaso Pobega
Sérgio Oliveira
Samuele Ricci
Tomás Rincón
Fabián Ruiz
Jerdy Schouten
Aimar Sher
Leonardo Spinazzola
Wilfried Singo
Adrien Tameze
Filippo Terracciano
Tanner Tessmann
Sandro Tonali
Abdoulaye Touré
Leo Štulac
Kristjan Asllani
Milan Badelj
Tiemoué Bakayoko
Filippo Bandinelli
Ismael Bennacer
Edoardo Bove
Liberato Cacace
Bryan Cristante
Ebrima Darboe
Marten de Roon
Matheus Henrique
Diego Demme
Fabio Depaoli
Amadou Diawara
Nicolás Domínguez
Éderson
Davide Faraoni
Remo Freuler
Robin Gosens
Nicolas Haas
Hans Hateboer
Aaron Hickey
Martin Hongla
Ivan Ilić
