PLAYER
Sofyan Amrabat
Milan Badelj
Tiemoué Bakayoko
Paolo Bartolomei
Ismael Bennacer
Rodrigo Bentancur
Edoardo Bove
Fabrizio Caligara
Luca Cigarini
Bryan Cristante
Eduardo
Bryan Dabo
Christian Eriksen
Andrea Danzi
Ebrima Darboe
Marten de Roon
Léo Sena
Diego Demme
Fabio Depaoli
Amadou Diambo
Amadou Diawara
Nicolás Domínguez
Nahuel Estévez
Davide Faraoni
Remo Freuler
Robin Gosens
Hans Hateboer
Aaron Hickey
Ivan Ilić
Rade Krunić
Juraj Kucka
Jasmin Kurtić
Maxime López
Darko Lazović
Karol Linetty
Saša Lukić
Joakim Mæhle
Francesco Magnanelli
Giuseppe Mastinu
Pedro Obiang
Christian Oliva
Miguel Veloso
Tommaso Pobega
Andrea Poli
Tomás Rincón
Fabián Ruiz
Jerdy Schouten
Simon Sohm
Leonardo Spinazzola
Wilfried Singo
Adrien Tameze
Sandro Tonali
Borja Valero
Jordan Veretout
Ronaldo Vieira
Gonzalo Villar
Mërgim Vojvoda
Miha Zajc
Nicola Zalewski
Niccolò Zanellato
Davide Zappacosta
