
PLAYER
Emirhan İlkhan
Oliver Abildgaard
Christian Acella
Michel Ndary Adopo
Sofyan Amrabat
Santiago Ascacíbar
Kristjan Asllani
Tiemoué Bakayoko
Filippo Bandinelli
Brian Bayeye
Ismael Bennacer
Alessandro Bianco
Kristijan Bistrović
Edoardo Bove
Liberato Cacace
Michele Castagnetti
Bryan Cristante
Marten de Roon
Matheus Henrique
Diego Demme
Fabio Depaoli
Josh Doig
Nicolás Domínguez
Éderson
Salvatore Esposit
Davide Faraoni
Jacopo Fazzini
Robin Gosens
Nicolas Haas
Hans Hateboer
Martin Hongla
Ajdin Hrustic
Ivan Ilić
Rick Karsdorp
Teun Koopmeiners
Rade Krunić
Darko Lazović
Karol Linetty
Saša Lukić
Joakim Mæhle
Răzvan Marin
Nemanja Matić
Tommaso Milanese
Tanguy Ndombèlé
Pedro Obiang
Flavio Paoletti
Miguel Veloso
Tommaso Pobega
Paul Pogba
Filippo Ranocchia
Samuele Ricci
Tomás Rincón
Jerdy Schouten
Marcos Antônio
Leonardo Spinazzola
Wilfried Singo
Ibrahim Sulemana
Benjamin Tahirovic
Adrien Tameze
Filippo Terracciano
Sandro Tonali
Ronaldo Vieira
Gonzalo Villar
Mërgim Vojvoda
Aster Vranckx
Harry Winks
Gerard Yepes
Denis Zakaria
Nicola Zalewski
Davide Zappacosta
Szymon Zurkowski
