PLAYER
Salis Abdul Samed
Ibrahim Amadou
Benjamin André
Jimmy Cabot
Yannick Cahuzac
Jens Cajuste
Maxence Caqueret
Moreto Cassamá
Joris Chotard
Jonathan Clauss
Thomas Delaine
Assane Dioussé
Lohann Doucet
Cheick Doucouré
Jordan Ferri
Seko Fofana
Przemysław Frankowski
Johan Gastien
Ismaël Gharbi
Lucas Gourna Douath
Josuha Guilavogui
Jonathan Iglesias
Danylo Ihnatenko
Bonke Innocent
Léo Leroy
Banzouzi Locko
Dion Lopy
Habib Maïga
Deiver Machado
Yohann Magnin
Hianga Mananga Mbock
Azor Matusiwa
Derek Mazou-Sacko
Edouard Michut
Marshall Munetsi
Tanguy Ndombèlé
Cheikh Niasse
Jean Onana
Rubén Pardo
Otávio
Maxence Rivera
Valentin Rongier
Mahamé Siby
Waniss Taibi
Oussama Targhalline
Papa Ndiaga Yade
