Player
Filip Đuričić
Brahim Diaz
Mattia Aramu
Nedim Bajrami
Tommaso Baldanzi
Antonín Barák
Josip Brekalo
Gianluca Caprari
Paulo Dybala
Gianluca Gaetano
Nicolas Galazzi
Liam Henderson
Daan Heymans
Josip Iličić
Yayah Kallon
Sofian Kiyine
Viktor Kovalenko
Dejan Kulusevski
Daniel Maldini
Ruslan Malinovskyi
Dries Mertens
Aleksei Miranchuk
Mario Pašalić
Lorenzo Pellegrini
Matteo Pessina
Marko Pjaca
Anderson Lima
Dennis Praet
Mateusz Praszelik
Giacomo Raspadori
Abdelhamid Sabiri
Daniel Bessa
Arnór Sigurðsson
Roberto Soriano
Matìas Soulé
Hamed Traoré
Simone Verdi
Valerio Verre
Emanuel Vignato
Cristian Volpato
Piotr Zieliński
