Player
Hakan Çalhanoğlu
Domen Črnigoj
Michel Aebischer
Kevin Agudelo
Marley Aké
Jean Daniel Akpa Akpro
Nadiem Amiri
Sofyan Amrabat
Cristian Ansaldi
Tolgay Ali Arslan
Kristoffer Askildsen
Hernani
Toma Bašić
Nicolò Barella
Daniele Baselli
Valon Behrami
Raoul Bellanova
Marco Benassi
Bjarki Bjarkason
Emil Bohinen
Giacomo Bonaventura
Mehdi Bourabia
Marcelo Brozović
Gianluca Busio
Andrea Cambiaso
Antonio Candreva
Leonardo Capezzi
Francesco Cassata
Gaetano Castrovilli
Danilo Cataldi
Dalbert
Federico Chiesa
Joel Obi
Lassana Coulibaly
Mamadou Coulibaly
Giovanni Crociata
Juan Cuadrado
Mickaël Cuisance
Matteo Darmian
Alessandro Deiola
Jacopo Dezi
Federico Dimarco
Denzel Dumfries
Alfred Duncan
Albin Ekdal
Eljif Elmas
Gonzalo Escalante
Mohamed Salim Fares
Antonio Fiordilino
Davide Frattesi
Morten Frendrup
Roberto Gagliardini
Pablo Galdames
Paolo Ghiglione
Alberto Grassi
Abdou Harroui
Mato Jajalo
Paweł Jaroszyński
Grigoris Kastanos
Franck Kessie
Christos Kourfalidis
Patrick Leal
Karol Linetty
Stanislav Lobotka
Manuel Locatelli
Giulio Maggiore
Jean-Victor Makengo
Youssef Maleh
Rolando Mandragora
Răzvan Marin
Weston McKennie
Filippo Melegoni
Kingsley Michael
Sergej Milinković-Savić
Fabio Miretti
Henrikh Mkhitaryan
Raúl Moro
Nahitan Nández
Aurélien Nguiamba
Gastón Pereiro
Dor Peretz
Roberto Pereyra
Ivan Perišić
Adrien Silva
Lucas Leiva
Suf Podgoreanu
Manolo Portanova
Erick Pulgar
Niklas Pyyhtiä
Adrien Rabiot
Arthur
Aaron Ramsey
Arkadiusz Reca
Marko Rog
Luis Alberto
Nicolò Rovella
Alessandro Russo
Lazar Samardzic
Andrea Schiavone
Stefano Sensi
Alassane Sidibe
Walace
Kevin Strootman
Stefano Sturaro
Mattias Svanberg
Tanner Tessmann
Morten Thorsby
Lucas Torreira
Simone Trimboli
Iyenoma Udogie
Kacper Urbański
Antonio Vacca
Matías Vecino
Arturo Vidal
Nicolas Viola
André-Frank Zambo Anguissa
Marvin Zeegelaar
