Player,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,-9999
,,,,,,,,,,,,,,,,,,,,-9999
Emil Audero,GK,Sampdoria,26-068,25,25,2250,25.0,39,1.56,121,82,71.9,4,16.0,7,5,2,0,28.6,649b01d8
Marco Carnesecchi,GK,Cremonese,22-269,18,18,1620,18.0,30,1.67,98,69,71.4,2,11.1,2,2,0,0,0.0,8ec56e62
Andrea Consigli,GK,Sassuolo,36-059,25,25,2250,25.0,37,1.48,84,47,59.5,8,32.0,3,3,0,0,0.0,8cabdc1e
Alessio Cragno,GK,Monza,28-272,1,1,90,1.0,3,3.00,5,2,40.0,0,0.0,0,0,0,0,,f554e29b
Michele Di Gregorio,GK,Monza,25-243,26,26,2340,26.0,34,1.31,109,76,68.8,7,26.9,0,0,0,0,,4e0c8d66
Bartłomiej Drągowski,GK,Spezia,25-220,25,25,2136,23.7,38,1.60,130,91,73.1,4,16.0,5,3,1,1,25.0,085e71a7
Wladimiro Falcone,GK,Lecce,27-349,27,27,2430,27.0,32,1.19,116,86,75.9,3,11.1,4,4,0,0,0.0,9f5a610b
Pierluigi Gollini,GK,Fiorentina,28-009,3,3,270,3.0,2,0.67,8,6,75.0,2,66.7,0,0,0,0,,f0f7f62f
Pierluigi Gollini,GK,Napoli,28-009,1,1,90,1.0,0,0.00,3,3,100.0,1,100.0,0,0,0,0,,f0f7f62f
Samir Handanović,GK,Inter,38-256,10,10,900,10.0,16,1.60,39,24,61.5,2,20.0,1,1,0,0,0.0,74419746
Mike Maignan,GK,Milan,27-267,11,11,990,11.0,14,1.27,37,22,67.6,3,27.3,3,2,1,0,33.3,fcb38f57
Federico Marchetti,GK,Spezia,40-048,1,0,66,0.7,2,2.73,3,1,33.3,0,,0,0,0,0,,f794b426
Luís Maximiano,GK,Lazio,24-081,1,1,5,0.1,,,,,,,,,,,,,3318286e
Alex Meret,GK,Napoli,26-005,26,26,2340,26.0,16,0.62,64,47,76.6,13,50.0,2,1,1,0,50.0,9413b19f
Vanja Milinković-Savić,GK,Torino,26-035,27,27,2430,27.0,33,1.22,102,69,71.6,7,25.9,5,4,0,1,0.0,9fa26bc2
Lorenzo Montipò,GK,Hellas Verona,27-035,26,26,2340,26.0,41,1.58,129,88,68.2,3,11.5,1,0,1,0,100.0,c1d95617
Juan Musso,GK,Atalanta,28-325,21,21,1807,20.1,22,1.10,75,55,72.0,7,33.3,1,1,0,0,0.0,a111cf41
Guillermo Ochoa,GK,Salernitana,37-257,10,10,900,10.0,20,2.00,56,35,67.9,2,20.0,3,2,1,0,33.3,1e9bde92
André Onana,GK,Inter,26-359,17,17,1530,17.0,15,0.88,55,41,76.4,7,41.2,2,2,0,0,0.0,e9c0c1b2
Rui Patrício,GK,Roma,35-040,27,27,2430,27.0,26,0.96,86,61,72.1,10,37.0,2,2,0,0,0.0,79b0d6a0
Gianluca Pegolo,GK,Sassuolo,42-002,2,2,180,2.0,3,1.50,6,3,66.7,0,0.0,1,1,0,0,0.0,f058ed1f
Simone Perilli,GK,Hellas Verona,28-079,1,1,90,1.0,0,0.00,4,4,100.0,1,100.0,0,0,0,0,,b9e11c1d
Mattia Perin,GK,Juventus,30-137,9,8,768,8.5,6,0.70,34,27,85.3,5,62.5,2,1,1,0,50.0,4c62d0c8
Samuele Perisan,GK,Empoli,25-218,3,3,270,3.0,5,1.67,11,6,54.5,0,0.0,0,0,0,0,,00a17eba
Ivan Provedel,GK,Lazio,29-010,27,26,2423,26.9,19,0.71,90,71,80.0,16,61.5,1,1,0,0,0.0,277da414
Ionuț Radu,GK,Cremonese,25-303,9,9,810,9.0,19,2.11,64,45,75.0,1,11.1,3,3,0,0,0.0,67f649be
Luigi Sepe,GK,Salernitana,31-323,17,17,1530,17.0,27,1.59,87,57,73.6,3,17.6,7,4,3,0,42.9,343f753a
Marco Silvestri,GK,Udinese,32-025,27,27,2430,27.0,31,1.15,94,65,71.3,8,29.6,4,4,0,0,0.0,0d422df7
Salvatore Sirigu,GK,Fiorentina,36-074,1,1,90,1.0,0,0.00,5,5,100.0,1,100.0,0,0,0,0,,10dc46f0
Łukasz Skorupski,GK,Bologna,31-326,27,27,2430,27.0,36,1.33,116,81,74.1,5,18.5,7,6,1,0,14.3,ab4449d6
Marco Sportiello,GK,Atalanta,30-321,7,6,623,6.9,9,1.30,26,17,65.4,2,33.3,0,0,0,0,,ac4003af
Wojciech Szczęsny,GK,Juventus,32-343,19,19,1662,18.5,16,0.87,55,39,70.9,11,57.9,0,0,0,0,,01b8a2b2
Ciprian Tătărușanu,GK,Milan,37-046,16,16,1440,16.0,22,1.37,61,40,67.2,4,25.0,2,2,0,0,0.0,b056e3da
Pietro Terracciano,GK,Fiorentina,33-019,23,23,2070,23.0,29,1.26,78,50,66.7,4,17.4,3,3,0,0,0.0,e1b0a70d
Martin Turk,GK,Sampdoria,19-218,2,2,180,2.0,5,2.50,13,8,61.5,0,0.0,1,0,0,1,,14ae023f
Guglielmo Vicario,GK,Empoli,26-171,24,24,2160,24.0,31,1.29,104,73,72.1,7,29.2,4,2,1,1,33.3,77d6fd4d
Jeroen Zoet,GK,Spezia,32-080,3,2,154,1.7,1,0.58,6,5,83.3,0,0.0,0,0,0,0,,cc1a0c57
Petar Zovko,GK,Spezia,21-002,1,0,74,0.8,2,2.43,3,1,33.3,0,,0,0,0,0,,54f6afe3
