Player,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,-9999
,,,,,,,,,,,,,,,,,,,,-9999
Alisson,GK,Liverpool,28,36,36,3240,36.0,24,0.67,99,76,75.8,20,55.6,0,0,0,0,,7a2e46a8
Alphonse Areola,GK,West Ham,28,1,1,90,1.0,1,1.00,3,2,66.7,0,0.0,0,0,0,0,,2f965a72
Kepa Arrizabalaga,GK,Chelsea,26,4,4,360,4.0,2,0.50,13,11,84.6,2,50.0,0,0,0,0,,28d596a0
Daniel Bachmann,GK,Watford,27,12,12,1080,12.0,28,2.33,72,46,65.3,0,0.0,3,3,0,0,0.0,1c0eea98
Asmir Begović,GK,Everton,34,3,3,270,3.0,8,2.67,18,11,61.1,1,33.3,1,1,0,0,0.0,7b4de647
Jack Butland,GK,Crystal Palace,28,9,8,765,8.5,13,1.53,28,16,53.6,1,12.5,1,0,1,0,100.0,cc70a1d5
Willy Caballero,GK,Southampton,39,2,2,180,2.0,5,2.50,11,6,54.5,0,0.0,0,0,0,0,,a179d516
Karl Darlow,GK,Newcastle Utd,30,8,8,720,8.0,15,1.87,37,23,64.9,0,0.0,2,2,0,0,0.0,cde3309f
Martin Dúbravka,GK,Newcastle Utd,32,26,26,2340,26.0,35,1.35,106,72,67.9,8,30.8,1,1,0,0,0.0,3a949a25
Ederson,GK,Manchester City,27,37,37,3330,37.0,26,0.70,83,57,69.9,20,54.1,1,1,0,0,0.0,3bb7b8b4
Łukasz Fabiański,GK,West Ham,36,37,37,3330,37.0,50,1.35,162,111,70.4,8,21.6,6,2,3,1,60.0,9328b835
Álvaro Fernández,GK,Brentford,23,12,12,1080,12.0,24,2.00,69,47,66.7,1,8.3,1,1,0,0,0.0,f127d782
Fraser Forster,GK,Southampton,33,19,19,1710,19.0,35,1.84,101,68,67.3,3,15.8,2,2,0,0,0.0,c3e39f12
Ben Foster,GK,Watford,38,26,26,2340,26.0,49,1.88,116,67,60.3,4,15.4,4,3,1,0,25.0,d0b3ceb9
David de Gea,GK,Manchester Utd,30,38,38,3420,38.0,57,1.50,180,124,70.0,8,21.1,5,3,2,0,40.0,7ba6d84e
Vicente Guaita,GK,Crystal Palace,34,30,30,2655,29.5,33,1.12,116,83,74.1,11,36.7,3,3,0,0,0.0,ab13a5aa
Angus Gunn,GK,Norwich City,25,9,9,810,9.0,22,2.44,57,34,64.9,1,11.1,4,2,1,1,33.3,e082af5b
Wayne Hennessey,GK,Burnley,34,2,2,180,2.0,6,3.00,13,8,53.8,0,0.0,0,0,0,0,,76eca7e2
Caoimhín Kelleher,GK,Liverpool,22,2,2,180,2.0,2,1.00,8,6,75.0,1,50.0,0,0,0,0,,62d7ef38
Kristoffer Klaesson,GK,Leeds United,20,1,0,36,0.4,0,0.00,4,4,100.0,0,,0,0,0,0,,3f70db80
Tim Krul,GK,Norwich City,33,29,29,2610,29.0,62,2.14,165,105,66.7,5,17.2,8,7,0,1,0.0,f23f9d20
Bernd Leno,GK,Arsenal,29,4,4,360,4.0,9,2.25,19,10,52.6,1,25.0,0,0,0,0,,2628fd2b
Hugo Lloris,GK,Tottenham,34,38,38,3420,38.0,40,1.05,137,98,72.3,16,42.1,2,2,0,0,0.0,8f62b6ee
Jonas Lössl,GK,Brentford,32,2,2,180,2.0,5,2.50,7,2,28.6,0,0.0,0,0,0,0,,939bc634
Emiliano Martínez,GK,Aston Villa,28,36,36,3240,36.0,48,1.33,140,93,68.6,11,30.6,6,4,1,1,20.0,7956236f
Alex McCarthy,GK,Southampton,31,17,17,1530,17.0,27,1.59,71,44,62.0,5,29.4,0,0,0,0,,36c2ca73
Edouard Mendy,GK,Chelsea,29,34,34,3060,34.0,31,0.91,102,72,75.5,14,41.2,6,6,0,0,0.0,33887998
Illan Meslier,GK,Leeds United,21,38,38,3384,37.6,79,2.10,220,142,66.4,5,13.2,5,5,0,0,0.0,6b625ac2
Robin Olsen,GK,Aston Villa,31,1,1,90,1.0,3,3.00,5,2,40.0,0,0.0,0,0,0,0,,e7ee38c3
Jordan Pickford,GK,Everton,27,35,35,3150,35.0,58,1.66,170,116,66.5,7,20.0,1,1,0,0,0.0,4806ec67
Nick Pope,GK,Burnley,29,36,36,3240,36.0,47,1.31,165,119,74.5,9,25.0,5,5,0,0,0.0,4b40d9ca
Aaron Ramsdale,GK,Arsenal,23,34,34,3060,34.0,39,1.15,128,90,73.4,12,35.3,6,5,0,1,0.0,466fb2c5
David Raya,GK,Brentford,25,24,24,2160,24.0,27,1.13,103,76,77.7,8,33.3,4,4,0,0,0.0,98ea5115
