Player,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,-9999
,,,,,,,,,,,,,,,,,,,,-9999
Doğan Alemdar,GK,Rennes,18,12,12,1080,12.0,13,1.08,36,22,66.7,4,33.3,2,1,1,0,50.0,9e17ccff
Stefan Bajic,GK,Saint-Étienne,19,7,4,510,5.7,13,2.29,29,16,62.1,0,0.0,2,2,0,0,0.0,be13e5a8
Walter Benítez,GK,Nice,28,37,37,3330,37.0,35,0.95,141,105,78.0,14,37.8,5,4,1,0,20.0,8a2248b4
Paul Bernardoni,GK,Saint-Étienne,24,19,19,1710,19.0,37,1.95,93,58,65.6,3,15.8,5,5,0,0,0.0,28dabd43
Paul Bernardoni,GK,Angers,24,13,13,1170,13.0,19,1.46,46,27,65.2,4,30.8,3,3,0,0,0.0,28dabd43
Dimitry Bertaud,GK,Montpellier,23,11,9,833,9.3,20,2.16,57,37,68.4,2,22.2,2,2,0,0,0.0,380a15e2
Marco Bizot,GK,Brest,30,38,38,3420,38.0,57,1.50,170,115,68.8,7,18.4,4,4,0,0,0.0,3d214e5f
Marcin Bułka,GK,Nice,21,1,1,90,1.0,1,1.00,5,4,80.0,0,0.0,0,0,0,0,,db87a2c4
Marc-Aurèle Caillard,GK,Metz,27,19,17,1542,17.1,30,1.75,87,57,67.8,5,29.4,2,2,0,0,0.0,5ee6e943
Leonardo César Jardim,GK,Lille,26,17,17,1530,17.0,20,1.18,62,47,74.2,8,47.1,5,4,1,0,20.0,f5dfc256
Benoît Costil,GK,Bordeaux,34,25,25,2250,25.0,62,2.48,133,72,57.1,0,0.0,5,5,0,0,0.0,2434f24a
Arthur Desmas,GK,Clermont Foot,27,15,15,1304,14.5,33,2.28,66,34,54.5,3,20.0,3,3,0,0,0.0,e8c5dd4d
Ouparine Djoco,GK,Clermont Foot,23,24,23,2116,23.5,36,1.53,99,65,65.7,5,21.7,2,2,0,0,0.0,62124972
Gianluigi Donnarumma,GK,Paris S-G,22,17,17,1530,17.0,17,1.00,61,45,73.8,5,29.4,1,1,0,0,0.0,08f5afaa
Matthieu Dreyer,GK,Lorient,32,16,16,1440,16.0,25,1.56,57,32,57.9,7,43.8,1,1,0,0,0.0,fbf83734
Wuilker Faríñez,GK,Lens,23,13,11,1105,12.3,15,1.22,45,30,68.9,3,27.3,1,1,0,0,0.0,2c127b6f
Gauthier Gallon,GK,Troyes,28,31,31,2790,31.0,45,1.45,135,92,72.6,8,25.8,8,8,0,0,0.0,db3164e1
Alfred Gomis,GK,Rennes,27,25,25,2250,25.0,25,1.00,67,43,68.7,10,40.0,4,4,0,0,0.0,cecbce23
Ivo Grbić,GK,Lille,25,21,21,1890,21.0,28,1.33,85,58,69.4,2,9.5,2,2,0,0,0.0,3f034750
Etienne Green,GK,Saint-Étienne,21,15,15,1197,13.3,27,2.03,67,42,61.2,1,6.7,1,1,0,0,0.0,667b65da
Eiji Kawashima,GK,Strasbourg,38,1,1,90,1.0,0,0.00,1,1,100.0,1,100.0,0,0,0,0,,a4527d33
Alban Lafont,GK,Nantes,22,38,38,3420,38.0,48,1.26,155,105,71.6,8,21.1,7,4,3,0,42.9,4e7db402
Jean-Louis Leca,GK,Lens,35,27,27,2313,25.7,33,1.28,100,66,70.0,5,18.5,4,3,1,0,25.0,edbe46dc
Alexandre Letellier,GK,Paris S-G,30,1,0,8,0.1,0,0.00,0,0,,1,,0,0,0,0,,96fcd380
Anthony Lopes,GK,Lyon,30,34,34,2982,33.1,45,1.36,148,105,71.6,8,23.5,4,3,1,0,25.0,f00de885
Pau López,GK,Marseille,26,29,29,2610,29.0,31,1.07,86,55,68.6,10,34.5,4,4,0,0,0.0,20b9f052
Steve Mandanda,GK,Marseille,36,9,9,810,9.0,7,0.78,26,20,73.1,5,55.6,0,0,0,0,,1d2d5cc8
Anthony Mandrea,GK,Angers,24,10,10,900,10.0,14,1.40,44,31,68.2,2,20.0,0,0,0,0,,f7d3a773
Jessy Moulin,GK,Troyes,35,7,7,630,7.0,8,1.14,24,16,75.0,1,14.3,2,2,0,0,0.0,28a65a2c
Paul Nardi,GK,Lorient,27,22,22,1980,22.0,38,1.73,91,56,62.6,4,18.2,5,4,0,1,0.0,2d70dbe5
Keylor Navas,GK,Paris S-G,34,21,21,1856,20.6,18,0.87,78,60,79.5,7,33.3,2,2,0,0,0.0,ecada4fc
Alexander Nübel,GK,Monaco,24,38,38,3420,38.0,40,1.05,141,104,77.3,11,28.9,9,8,0,1,0.0,afb0c500
Jonas Omlin,GK,Montpellier,27,29,29,2587,28.7,41,1.43,158,117,75.9,8,27.6,4,3,1,0,25.0,c631f952
Alexandre Oukidja,GK,Metz,33,21,21,1875,20.8,39,1.87,91,54,60.4,3,14.3,3,3,0,0,0.0,ae7d0ecd
Danijel Petković,GK,Angers,28,15,15,1350,15.0,22,1.47,65,45,69.2,2,13.3,2,2,0,0,0.0,b98cea65
Julian Pollersbeck,GK,Lyon,26,6,4,436,4.8,6,1.24,25,19,92.0,1,25.0,4,4,0,0,0.0,d6f6ce93
Gaëtan Poussin,GK,Bordeaux,22,13,13,1170,13.0,29,2.23,61,32,55.7,2,15.4,4,2,2,0,50.0,c252c705
Predrag Rajković,GK,Reims,25,38,38,3420,38.0,44,1.16,161,116,75.8,11,28.9,7,5,1,1,16.7,58ad9383
Sergio Rico,GK,Paris S-G,27,1,0,23,0.3,1,3.91,3,2,66.7,0,,0,0,0,0,,5f0241b2
Romain Salin,GK,Rennes,37,1,1,90,1.0,2,2.00,3,1,33.3,0,0.0,0,0,0,0,,74733221
Matz Sels,GK,Strasbourg,29,37,37,3330,37.0,43,1.16,130,88,70.0,13,35.1,4,4,0,0,0.0,834b5c4c
