Player,Pos,Squad,Age,Tkl,TklW,Tkl%,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
Gennaro Acampora,MFFW,Spezia,26,6,4,28.6,4,1,3,4,10,4,0,01040647
Francesco Acerbi,DF,Lazio,32,51,32,45.0,24,15,9,76,127,121,2,b96b595c
Andrea Adorante,FW,Parma,20,0,0,,0,0,0,0,0,0,0,7005ac66
Lucien Agoume,MF,Spezia,18,18,10,31.6,10,5,5,15,33,10,0,8bc8829a
Kevin Agudelo,FW,Spezia,21,39,28,35.3,30,0,30,10,49,2,0,46fa7204
Jean-Daniel Akpa-Akpro,MF,Lazio,27,38,25,29.6,24,6,18,18,56,13,0,fdf4b948
Luis Alberto,MF,Lazio,27,43,24,20.5,41,2,39,13,56,11,1,5294a83f
Bruno Alves,DF,Parma,38,13,10,77.8,17,12,5,26,39,81,0,585a73a8
Wisdom Amey,DF,Bologna,14,0,0,,0,0,0,0,0,0,0,35b4bc62
Sofyan Amrabat,MF,Fiorentina,23,39,22,37.5,30,5,25,23,62,12,0,5a2cb25d
Djavan Anderson,DF,Lazio,25,0,0,0.0,1,0,1,1,1,0,0,ca241ad3
Nícolas Andrade,GK,Udinese,32,0,0,,0,0,0,0,0,0,0,326d09ef
Davide Angelo Ghislandi,DF,Atalanta,19,0,0,,0,0,0,0,0,1,0,0e0e4422
Philip Ankhrah,MF,Hellas Verona,17,0,0,,1,0,1,0,0,0,0,f5409698
Cristian Ansaldi,DFFW,Torino,33,48,33,63.2,21,7,14,16,64,38,0,bbafc0c4
Valentin Antov,DF,Bologna,19,4,2,30.0,6,5,1,4,8,13,0,8f68aa41
Nicolò Armini,DF,Lazio,19,0,0,,0,0,0,0,0,0,0,2f7407fa
Tolgay Arslan,MF,Udinese,29,52,32,46.3,22,2,20,22,74,15,1,963a328b
Kwadwo Asamoah,DFMF,Cagliari,31,4,3,66.7,5,1,4,4,8,2,1,089550f5
Kristoffer Askildsen,MF,Sampdoria,19,0,0,,2,0,2,3,3,3,0,a69cc629
Emil Audero,GK,Sampdoria,23,1,1,50.0,0,0,0,1,2,16,0,649b01d8
Tommaso Augello,DF,Sampdoria,25,42,30,59.0,22,2,20,32,74,76,1,3cd3b384
Kaan Ayhan,DF,Sassuolo,25,15,9,61.5,9,5,4,16,31,33,0,2200181e
Milan Badelj,MF,Genoa,31,56,27,31.0,51,10,41,87,143,45,1,e8c930bb
Tiemoué Bakayoko,MF,Napoli,25,69,41,57.5,24,2,22,36,105,13,2,59bf127b
Keita Baldé,FW,Sampdoria,25,9,6,40.0,10,1,9,0,9,3,0,509a4ccb
Botond Balogh,DF,Parma,18,9,7,40.0,4,3,1,2,11,8,0,348bafd4
Mattia Bani,DF,Genoa,26,10,5,41.7,16,11,5,27,37,44,0,0821331c
Mattia Bani,DF,Parma,26,20,11,50.0,10,6,4,33,53,50,0,0821331c
Antonín Barák,MF,Hellas Verona,25,30,19,29.8,26,7,19,12,42,38,1,01efac19
Federico Barba,DF,Benevento,26,31,16,60.0,39,18,21,48,79,94,4,c010b898
Nicolò Barella,MF,Inter,23,58,31,31.9,29,4,25,26,84,14,0,6928979a
Antonio Barreca,DF,Fiorentina,25,1,0,100.0,0,0,0,0,1,1,0,6a189491
Musa Barrow,FWMF,Bologna,21,26,10,40.0,37,2,35,11,37,15,0,e5bf73f3
Paolo Bartolomei,MF,Spezia,30,6,2,57.1,1,0,1,1,7,2,0,6029a945
Daniele Baselli,MF,Torino,28,12,7,60.0,2,0,2,9,21,5,0,ea06dd97
Alessandro Bastoni,DF,Inter,21,36,22,63.0,34,16,18,40,76,75,0,75b86fb3
Simone Bastoni,DF,Spezia,23,50,29,51.9,19,1,18,16,66,31,0,1ac232b8
Bastos,DF,Lazio,29,3,1,60.0,1,0,1,0,3,3,0,c01c66d9
Rodrigo Becão,DF,Udinese,24,59,33,55.1,48,27,21,68,127,94,2,19e4eab9
Valon Behrami,MF,Genoa,35,21,9,34.6,13,5,8,9,30,13,0,d3d758d8
Andrea Belotti,FW,Torino,26,30,18,31.4,27,4,23,12,42,21,0,d705ba44
Ahmad Benali,MF,Crotone,28,19,11,28.9,15,2,13,6,25,15,0,a128b07e
Ismaël Bennacer,MF,Milan,22,39,18,46.9,10,1,9,20,59,12,0,db092d3b
Rodrigo Bentancur,MF,Juventus,23,63,33,33.9,35,12,23,47,110,46,1,3b8674e6
Alessandro Berardi,GK,Hellas Verona,29,0,0,,0,0,0,0,0,0,0,ec1f737d
Domenico Berardi,FW,Sassuolo,25,42,22,33.9,23,1,22,26,68,34,0,53a0e358
Álex Berenguer,MF,Torino,25,2,0,40.0,2,0,2,0,2,1,0,dc1c2fce
Bartosz Bereszyński,DF,Sampdoria,28,66,44,56.2,40,20,20,42,108,88,0,61b3978f
Federico Bernardeschi,MFDF,Juventus,26,9,4,20.0,6,2,4,14,23,7,1,ee93c1a9
Marco Bertini,MF,Lazio,17,1,0,,0,0,0,0,1,0,0,4b520f96
Daniel Bessa,MF,Hellas Verona,27,15,8,42.9,5,1,4,2,17,0,0,88895312
Cristiano Biraghi,DF,Fiorentina,27,42,23,60.0,23,9,14,27,69,56,3,9e1577aa
Davide Biraschi,DF,Genoa,26,17,9,50.0,12,6,6,21,38,26,0,64cd167d
Jeremie Boga,FWMF,Sassuolo,23,11,9,27.3,10,0,10,8,19,7,0,fe012aca
Giacomo Bonaventura,MF,Fiorentina,30,34,19,30.2,26,2,24,39,73,12,0,d995ed27
Federico Bonazzoli,FW,Torino,23,6,4,15.4,3,0,3,2,8,3,0,bf57eaab
Federico Bonazzoli,FW,Sampdoria,23,0,0,,1,0,1,0,0,0,0,bf57eaab
Kevin Bonifazi,DF,Udinese,24,32,21,34.8,33,20,13,50,82,85,1,fb77bfef
Leonardo Bonucci,DF,Juventus,33,19,14,42.9,24,13,11,33,52,67,0,52ec54d0
Mehdi Bourabia,MF,Sassuolo,28,6,5,28.6,14,6,8,12,18,8,0,0d077b88
Edoardo Bove,MF,Roma,18,0,0,0.0,0,0,0,0,0,0,0,ae94a6c5
Jayden Braaf,FW,Udinese,17,0,0,0.0,0,0,0,0,0,0,0,c609e90e
Gleison Bremer,DF,Torino,23,51,34,58.3,54,21,33,70,121,142,1,5fd5ed86
Marcelo Brozović,MF,Inter,27,54,29,32.8,43,17,26,40,94,38,0,33b8d077
Gastón Brugman,MF,Parma,27,35,19,25.0,33,4,29,45,80,34,0,e947ee4a
Juan Brunetta,FWMF,Parma,23,2,2,16.7,5,0,5,1,3,2,0,d60099bc
Gianluigi Buffon,GK,Juventus,42,0,0,,0,0,0,0,0,3,1,e40d028b
Alessandro Buongiorno,DF,Torino,21,12,5,58.3,15,9,6,11,23,44,1,4ae67f27
Maxime Busi,DF,Parma,20,23,13,39.3,14,1,13,16,39,32,0,7b082ec2
