Player,Pos,Squad,Age,Tkl,TklW,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
Max Aarons,DF,Norwich City,21,64,44,67.3,18,39,19,20,28,92,96,1,774cf58b
Che Adams,FW,Southampton,25,13,6,12.5,14,18,2,16,8,21,18,0,f2bf1b0f
Rayan Aït Nouri,DFMF,Wolves,20,64,36,50.0,22,24,2,22,22,86,39,1,9b398aea
Kristoffer Ajer,DF,Brentford,23,29,18,61.9,8,19,11,8,26,55,74,0,a8c0acb7
Nathan Aké,DF,Manchester City,26,16,9,75.0,2,7,5,2,8,24,23,0,eaeca114
Marc Albrighton,FWDF,Leicester City,31,31,19,21.3,37,15,3,12,14,45,20,0,b827d5b3
Thiago Alcántara,MF,Liverpool,30,48,29,23.8,32,22,2,20,26,74,13,2,77e84962
Trent Alexander-Arnold,DF,Liverpool,22,40,23,45.0,33,22,4,18,43,83,40,0,cd1acf9d
Alisson,GK,Liverpool,28,3,1,60.0,2,1,0,1,0,3,28,1,7a2e46a8
Allan,MF,Everton,30,74,44,32.4,71,40,9,31,23,97,39,1,cc700722
Dele Alli,MF,Tottenham,25,14,8,29.4,12,22,5,17,6,20,16,0,cea4ee8f
Dele Alli,MFFW,Everton,25,7,2,0.0,4,7,2,5,6,13,10,0,cea4ee8f
Miguel Almirón,MFFW,Newcastle Utd,27,47,29,25.0,33,14,1,13,20,67,13,0,862a1c15
Marcos Alonso,DF,Chelsea,30,41,29,47.2,19,29,5,24,43,84,53,0,f4290206
Steven Alzate,MF,Brighton,22,10,4,57.1,3,2,1,1,10,20,10,0,ad1f61f3
Daniel Amartey,DF,Leicester City,26,26,13,65.5,10,30,22,8,21,47,93,4,1a4ef233
Joachim Andersen,DF,Crystal Palace,25,30,23,59.3,11,29,19,10,37,67,125,3,e34fc66d
Michail Antonio,FW,West Ham,31,23,17,38.9,11,19,1,18,3,26,13,0,ac05f970
Cameron Archer,FWMF,Aston Villa,20,0,0,,0,0,0,0,0,0,0,0,05e8ca6d
Alphonse Areola,GK,West Ham,28,0,0,,0,0,0,0,0,0,1,0,2f965a72
Adam Armstrong,FW,Southampton,24,10,4,0.0,6,13,1,12,3,13,6,0,68c720b5
Stuart Armstrong,MF,Southampton,29,27,19,39.1,14,10,1,9,8,35,15,0,97333cf5
Kepa Arrizabalaga,GK,Chelsea,26,0,0,,0,0,0,0,0,0,4,0,28d596a0
Harrison Ashby,DF,West Ham,19,0,0,,0,1,0,1,1,1,1,0,b391383a
Pierre-Emerick Aubameyang,FW,Arsenal,32,11,5,30.0,7,12,1,11,0,11,4,0,d5dd5f1f
Jordan Ayew,FW,Crystal Palace,29,47,30,54.8,14,33,3,30,15,62,15,0,da052c14
Luke Ayling,DF,Leeds United,29,74,42,52.6,46,46,25,21,28,102,52,1,420d7c7d
César Azpilicueta,DF,Chelsea,31,51,28,45.7,19,32,9,23,23,74,65,1,53cad200
Daniel Bachmann,GK,Watford,27,0,0,,0,0,0,0,1,1,5,0,1c0eea98
Leon Bailey,FWMF,Aston Villa,23,17,11,46.2,7,10,1,9,1,18,2,0,3a233281
Eric Bailly,DF,Manchester Utd,27,5,4,75.0,1,4,2,2,3,8,11,0,a1232f4e
Folarin Balogun,FW,Arsenal,20,1,1,,0,1,0,1,0,1,1,0,31822f8c
Patrick Bamford,FW,Leeds United,27,1,0,0.0,3,8,2,6,2,3,8,0,93feac6e
Shandon Baptiste,MF,Brentford,23,14,4,40.0,9,10,0,10,11,25,12,0,2886c9b5
Ross Barkley,MFFW,Chelsea,27,0,0,0.0,1,1,0,1,1,1,0,0,3a24769f
Ashley Barnes,FW,Burnley,31,11,2,22.2,7,8,1,7,2,13,5,0,2691c772
Harvey Barnes,FWMF,Leicester City,23,31,16,30.4,16,24,1,23,5,36,7,0,3ea50f67
Lewis Bate,MF,Leeds United,18,1,0,0.0,8,1,0,1,1,2,1,0,cd4256d3
Mads Bech Sørensen,DF,Brentford,22,8,7,85.7,1,9,6,3,6,14,25,0,30db8574
Jan Bednarek,DF,Southampton,25,32,15,57.6,14,48,27,21,72,104,141,0,4115ce4e
Donny van de Beek,MF,Manchester Utd,24,6,4,50.0,1,5,1,4,2,8,1,0,50dc94ce
Donny van de Beek,MF,Everton,24,15,7,46.2,7,6,2,4,6,21,4,0,50dc94ce
Asmir Begović,GK,Everton,34,0,0,,0,0,0,0,0,0,3,0,7b4de647
Saïd Benrahma,FWMF,West Ham,25,28,17,39.5,23,17,1,16,9,37,8,0,5a04fd92
Rodrigo Bentancur,MF,Tottenham,24,36,18,50.0,16,24,9,15,20,56,35,0,3b8674e6
Christian Benteke,FW,Crystal Palace,30,3,2,33.3,4,7,3,4,2,5,33,0,ab070c55
Jóhann Berg Guðmundsson,MF,Burnley,30,16,6,25.0,15,11,2,9,12,28,22,0,f72293fc
Steven Bergwijn,FWMF,Tottenham,23,3,2,10.0,9,3,0,3,1,4,8,0,a29b1131
Ryan Bertrand,DF,Leicester City,31,8,5,40.0,3,8,3,5,1,9,7,0,01226327
Mads Bidstrup,MF,Brentford,20,1,0,0.0,3,0,0,0,1,2,2,0,407db0d5
Yves Bissouma,MF,Brighton,24,76,49,56.8,16,33,3,30,50,126,49,0,6c203af0
Willy Boly,DF,Wolves,30,25,19,53.3,7,14,6,8,14,39,35,0,a4ac4b8f
Jarrod Bowen,FW,West Ham,24,36,20,38.6,27,29,2,27,21,57,14,0,79c84d1c
Jarrad Branthwaite,DF,Everton,19,4,1,37.5,5,3,2,1,1,5,20,0,c1949191
Armando Broja,FW,Southampton,19,12,5,22.2,7,17,1,16,3,15,11,0,97220da2
Josh Brownhill,MF,Burnley,25,73,37,39.6,32,37,12,25,68,141,42,1,47369df8
Lewis Brunt,MF,Leicester City,20,0,0,,0,1,0,1,0,0,0,0,a2081c6b
Bryan,FWMF,Tottenham,20,3,0,50.0,1,2,0,2,0,3,0,0,7b5ab7f2
Emi Buendía,MFFW,Aston Villa,24,38,18,41.2,30,21,3,18,9,47,11,0,66b76d44
Dan Burn,DF,Newcastle Utd,29,16,11,63.6,4,22,14,8,20,36,101,0,b2d31e83
Dan Burn,DF,Brighton,29,22,12,40.0,9,14,10,4,24,46,51,0,b2d31e83
Jack Butland,GK,Crystal Palace,28,0,0,,0,0,0,0,0,0,1,0,cc70a1d5
Sam Byram,DF,Norwich City,27,24,15,70.4,8,21,11,10,22,46,48,0,1bf811d4
Willy Caballero,GK,Southampton,39,0,0,,0,0,0,0,0,0,2,1,a179d516
Moisés Caicedo,MF,Brighton,19,16,10,41.7,7,18,4,14,10,26,7,0,16264a81
Dominic Calvert-Lewin,FW,Everton,24,11,8,37.5,5,5,2,3,3,14,12,0,59e6e5bf
Chem Campbell,MF,Wolves,18,1,1,,0,0,0,0,0,1,0,0,6f711f67
João Cancelo,DF,Manchester City,27,83,54,50.5,45,25,3,22,59,142,45,1,bd6351cd
Sergi Canós,DFFW,Brentford,24,56,25,55.0,27,32,3,29,22,78,38,0,1137759d
Todd Cantwell,FWMF,Norwich City,23,15,13,35.3,11,2,0,2,3,18,2,0,f63d8a4b
Matty Cash,DF,Aston Villa,23,89,50,60.3,31,54,16,38,49,138,100,2,2389cdc2
Timothy Castagne,DF,Leicester City,25,67,31,62.8,16,28,9,19,29,96,54,1,197640fd
Jonny Castro,DF,Wolves,27,25,15,55.0,9,14,3,11,13,38,11,0,e28868f3
Craig Cathcart,DF,Watford,32,32,15,53.3,14,39,29,10,28,60,132,3,89e4b358
Edinson Cavani,FW,Manchester Utd,34,4,1,25.0,6,6,0,6,2,6,8,0,527f063d
Kayky Chagas,FW,Manchester City,18,0,0,,0,0,0,0,0,0,0,0,17734ea0
Trevoh Chalobah,DF,Chelsea,22,40,27,77.4,7,16,6,10,19,59,43,2,5515376c
Calum Chambers,DF,Arsenal,26,5,3,75.0,1,6,3,3,0,5,10,0,dc6f5bdd
Calum Chambers,DF,Aston Villa,26,16,8,66.7,2,14,8,6,5,21,42,0,dc6f5bdd
Daniel Chesters,MF,West Ham,19,0,0,,0,0,0,0,0,0,0,0,240c8ab6
Ben Chilwell,DF,Chelsea,24,8,3,40.0,3,7,0,7,4,12,14,1,d2424d1b
Chiquinho,DFFW,Wolves,21,9,6,80.0,1,5,0,5,2,11,1,0,dc6c2f02
Hamza Choudhury,DFMF,Leicester City,23,9,3,60.0,2,0,0,0,12,21,10,0,7d2d3329
Andreas Christensen,DF,Chelsea,25,14,8,57.1,3,14,6,8,29,43,57,1,1cb49278
Carney Chukwuemeka,MFFW,Aston Villa,17,7,1,60.0,2,3,0,3,1,8,2,1,b2f9c73e
Ciaran Clark,DF,Newcastle Utd,31,13,10,64.3,5,14,11,3,13,26,43,1,2b91cf8e
Tom Cleverley,MF,Watford,31,37,20,54.5,15,23,6,17,18,55,19,3,6cdd8245
Nathaniel Clyne,DF,Crystal Palace,30,21,10,50.0,10,7,2,5,15,36,32,0,0442183b
Conor Coady,DF,Wolves,28,31,14,57.1,12,46,40,6,28,59,140,0,2928dca2
Séamus Coleman,DF,Everton,32,61,36,64.7,18,30,11,19,32,93,80,2,0420d84f
Nathan Collins,DF,Burnley,20,37,15,63.0,10,38,25,13,24,61,83,2,a8c19eb8
Aaron Connolly,FWMF,Brighton,21,0,0,0.0,1,2,0,2,0,0,0,0,27c01749
Liam Cooper,DF,Leeds United,29,41,23,69.7,10,29,18,11,43,84,72,2,dc64b8b3
Jack Cork,MF,Burnley,32,20,6,35.0,13,17,4,13,17,37,29,1,74e12f1e
Maxwel Cornet,FWMF,Burnley,24,16,9,46.7,8,13,4,9,10,26,14,0,beb391dd
Hélder Costa,MF,Leeds United,27,0,0,,0,1,0,1,0,0,0,0,f13d02a6
Vladimír Coufal,DF,West Ham,28,45,25,50.0,18,31,9,22,22,67,64,1,fdf3cb77
Philippe Coutinho,MFFW,Aston Villa,29,17,12,28.6,15,11,1,10,7,24,4,0,0ef89a37
Aaron Cresswell,DF,West Ham,31,28,18,52.0,12,31,18,13,35,63,66,0,4f974391
Charlie Cresswell,DF,Leeds United,18,5,2,100.0,0,1,1,0,2,7,6,0,4654e5f5
Cucho,FWMF,Watford,22,13,5,18.5,22,13,1,12,5,18,9,0,71b47ab9
Marc Cucurella,DF,Brighton,23,93,62,62.0,27,42,14,28,30,123,74,0,1daec722
Luke Cundle,MF,Wolves,19,4,3,100.0,0,0,0,0,1,5,1,0,cc3b8e78
Patson Daka,FW,Leicester City,22,15,10,10.5,17,7,0,7,2,17,8,0,ca45605e
Stuart Dallas,DFMF,Leeds United,30,93,55,53.3,49,45,14,31,57,150,63,2,67ca8566
Diogo Dalot,DF,Manchester Utd,22,55,41,54.4,26,24,13,11,29,84,59,0,d9565625
Karl Darlow,GK,Newcastle Utd,30,0,0,,0,0,0,0,0,0,5,1,cde3309f
Josh Dasilva,MFFW,Brentford,22,2,1,50.0,1,3,0,3,1,3,7,0,60344e4f
Ben Davies,DF,Tottenham,28,36,21,50.0,13,32,19,13,30,66,75,1,44781702
