Player,Pos,Squad,Age,Tkl,TklW,Tkl%,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,-9999
Yunis Abdelhamid,DF,Reims,33,48,27,50.0,50,25,25,68,116,104,0,32c2d95f
Salis Abdul Samed,MF,Clermont Foot,21,43,23,35.1,18,1,17,42,85,15,0,82464ce3
Laurent Abergel,MF,Lorient,28,110,60,42.8,58,1,57,55,165,13,0,31626657
Charles Abi,FW,Saint-Étienne,21,0,0,0.0,2,0,2,0,0,0,0,469d3d84
Matthis Abline,FW,Rennes,18,0,0,,2,0,2,0,0,1,0,0e46fa2f
Mohamed Achi,MF,Nantes,19,0,0,,0,0,0,0,0,0,0,1e93fc5d
Martin Adeline,MFFW,Reims,17,15,11,50.0,0,0,0,11,26,6,0,7587446d
Yacine Adli,MFFW,Bordeaux,21,43,27,27.9,33,3,30,37,80,11,2,26777636
Lucien Agoume,MF,Brest,19,51,31,51.1,30,9,21,52,103,27,1,8bc8829a
Nayef Aguerd,DF,Rennes,25,27,18,58.3,24,14,10,24,51,127,1,288e1e13
Ruben Aguilar,DF,Monaco,28,78,53,63.2,19,4,15,44,122,57,0,3dd738a1
Anel Ahmedhodzic,DF,Bordeaux,22,38,26,64.5,16,8,8,22,60,44,0,eab957a3
Jean-Eudes Aholou,MF,Strasbourg,27,16,9,26.3,8,1,7,19,35,7,0,48b28bfd
Ludovic Ajorque,FW,Strasbourg,27,36,25,17.5,28,3,25,8,44,31,1,462475ed
Maghnes Akliouche,MFFW,Monaco,19,2,0,0.0,2,0,2,0,2,0,0,b625b241
Sofiane Alakouch,DFMF,Metz,23,7,4,40.0,4,0,4,1,8,4,0,5314e067
Josué Albert,DF,Clermont Foot,29,0,0,,0,0,0,1,1,2,0,3d738df0
Doğan Alemdar,GK,Rennes,18,0,0,,0,0,0,0,0,9,1,9e17ccff
Mohamed Ali Cho,FW,Angers,17,10,5,29.4,17,1,16,8,18,0,1,f8405304
Jim Allevinah,FW,Clermont Foot,26,18,13,27.8,11,0,11,6,24,4,0,1956b948
Ibrahim Amadou,DFMF,Metz,28,16,8,53.3,4,2,2,14,30,26,0,9260926b
Jordan Amavi,DF,Nice,27,16,10,58.8,3,1,2,15,31,7,0,22721b88
Jordan Amavi,DFFW,Marseille,27,6,5,50.0,1,0,1,1,7,3,0,22721b88
Benjamin André,MF,Lille,30,123,69,45.1,49,11,38,50,173,56,0,ef9c1c95
Houssem Aouar,MFFW,Lyon,23,46,30,50.0,26,1,25,20,66,5,0,a5db0bec
Adil Aouchiche,MFFW,Saint-Étienne,19,13,6,15.2,18,1,17,17,30,4,0,b94b8be1
Dennis Appiah,DF,Nantes,29,55,34,58.3,30,13,17,27,82,74,0,feb5d3ab
Lorenz Assignon,DF,Rennes,21,15,10,55.6,3,1,2,11,26,19,0,b026bbf6
Youcef Atal,DF,Nice,25,29,19,56.0,13,2,11,32,61,21,0,6a827d8e
