Player,Pos,Squad,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,-9999
Tammy Abraham,FW,Roma,23,9,0,0,38,49,17,16,5,13,1,1,0,68,78,80,49.4,f586779e
Francesco Acerbi,DF,Lazio,33,2,1,0,18,16,4,3,34,12,1,0,0,162,69,43,61.6,b96b595c
Michel Aebischer,MF,Bologna,24,1,0,0,13,4,0,7,6,5,0,0,0,27,5,4,55.6,f9c927de
Felix Afena-Gyan,FWMF,Roma,18,5,1,1,15,24,4,8,3,3,0,0,0,31,11,15,42.3,0154d290
Kevin Agudelo,MFFW,Spezia,22,2,1,0,36,24,0,22,8,26,0,0,0,67,15,14,51.7,46fa7204
Ola Aina,DF,Torino,24,4,0,0,18,28,1,34,28,19,0,0,0,101,17,25,40.5,246d153b
Marley Aké,FWMF,Juventus,20,1,0,0,6,2,0,1,1,0,0,0,0,3,1,0,100.0,414e1f69
Jean-Daniel Akpa-Akpro,MF,Lazio,28,1,0,0,13,8,0,0,2,10,0,1,0,13,4,4,50.0,fdf4b948
Luis Alberto,MF,Lazio,28,5,0,0,13,26,1,143,13,17,0,0,0,136,6,12,33.3,5294a83f
Giorgio Altare,DF,Cagliari,22,5,0,0,35,10,1,27,30,28,0,1,0,126,46,34,57.5,aa5322d5
Wisdom Amey,DF,Bologna,15,0,0,0,1,2,0,0,3,2,0,0,0,4,3,1,75.0,35b4bc62
Kelvin Amian,DF,Spezia,23,9,2,1,36,14,1,24,32,42,0,0,0,105,41,29,58.6,bcc81786
Nadiem Amiri,MFFW,Genoa,24,0,0,0,7,19,1,20,0,4,0,0,0,40,3,7,30.0,555d5edd
Ethan Ampadu,MFDF,Venezia,20,13,2,1,46,27,0,20,51,43,0,0,0,157,66,33,66.7,10b9fa99
Sofyan Amrabat,MF,Fiorentina,24,6,0,0,25,14,0,6,5,13,0,0,0,67,6,13,31.6,5a2cb25d
Felipe Anderson,FW,Lazio,28,2,0,0,43,37,7,86,20,45,0,0,0,150,11,20,35.5,9f1893b9
Ebenezer Annan,DF,Bologna,18,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,,39aa05a7
Cristian Ansaldi,DF,Torino,34,2,0,0,13,4,2,57,6,9,0,0,0,36,3,3,50.0,bbafc0c4
Janis Antiste,FW,Spezia,18,0,0,0,15,6,5,12,4,11,0,0,0,36,16,19,45.7,38d9ce53
Mattia Aramu,MFFW,Venezia,26,6,0,0,29,81,7,144,8,15,1,1,0,91,11,27,28.9,0847b5a5
Marko Arnautović,FW,Bologna,32,6,0,0,45,21,14,12,7,9,0,0,0,77,25,41,37.9,00459419
Tolgay Arslan,MF,Udinese,30,9,0,0,28,36,0,33,13,20,1,0,0,140,6,8,42.9,963a328b
Arthur,FW,Fiorentina,23,1,0,0,16,10,1,2,1,5,0,0,0,15,12,26,31.6,a820e429
Kristoffer Askildsen,MF,Sampdoria,20,5,0,0,17,14,0,2,15,6,0,0,1,43,21,10,67.7,a69cc629
Kristjan Asllani,MF,Empoli,19,2,0,0,13,23,0,29,19,9,0,0,0,122,4,6,40.0,0fdcef0e
Emil Audero,GK,Sampdoria,24,2,0,0,0,6,0,0,2,1,0,0,0,31,7,0,100.0,649b01d8
Tommaso Augello,DF,Sampdoria,26,0,0,0,12,21,1,74,29,20,0,0,0,172,33,19,63.5,3cd3b384
Ramzi Aya,DF,Salernitana,30,1,0,0,1,0,0,1,0,1,0,0,0,8,0,1,0.0,6a1f66a7
Kaan Ayhan,DF,Sassuolo,26,2,1,0,13,5,1,2,13,12,0,1,0,68,24,34,41.4,2200181e
Milan Badelj,MF,Genoa,32,4,0,0,39,19,0,10,85,37,1,0,0,258,34,28,54.8,e8c930bb
Nicola Bagnolini,GK,Bologna,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ad263695
Issa Bah,FW,Venezia,19,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0,956a78ea
Nedim Bajrami,MFFW,Empoli,22,3,0,0,16,14,7,156,3,14,0,0,0,91,0,14,0.0,f42d6c13
Tiemoué Bakayoko,MF,Milan,26,3,0,0,12,10,0,1,9,13,0,1,0,33,16,8,66.7,59bf127b
Tommaso Baldanzi,FW,Empoli,18,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,102e2599
Keita Baldé,FW,Cagliari,26,2,0,0,27,30,9,8,4,4,1,1,0,33,20,46,30.3,509a4ccb
Fodé Ballo-Touré,DF,Milan,24,2,0,0,12,10,1,18,3,14,0,1,0,35,5,9,35.7,f449640d
Filippo Bandinelli,MF,Empoli,26,10,0,0,53,18,5,68,10,20,0,1,0,117,12,31,27.9,d44360be
Mattia Bani,DF,Genoa,27,1,0,0,14,19,0,1,20,13,0,0,0,70,42,27,60.9,0821331c
Antonín Barák,MFFW,Hellas Verona,26,4,0,0,27,17,3,13,6,8,1,0,0,156,41,68,37.6,01efac19
Francesco Bardi,GK,Bologna,29,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0,0acda699
Nicolò Barella,MF,Inter,24,9,0,0,30,52,4,66,21,42,1,0,0,190,22,24,47.8,6928979a
Musa Barrow,FWMF,Bologna,22,0,0,0,10,25,6,112,6,4,0,0,0,93,15,48,23.8,e5bf73f3
Daniele Baselli,MFFW,Torino,29,0,0,0,3,4,1,5,1,3,0,0,0,11,2,6,25.0,ea06dd97
Daniele Baselli,MF,Cagliari,29,1,0,0,2,3,0,17,2,5,0,0,0,24,2,3,40.0,ea06dd97
Toma Bašić,MF,Lazio,24,3,0,0,13,6,0,15,4,8,0,0,0,41,8,10,44.4,80556f08
Alessandro Bastoni,DF,Inter,22,4,0,0,30,28,0,29,35,25,0,1,0,152,43,26,62.3,75b86fb3
Simone Bastoni,MFDF,Spezia,24,5,1,0,30,35,1,113,30,34,0,0,0,185,25,13,65.8,1ac232b8
Rodrigo Becão,DF,Udinese,25,10,0,0,57,45,4,17,42,46,0,1,0,193,63,32,66.3,19e4eab9
Valon Behrami,MFFW,Genoa,36,3,0,0,8,5,0,2,1,1,0,0,0,13,0,7,0.0,d3d758d8
Vid Belec,GK,Salernitana,31,1,0,0,1,1,0,0,0,0,0,1,0,14,1,0,100.0,4f8ce0e1
Raoul Bellanova,DFFW,Cagliari,21,3,0,0,10,35,2,96,21,15,0,1,0,123,15,26,36.6,e3756e72
Andrea Belotti,FW,Torino,27,1,0,0,26,51,16,13,2,3,1,0,0,41,55,77,41.7,d705ba44
Marco Benassi,DFMF,Fiorentina,26,1,0,0,4,0,0,4,3,0,0,0,0,9,3,5,37.5,0000acda
Marco Benassi,MF,Empoli,26,1,0,0,5,5,0,13,3,3,0,0,0,14,7,14,33.3,0000acda
Filip Benković,DFFW,Udinese,24,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,66.7,305a3820
Ismaël Bennacer,MF,Milan,23,7,0,0,25,44,0,24,25,30,0,0,0,153,15,18,45.5,db092d3b
Rodrigo Bentancur,MF,Juventus,24,1,0,0,25,8,0,4,26,18,0,0,0,86,20,20,50.0,3b8674e6
Alessandro Berardi,GK,Hellas Verona,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,ec1f737d
Domenico Berardi,FW,Sassuolo,26,9,0,0,53,76,11,102,31,19,2,0,0,151,18,18,50.0,53a0e358
Bartosz Bereszyński,DF,Sampdoria,29,12,0,0,34,37,0,60,42,38,0,0,0,191,45,20,69.2,61b3978f
Etrit Berisha,GK,Torino,32,1,0,0,1,3,0,0,0,0,0,1,0,18,0,0,,ee833569
Federico Bernardeschi,MFFW,Juventus,27,5,0,0,16,27,4,51,5,10,0,0,0,82,7,17,29.2,ee93c1a9
Nicolò Bertola,MFDF,Spezia,18,0,0,0,0,0,0,0,3,2,0,0,0,4,1,1,50.0,04b40c58
Daniel Bessa,MF,Hellas Verona,28,5,1,1,21,12,2,17,5,2,0,0,0,84,8,7,53.3,88895312
Beto,FW,Udinese,23,1,0,0,52,24,13,2,5,6,0,0,0,54,73,123,37.2,ed5c0319
Luis Binks,DF,Bologna,19,3,0,0,7,6,0,1,17,4,0,0,0,35,19,13,59.4,36e88fbc
Cristiano Biraghi,DF,Fiorentina,28,5,1,1,28,38,7,278,19,24,0,0,1,173,4,16,20.0,9e1577aa
Davide Biraschi,DF,Genoa,27,4,0,0,12,11,1,14,16,16,0,0,0,53,21,16,56.8,64cd167d
Bjarki Bjarkason,MF,Venezia,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,f1d25de7
Jeremie Boga,FWMF,Atalanta,24,0,0,0,1,17,3,24,1,3,0,0,0,37,3,6,33.3,fe012aca
Jeremie Boga,FWMF,Sassuolo,24,0,0,0,1,9,2,7,2,4,1,0,0,25,2,5,28.6,fe012aca
Luka Bogdan,DF,Salernitana,25,0,0,0,2,1,0,1,6,3,0,0,0,18,6,8,42.9,cb678320
Emil Bohinen,MF,Salernitana,22,5,0,0,16,13,1,20,12,9,0,0,0,61,6,13,31.6,c83c203f
Giacomo Bonaventura,MF,Fiorentina,31,8,1,1,31,49,2,36,14,17,2,0,0,141,16,16,50.0,d995ed27
Federico Bonazzoli,FWMF,Salernitana,24,6,0,0,31,66,6,23,6,12,0,0,0,76,11,24,31.4,bf57eaab
Kevin Bonifazi,DF,Bologna,25,4,1,1,15,10,0,3,16,16,0,1,1,97,34,18,65.4,fb77bfef
Leonardo Bonucci,DF,Juventus,34,1,0,0,17,8,1,3,26,5,0,1,0,95,44,35,55.7,52ec54d0
Mehdi Bourabia,MF,Spezia,29,0,0,0,6,6,0,3,3,1,0,0,0,20,1,2,33.3,0d077b88
Edoardo Bove,MFDF,Roma,19,0,0,0,1,3,0,2,1,1,0,0,0,4,0,3,0.0,ae94a6c5
Josip Brekalo,MF,Torino,23,1,0,0,20,21,5,135,4,5,0,0,0,128,17,31,35.4,d4a2533d
Gleison Bremer,DF,Torino,24,7,0,0,66,20,5,1,105,24,0,0,0,284,131,147,47.1,5fd5ed86
Marcelo Brozović,MF,Inter,28,7,0,0,43,32,0,23,37,45,0,0,0,252,13,24,35.1,33b8d077
Aleksander Buksa,FW,Genoa,18,0,0,0,2,0,0,0,0,0,0,0,0,4,3,3,50.0,59f2d958
Alessandro Buongiorno,DF,Torino,22,5,0,0,27,16,1,6,31,9,0,1,0,60,53,27,66.3,4ae67f27
Gianluca Busio,MF,Venezia,19,8,0,0,31,17,0,38,21,28,0,0,0,99,31,33,48.4,4a0b7f07
Jovane Cabral,FW,Lazio,23,0,0,0,5,3,0,2,1,1,0,0,0,6,1,4,20.0,e34e086c
Liberato Cacace,DF,Empoli,20,1,0,0,9,6,0,11,8,6,0,0,0,29,2,6,25.0,dd86e8e4
Martín Cáceres,DF,Cagliari,34,3,1,0,7,9,0,12,14,7,0,0,0,55,5,5,50.0,e94d79e3
Felipe Caicedo,FW,Genoa,32,1,0,0,6,2,4,0,0,3,1,0,0,10,15,17,46.9,93b891d1
Felipe Caicedo,FWDF,Inter,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,93b891d1
Davide Calabria,DF,Milan,24,2,0,0,15,28,1,53,23,37,0,0,0,140,10,27,27.0,2146785a
Riccardo Calafiori,DF,Genoa,19,1,0,0,3,0,0,0,2,0,0,0,0,2,1,0,100.0,aded8e6f
Riccardo Calafiori,DF,Roma,19,2,0,0,4,0,0,3,3,4,0,0,0,8,1,2,33.3,aded8e6f
Mattia Caldara,DF,Venezia,27,9,0,0,28,22,3,2,62,28,1,1,0,170,49,51,49.0,ac7e640b
Hakan Çalhanoğlu,MF,Inter,27,11,0,0,36,26,0,196,25,23,1,0,0,187,10,21,32.3,cd0fa27b
José Callejón,FW,Fiorentina,34,0,0,0,3,17,3,62,3,6,0,1,0,72,8,18,30.8,78841da9
Andrea Cambiaso,DF,Genoa,21,5,1,1,22,16,1,66,23,20,0,0,0,144,7,17,29.2,247ed022
Matteo Cancellieri,MFDF,Hellas Verona,19,1,0,0,9,4,1,8,1,4,0,0,0,13,4,13,23.5,b6a1cdf9
Antonio Candreva,MFFW,Sampdoria,34,6,1,0,19,48,14,343,33,16,0,0,0,193,2,7,22.2,356c9002
Leonardo Capezzi,MF,Salernitana,26,0,0,0,3,1,0,0,0,1,0,0,0,8,1,4,20.0,07ea0ef2
Gianluca Caprari,MFFW,Hellas Verona,28,4,0,0,42,74,14,108,4,25,1,0,0,164,8,27,22.9,54e53b7e
Francesco Caputo,FW,Sampdoria,33,0,0,0,23,38,36,12,2,2,3,0,0,61,24,33,42.1,5bd72174
