Player,Pos,Squad,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,-9999
Max Aarons,DF,Norwich City,21,8,0,0,27,52,1,50,28,44,0,2,1,154,13,50,20.6,774cf58b
Che Adams,FW,Southampton,25,0,0,0,29,40,7,8,8,6,0,0,0,70,61,91,40.1,f2bf1b0f
Rayan Aït Nouri,DFMF,Wolves,20,4,0,0,14,20,3,96,22,36,1,0,0,128,17,13,56.7,9b398aea
Kristoffer Ajer,DF,Brentford,23,5,0,0,12,16,0,17,26,18,0,0,0,109,49,31,61.3,a8c0acb7
Nathan Aké,DF,Manchester City,26,0,0,0,9,2,0,1,8,9,0,0,0,43,37,12,75.5,eaeca114
Marc Albrighton,FWDF,Leicester City,31,3,0,0,6,13,2,78,14,19,0,0,0,65,4,13,23.5,b827d5b3
Thiago Alcántara,MF,Liverpool,30,2,0,0,19,13,0,4,26,29,0,0,0,126,31,12,72.1,77e84962
Trent Alexander-Arnold,DF,Liverpool,22,2,0,0,12,7,11,273,43,23,0,0,0,235,15,13,53.6,cd1acf9d
Alisson,GK,Liverpool,28,0,0,0,0,2,0,0,0,1,0,0,1,80,15,1,93.8,7a2e46a8
Allan,MF,Everton,30,7,1,0,30,22,0,10,23,44,1,0,0,191,11,15,42.3,cc700722
Dele Alli,MF,Tottenham,25,1,0,0,12,11,2,5,6,8,1,0,0,40,7,11,38.9,cea4ee8f
Dele Alli,MFFW,Everton,25,3,0,0,9,7,2,1,6,2,0,0,0,24,9,8,52.9,cea4ee8f
Miguel Almirón,MFFW,Newcastle Utd,27,2,0,0,17,25,9,20,20,29,0,0,0,96,5,14,26.3,862a1c15
Marcos Alonso,DF,Chelsea,30,8,0,0,25,28,3,149,43,29,0,1,0,139,40,28,58.8,f4290206
Steven Alzate,MF,Brighton,22,0,0,0,6,4,0,0,10,4,0,0,0,39,4,8,33.3,ad1f61f3
Daniel Amartey,DF,Leicester City,26,4,0,0,14,8,1,0,21,13,0,0,0,145,33,37,47.1,1a4ef233
Joachim Andersen,DF,Crystal Palace,25,4,0,0,19,8,1,8,37,23,0,0,1,152,56,48,53.8,e34fc66d
Michail Antonio,FW,West Ham,31,8,1,1,50,52,13,63,3,17,0,0,0,90,79,112,41.4,ac05f970
Cameron Archer,FWMF,Aston Villa,20,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,50.0,05e8ca6d
Alphonse Areola,GK,West Ham,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2f965a72
Adam Armstrong,FW,Southampton,24,1,0,0,13,6,2,18,3,4,1,0,0,36,13,23,36.1,68c720b5
Stuart Armstrong,MF,Southampton,29,1,0,0,11,20,1,35,8,19,1,0,0,94,3,11,21.4,97333cf5
Kepa Arrizabalaga,GK,Chelsea,26,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0,28d596a0
Harrison Ashby,DF,West Ham,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,b391383a
Pierre-Emerick Aubameyang,FW,Arsenal,32,3,0,0,15,8,10,11,0,5,0,0,0,22,25,28,47.2,d5dd5f1f
Jordan Ayew,FW,Crystal Palace,29,2,0,0,38,66,2,74,15,30,1,0,0,132,32,58,35.6,da052c14
Luke Ayling,DF,Leeds United,29,4,1,0,22,19,2,31,28,42,0,1,0,187,34,50,40.5,420d7c7d
César Azpilicueta,DF,Chelsea,31,3,0,0,25,5,2,47,23,28,0,1,0,110,46,29,61.3,53cad200
Daniel Bachmann,GK,Watford,27,0,0,0,1,1,0,0,1,0,0,1,0,10,2,0,100.0,1c0eea98
Leon Bailey,FWMF,Aston Villa,23,3,0,0,12,11,4,33,1,11,0,0,0,38,10,16,38.5,3a233281
Eric Bailly,DF,Manchester Utd,27,1,0,0,2,0,0,0,3,4,0,0,1,10,6,2,75.0,a1232f4e
Folarin Balogun,FW,Arsenal,20,0,0,0,0,1,1,0,0,1,0,0,0,2,1,3,25.0,31822f8c
Patrick Bamford,FW,Leeds United,27,2,0,0,5,5,5,3,2,0,0,0,0,12,5,14,26.3,93feac6e
Shandon Baptiste,MF,Brentford,23,2,1,1,6,11,1,8,11,4,0,0,0,62,7,18,28.0,2886c9b5
Ross Barkley,MFFW,Chelsea,27,0,0,0,2,4,0,7,1,0,0,0,0,17,6,2,75.0,3a24769f
Ashley Barnes,FW,Burnley,31,4,0,0,21,12,9,2,2,2,0,1,0,34,49,65,43.0,2691c772
Harvey Barnes,FWMF,Leicester City,23,2,0,0,19,20,10,45,5,16,0,0,0,93,24,41,36.9,3ea50f67
Lewis Bate,MF,Leeds United,18,0,0,0,3,1,0,0,1,0,0,0,0,8,0,2,0.0,cd4256d3
Mads Bech Sørensen,DF,Brentford,22,3,0,0,8,4,0,10,6,7,0,1,0,41,9,4,69.2,30db8574
Jan Bednarek,DF,Southampton,25,10,0,0,30,15,1,1,72,15,0,1,1,177,91,38,70.5,4115ce4e
Donny van de Beek,MF,Manchester Utd,24,0,0,0,2,2,0,0,2,4,0,0,0,7,1,2,33.3,50dc94ce
Donny van de Beek,MF,Everton,24,1,0,0,7,1,0,6,6,7,0,0,0,35,7,5,58.3,50dc94ce
Asmir Begović,GK,Everton,34,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,100.0,7b4de647
Saïd Benrahma,FWMF,West Ham,25,0,0,0,9,15,9,74,9,17,0,0,0,128,10,19,34.5,5a04fd92
Rodrigo Bentancur,MF,Tottenham,24,5,0,0,22,13,0,9,20,18,0,0,0,88,21,18,53.8,3b8674e6
Christian Benteke,FW,Crystal Palace,30,3,0,0,16,16,10,0,2,2,0,0,0,25,85,54,61.2,ab070c55
Jóhann Berg Guðmundsson,MF,Burnley,30,2,0,0,16,14,3,44,12,6,0,0,0,71,15,20,42.9,f72293fc
Steven Bergwijn,FWMF,Tottenham,23,1,0,0,9,9,1,8,1,2,0,0,0,22,4,5,44.4,a29b1131
Ryan Bertrand,DF,Leicester City,31,1,0,0,3,1,0,12,1,5,0,0,0,11,1,8,11.1,01226327
Mads Bidstrup,MF,Brentford,20,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,,407db0d5
Yves Bissouma,MF,Brighton,24,10,0,0,30,19,0,2,50,49,0,1,0,161,16,15,51.6,6c203af0
Willy Boly,DF,Wolves,30,1,0,0,7,2,1,0,14,19,0,1,0,62,20,20,50.0,a4ac4b8f
Jarrod Bowen,FW,West Ham,24,6,0,0,25,43,14,141,21,20,2,0,0,151,38,65,36.9,79c84d1c
Jarrad Branthwaite,DF,Everton,19,0,1,0,3,4,0,0,1,1,0,0,0,24,11,5,68.8,c1949191
Armando Broja,FW,Southampton,19,2,0,0,29,26,13,8,3,5,1,0,0,81,88,166,34.6,97220da2
Josh Brownhill,MF,Burnley,25,10,0,0,39,20,0,53,68,37,0,0,0,198,47,32,59.5,47369df8
Lewis Brunt,MF,Leicester City,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,a2081c6b
Bryan,FWMF,Tottenham,20,0,0,0,1,4,0,6,0,0,0,0,0,12,0,1,0.0,7b5ab7f2
Emi Buendía,MFFW,Aston Villa,24,1,0,0,17,44,3,34,9,18,0,1,0,110,19,35,35.2,66b76d44
Dan Burn,DF,Newcastle Utd,29,4,0,0,11,6,5,0,20,11,0,0,0,73,68,31,68.7,b2d31e83
Dan Burn,DF,Brighton,29,4,0,0,15,0,0,1,24,12,0,0,0,56,32,21,60.4,b2d31e83
Jack Butland,GK,Crystal Palace,28,0,0,0,0,2,0,0,0,0,0,0,0,4,1,2,33.3,cc70a1d5
Sam Byram,DF,Norwich City,27,3,0,0,12,4,0,9,22,15,0,1,0,57,28,28,50.0,1bf811d4
Willy Caballero,GK,Southampton,39,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.0,a179d516
Moisés Caicedo,MF,Brighton,19,2,0,0,7,11,1,0,10,10,0,0,0,56,9,4,69.2,16264a81
Dominic Calvert-Lewin,FW,Everton,24,2,0,0,17,16,4,2,3,8,1,0,0,34,94,93,50.3,59e6e5bf
Chem Campbell,MF,Wolves,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,6f711f67
João Cancelo,DF,Manchester City,27,7,0,0,34,26,2,124,59,54,0,0,0,217,57,51,52.8,bd6351cd
Sergi Canós,DFFW,Brentford,24,8,1,1,28,15,5,87,22,25,0,0,1,183,9,27,25.0,1137759d
Todd Cantwell,FWMF,Norwich City,23,2,0,0,4,12,2,3,3,13,0,0,0,22,3,4,42.9,f63d8a4b
Matty Cash,DF,Aston Villa,23,8,0,0,38,38,2,98,49,50,0,1,0,190,42,45,48.3,2389cdc2
Timothy Castagne,DF,Leicester City,25,1,0,0,15,7,1,40,29,31,0,0,0,102,39,38,50.6,197640fd
Jonny Castro,DF,Wolves,27,1,0,0,10,16,0,14,13,15,0,0,0,49,11,7,61.1,e28868f3
Craig Cathcart,DF,Watford,32,3,0,0,13,4,0,4,28,15,0,0,0,127,48,34,58.5,89e4b358
