Player,Pos,Squad,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,-9999
Yunis Abdelhamid,DF,Reims,33,5,1,0,39,25,0,4,68,27,0,1,0,195,62,38,62.0,32c2d95f
Salis Abdul Samed,MF,Clermont Foot,21,12,3,2,43,37,0,14,42,23,0,0,0,186,17,20,45.9,82464ce3
Laurent Abergel,MF,Lorient,28,9,0,0,41,69,1,37,55,60,0,0,0,264,11,7,61.1,31626657
Charles Abi,FW,Saint-Étienne,21,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,469d3d84
Matthis Abline,FW,Rennes,18,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7,0.0,0e46fa2f
Mohamed Achi,MF,Nantes,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,1e93fc5d
Martin Adeline,MFFW,Reims,17,1,0,0,16,2,0,11,11,11,0,0,0,35,3,5,37.5,7587446d
Yacine Adli,MFFW,Bordeaux,21,5,0,0,21,27,4,114,37,27,0,0,0,150,12,19,38.7,26777636
Lucien Agoume,MF,Brest,19,6,0,0,31,14,0,5,52,31,0,1,0,148,26,29,47.3,8bc8829a
Nayef Aguerd,DF,Rennes,25,3,1,0,20,16,1,1,24,18,1,2,0,154,95,51,65.1,288e1e13
Ruben Aguilar,DF,Monaco,28,4,0,0,32,29,1,64,44,53,0,0,1,157,33,40,45.2,3dd738a1
Anel Ahmedhodzic,DF,Bordeaux,22,6,0,0,21,10,0,6,22,26,0,0,0,108,18,13,58.1,eab957a3
Jean-Eudes Aholou,MF,Strasbourg,27,2,0,0,21,20,0,6,19,9,0,0,0,77,14,5,73.7,48b28bfd
Ludovic Ajorque,FW,Strasbourg,27,5,1,0,40,36,14,17,8,25,2,0,1,86,127,102,55.5,462475ed
Maghnes Akliouche,MFFW,Monaco,19,1,0,0,4,1,1,1,0,0,0,0,0,2,1,2,33.3,b625b241
Sofiane Alakouch,DFMF,Metz,23,1,0,0,5,7,0,2,1,4,0,0,0,6,0,1,0.0,5314e067
Josué Albert,DF,Clermont Foot,29,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,3d738df0
Doğan Alemdar,GK,Rennes,18,1,0,0,0,0,0,0,0,0,0,0,0,18,1,0,100.0,9e17ccff
Mohamed Ali Cho,FW,Angers,17,6,2,2,32,44,10,23,8,5,0,0,0,61,15,59,20.3,f8405304
Jim Allevinah,FW,Clermont Foot,26,1,0,0,16,34,2,34,6,13,0,1,0,65,16,23,41.0,1956b948
Ibrahim Amadou,DFMF,Metz,28,4,0,0,11,4,0,0,14,8,0,0,0,48,7,8,46.7,9260926b
Jordan Amavi,DF,Nice,27,1,0,0,2,4,0,6,15,10,0,0,0,29,10,9,52.6,22721b88
Jordan Amavi,DFFW,Marseille,27,0,0,0,3,1,0,2,1,5,0,0,0,3,3,5,37.5,22721b88
Benjamin André,MF,Lille,30,12,1,1,67,57,2,19,50,69,0,2,0,296,97,81,54.5,ef9c1c95
Houssem Aouar,MFFW,Lyon,23,1,0,0,27,39,3,21,20,30,0,0,0,155,6,21,22.2,a5db0bec
Adil Aouchiche,MFFW,Saint-Étienne,19,2,0,0,10,13,2,68,17,6,0,0,0,77,10,17,37.0,b94b8be1
Dennis Appiah,DF,Nantes,29,4,0,0,39,4,2,38,27,34,0,1,1,97,30,39,43.5,feb5d3ab
Lorenz Assignon,DF,Rennes,21,0,0,0,10,12,2,21,11,10,0,0,0,40,11,6,64.7,b026bbf6
Youcef Atal,DF,Nice,25,4,0,0,17,23,3,54,32,19,1,1,0,72,26,12,68.4,6a827d8e
Jean-Kévin Augustin,FWMF,Nantes,24,1,0,0,1,1,0,0,0,0,0,0,0,3,2,1,66.7,97bfa797
Karim Azamoum,DF,Troyes,31,2,0,0,12,3,0,1,1,5,0,0,0,21,7,5,58.3,eaf71a5e
Loïc Bade,DF,Rennes,21,3,1,1,6,1,0,2,12,5,0,0,0,61,25,18,58.1,114bbdee
Benoît Badiashile,DF,Monaco,20,4,0,0,24,9,2,1,28,19,0,1,0,150,57,17,77.0,06df8256
Youssouph Badji,FWMF,Brest,19,0,0,0,4,0,1,1,0,0,0,0,0,2,7,6,53.8,6a2b9aee
Stéphane Bahoken,FW,Angers,29,0,0,0,23,14,4,10,3,8,0,0,0,22,24,38,38.7,5046b7d4
Dénys Bain,DF,Brest,28,0,0,0,4,2,0,0,3,3,0,0,0,11,4,2,66.7,5065d67d
Stefan Bajic,GK,Saint-Étienne,19,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,75.0,be13e5a8
Cédric Bakambu,FW,Marseille,30,1,0,0,6,2,5,3,0,0,0,0,0,5,7,11,38.9,0af4dcf0
Abdoulaye Bakayoko,DF,Saint-Étienne,18,0,0,0,7,5,0,0,12,9,0,0,0,25,4,4,50.0,ee95585f
Dilane Bakwa,FWMF,Bordeaux,18,0,0,0,2,1,0,0,0,1,0,0,0,2,3,1,75.0,2b5a35e5
Ibrahima Baldé,FWMF,Lens,18,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,66.7,a30cb0d4
