Player,Pos,Squad,Age,Cmp,Att,Cmp%,-9999
Oliver Abildgaard,MFDF,Hellas Verona,26-290,11,22,50.0,8f5cdf66
Tammy Abraham,FW,Roma,25-176,269,394,68.3,f586779e
Christian Acella,MF,Cremonese,20-263,9,9,100.0,771a2cfe
Francesco Acerbi,DF,Inter,35-045,980,1120,87.5,b96b595c
Yacine Adli,MFFW,Milan,22-241,43,65,66.2,26777636
Michel Aebischer,FWMF,Bologna,26-080,370,453,81.7,f9c927de
Felix Afena-Gyan,FWMF,Cremonese,20-067,109,143,76.2,0154d290
Kevin Agudelo,MFFW,Spezia,24-133,431,591,72.9,46fa7204
Ola Aina,DF,Torino,26-170,370,498,74.3,246d153b
Emanuel Aiwum,DF,Cremonese,22-092,498,640,77.8,d810c13b
Jean-Daniel Akpa-Akpro,MF,Empoli,30-167,240,311,77.2,fdf4b948
Luis Alberto,MF,Lazio,30-180,976,1190,82.0,5294a83f
Agustín Álvarez Martínez,FWMF,Sassuolo,21-312,58,72,80.6,ab472696
Kelvin Amian,DF,Spezia,25-047,523,693,75.5,bcc81786
Bruno Amione,DF,Hellas Verona,21-083,11,16,68.8,2df7cc43
Bruno Amione,DF,Sampdoria,21-083,540,698,77.4,2df7cc43
Ethan Ampadu,DFMF,Spezia,22-194,806,1027,78.5,10b9fa99
Sofyan Amrabat,MF,Fiorentina,26-218,1060,1205,88.0,5a2cb25d
Felipe Anderson,FW,Lazio,29-346,734,955,76.9,9f1893b9
Janis Antiste,FW,Sassuolo,20-221,13,18,72.2,38d9ce53
Marcos Antônio,MF,Lazio,22-287,184,206,89.3,108fe016
Valentin Antov,DF,Monza,22-138,111,133,83.5,8f68aa41
Marko Arnautović,FW,Bologna,33-342,265,376,70.5,00459419
Tolgay Arslan,MF,Udinese,32-223,355,447,79.4,963a328b
Arthur,FW,Fiorentina,24-336,139,199,69.8,a820e429
Santiago Ascacíbar,MF,Cremonese,26-030,358,435,82.3,e26fcca3
Kristoffer Askildsen,MF,Lecce,22-077,144,228,63.2,a69cc629
Kristjan Asllani,MF,Inter,21-018,196,226,86.7,0fdcef0e
Emil Audero,GK,Sampdoria,26-068,617,919,67.1,649b01d8
Tommaso Augello,DF,Sampdoria,28-209,868,1210,71.7,3cd3b384
Kaan Ayhan,DF,Sassuolo,28-137,288,332,86.7,2200181e
Jaime Báez,DF,Cremonese,27-336,32,48,66.7,dfd24c07
Nedim Bajrami,MFFW,Empoli,24-027,260,348,74.7,f42d6c13
Nedim Bajrami,FW,Sassuolo,24-027,91,130,70.0,f42d6c13
Tiemoué Bakayoko,MF,Milan,28-222,15,17,88.2,59bf127b
Tommaso Baldanzi,MF,Empoli,20-004,385,469,82.1,102e2599
Fodé Ballo-Touré,DF,Milan,26-083,134,158,84.8,f449640d
Lameck Banda,FWMF,Lecce,22-057,196,300,65.3,8a6de8c7
Filippo Bandinelli,MF,Empoli,27-363,578,785,73.6,d44360be
Antonín Barák,MF,Hellas Verona,28-114,11,14,78.6,01efac19
Antonín Barák,MF,Fiorentina,28-114,440,540,81.5,01efac19
Andrea Barberis,MF,Monza,29-106,133,158,84.2,32ebfe1e
Nicolò Barella,MF,Inter,26-048,1006,1238,81.3,6928979a
Enzo Barrenechea,MF,Juventus,21-309,74,87,85.1,6caffe81
Musa Barrow,FWMF,Bologna,24-133,323,468,69.0,e5bf73f3
Federico Baschirotto,DF,Lecce,26-188,752,1033,72.8,5a08ee41
Toma Bašić,MF,Lazio,26-122,174,242,71.9,80556f08
Alessandro Bastoni,DF,Inter,23-348,1050,1270,82.7,75b86fb3
Simone Bastoni,MFDF,Spezia,26-142,281,469,59.9,1ac232b8
Brian Bayeye,DF,Torino,22-270,29,46,63.0,78e6bf2c
Rodrigo Becão,DF,Udinese,27-067,783,1018,76.9,19e4eab9
Julius Beck,MF,Spezia,17-334,5,5,100.0,e892c325
Raoul Bellanova,DFMF,Inter,22-314,95,126,75.4,e3756e72
