Player,Pos,Squad,Age,Cmp,Att,Cmp%,-9999
Max Aarons,DF,Norwich City,21,1107,1469,75.4,774cf58b
Che Adams,FW,Southampton,25,304,472,64.4,f2bf1b0f
Rayan Aït Nouri,DFMF,Wolves,20,763,1025,74.4,9b398aea
Kristoffer Ajer,DF,Brentford,23,627,892,70.3,a8c0acb7
Nathan Aké,DF,Manchester City,26,796,878,90.7,eaeca114
Marc Albrighton,FWDF,Leicester City,31,347,558,62.2,b827d5b3
Thiago Alcántara,MF,Liverpool,30,1340,1508,88.9,77e84962
Trent Alexander-Arnold,DF,Liverpool,22,2039,2757,74.0,cd1acf9d
Alisson,GK,Liverpool,28,1214,1388,87.5,7a2e46a8
Allan,MF,Everton,30,778,982,79.2,cc700722
Dele Alli,MF,Tottenham,25,177,228,77.6,cea4ee8f
Dele Alli,MFFW,Everton,25,114,157,72.6,cea4ee8f
Miguel Almirón,MFFW,Newcastle Utd,27,402,511,78.7,862a1c15
Marcos Alonso,DF,Chelsea,30,1142,1486,76.9,f4290206
Steven Alzate,MF,Brighton,22,204,233,87.6,ad1f61f3
Daniel Amartey,DF,Leicester City,26,1399,1546,90.5,1a4ef233
Joachim Andersen,DF,Crystal Palace,25,1911,2351,81.3,e34fc66d
Michail Antonio,FW,West Ham,31,438,702,62.4,ac05f970
Cameron Archer,FWMF,Aston Villa,20,4,4,100.0,05e8ca6d
Alphonse Areola,GK,West Ham,28,21,40,52.5,2f965a72
Adam Armstrong,FW,Southampton,24,229,324,70.7,68c720b5
Stuart Armstrong,MF,Southampton,29,590,744,79.3,97333cf5
Kepa Arrizabalaga,GK,Chelsea,26,115,138,83.3,28d596a0
Harrison Ashby,DF,West Ham,19,7,7,100.0,b391383a
Pierre-Emerick Aubameyang,FW,Arsenal,32,137,208,65.9,d5dd5f1f
Jordan Ayew,FW,Crystal Palace,29,576,754,76.4,da052c14
Luke Ayling,DF,Leeds United,29,1224,1592,76.9,420d7c7d
César Azpilicueta,DF,Chelsea,31,1486,1787,83.2,53cad200
Daniel Bachmann,GK,Watford,27,216,364,59.3,1c0eea98
Leon Bailey,FWMF,Aston Villa,23,150,226,66.4,3a233281
Eric Bailly,DF,Manchester Utd,27,68,85,80.0,a1232f4e
Folarin Balogun,FW,Arsenal,20,4,9,44.4,31822f8c
Patrick Bamford,FW,Leeds United,27,88,108,81.5,93feac6e
Shandon Baptiste,MF,Brentford,23,257,308,83.4,2886c9b5
Ross Barkley,MFFW,Chelsea,27,106,128,82.8,3a24769f
Ashley Barnes,FW,Burnley,31,122,198,61.6,2691c772
Harvey Barnes,FWMF,Leicester City,23,550,756,72.8,3ea50f67
Lewis Bate,MF,Leeds United,18,45,61,73.8,cd4256d3
Mads Bech Sørensen,DF,Brentford,22,393,514,76.5,30db8574
Jan Bednarek,DF,Southampton,25,1201,1490,80.6,4115ce4e
Donny van de Beek,MF,Manchester Utd,24,26,34,76.5,50dc94ce
Donny van de Beek,MF,Everton,24,206,250,82.4,50dc94ce
Asmir Begović,GK,Everton,34,39,85,45.9,7b4de647
Saïd Benrahma,FWMF,West Ham,25,632,841,75.1,5a04fd92
Rodrigo Bentancur,MF,Tottenham,24,912,1019,89.5,3b8674e6
Christian Benteke,FW,Crystal Palace,30,196,305,64.3,ab070c55
Jóhann Berg Guðmundsson,MF,Burnley,30,209,341,61.3,f72293fc
Steven Bergwijn,FWMF,Tottenham,23,144,177,81.4,a29b1131
Ryan Bertrand,DF,Leicester City,31,151,191,79.1,01226327
Mads Bidstrup,MF,Brentford,20,10,13,76.9,407db0d5
Yves Bissouma,MF,Brighton,24,1061,1193,88.9,6c203af0
Willy Boly,DF,Wolves,30,468,558,83.9,a4ac4b8f
Jarrod Bowen,FW,West Ham,24,574,863,66.5,79c84d1c
Jarrad Branthwaite,DF,Everton,19,89,117,76.1,c1949191
Armando Broja,FW,Southampton,19,243,404,60.1,97220da2
Josh Brownhill,MF,Burnley,25,891,1196,74.5,47369df8
Lewis Brunt,MF,Leicester City,20,21,21,100.0,a2081c6b
Bryan,FWMF,Tottenham,20,50,64,78.1,7b5ab7f2
Emi Buendía,MFFW,Aston Villa,24,711,902,78.8,66b76d44
Dan Burn,DF,Newcastle Utd,29,459,587,78.2,b2d31e83
Dan Burn,DF,Brighton,29,523,645,81.1,b2d31e83
Jack Butland,GK,Crystal Palace,28,214,287,74.6,cc70a1d5
Sam Byram,DF,Norwich City,27,393,515,76.3,1bf811d4
Willy Caballero,GK,Southampton,39,37,60,61.7,a179d516
Moisés Caicedo,MF,Brighton,19,225,275,81.8,16264a81
Dominic Calvert-Lewin,FW,Everton,24,167,280,59.6,59e6e5bf
Chem Campbell,MF,Wolves,18,9,10,90.0,6f711f67
João Cancelo,DF,Manchester City,27,2809,3365,83.5,bd6351cd
Sergi Canós,DFFW,Brentford,24,449,774,58.0,1137759d
Todd Cantwell,FWMF,Norwich City,23,130,157,82.8,f63d8a4b
Matty Cash,DF,Aston Villa,23,1113,1627,68.4,2389cdc2
Timothy Castagne,DF,Leicester City,25,1077,1330,81.0,197640fd
Jonny Castro,DF,Wolves,27,509,610,83.4,e28868f3
Craig Cathcart,DF,Watford,32,767,953,80.5,89e4b358
Edinson Cavani,FW,Manchester Utd,34,176,233,75.5,527f063d
Kayky Chagas,FW,Manchester City,18,2,2,100.0,17734ea0
Trevoh Chalobah,DF,Chelsea,22,1158,1283,90.3,5515376c
Calum Chambers,DF,Arsenal,26,77,97,79.4,dc6f5bdd
Calum Chambers,DF,Aston Villa,26,399,483,82.6,dc6f5bdd
Daniel Chesters,MF,West Ham,19,0,0,,240c8ab6
Ben Chilwell,DF,Chelsea,24,268,347,77.2,d2424d1b
Chiquinho,DFFW,Wolves,21,70,108,64.8,dc6c2f02
Hamza Choudhury,DFMF,Leicester City,23,128,156,82.1,7d2d3329
Andreas Christensen,DF,Chelsea,25,1201,1336,89.9,1cb49278
Carney Chukwuemeka,MFFW,Aston Villa,17,98,121,81.0,b2f9c73e
Ciaran Clark,DF,Newcastle Utd,31,290,370,78.4,2b91cf8e
Tom Cleverley,MF,Watford,31,479,658,72.8,6cdd8245
Nathaniel Clyne,DF,Crystal Palace,30,561,727,77.2,0442183b
Conor Coady,DF,Wolves,28,1514,1692,89.5,2928dca2
Séamus Coleman,DF,Everton,32,914,1255,72.8,0420d84f
