Player,Pos,Squad,Age,Cmp,Att,Cmp%,-9999
Yunis Abdelhamid,DF,Reims,33,1284,1578,81.4,32c2d95f
Salis Abdul Samed,MF,Clermont Foot,21,1535,1701,90.2,82464ce3
Laurent Abergel,MF,Lorient,28,1342,1660,80.8,31626657
Charles Abi,FW,Saint-Étienne,21,3,7,42.9,469d3d84
Matthis Abline,FW,Rennes,18,7,9,77.8,0e46fa2f
Mohamed Achi,MF,Nantes,19,6,9,66.7,1e93fc5d
Martin Adeline,MFFW,Reims,17,107,147,72.8,7587446d
Yacine Adli,MFFW,Bordeaux,21,906,1251,72.4,26777636
Lucien Agoume,MF,Brest,19,836,996,83.9,8bc8829a
Nayef Aguerd,DF,Rennes,25,1959,2204,88.9,288e1e13
Ruben Aguilar,DF,Monaco,28,1435,1728,83.0,3dd738a1
Anel Ahmedhodzic,DF,Bordeaux,22,766,858,89.3,eab957a3
Jean-Eudes Aholou,MF,Strasbourg,27,339,412,82.3,48b28bfd
Ludovic Ajorque,FW,Strasbourg,27,653,906,72.1,462475ed
Maghnes Akliouche,MFFW,Monaco,19,20,22,90.9,b625b241
Sofiane Alakouch,DFMF,Metz,23,83,103,80.6,5314e067
Josué Albert,DF,Clermont Foot,29,5,6,83.3,3d738df0
Doğan Alemdar,GK,Rennes,18,287,391,73.4,9e17ccff
Mohamed Ali Cho,FW,Angers,17,220,314,70.1,f8405304
Jim Allevinah,FW,Clermont Foot,26,416,545,76.3,1956b948
Ibrahim Amadou,DFMF,Metz,28,384,439,87.5,9260926b
Jordan Amavi,DF,Nice,27,269,319,84.3,22721b88
Jordan Amavi,DFFW,Marseille,27,74,86,86.0,22721b88
Benjamin André,MF,Lille,30,1404,1766,79.5,ef9c1c95
Houssem Aouar,MFFW,Lyon,23,1243,1446,86.0,a5db0bec
Adil Aouchiche,MFFW,Saint-Étienne,19,457,614,74.4,b94b8be1
Dennis Appiah,DF,Nantes,29,756,1001,75.5,feb5d3ab
Lorenz Assignon,DF,Rennes,21,306,383,79.9,b026bbf6
Youcef Atal,DF,Nice,25,556,738,75.3,6a827d8e
Jean-Kévin Augustin,FWMF,Nantes,24,11,14,78.6,97bfa797
Karim Azamoum,DF,Troyes,31,102,148,68.9,eaf71a5e
Loïc Bade,DF,Rennes,21,655,729,89.8,114bbdee
Benoît Badiashile,DF,Monaco,20,1212,1380,87.8,06df8256
Youssouph Badji,FWMF,Brest,19,22,35,62.9,6a2b9aee
Stéphane Bahoken,FW,Angers,29,157,218,72.0,5046b7d4
Dénys Bain,DF,Brest,28,79,84,94.0,5065d67d
Stefan Bajic,GK,Saint-Étienne,19,130,186,69.9,be13e5a8
Cédric Bakambu,FW,Marseille,30,50,67,74.6,0af4dcf0
Abdoulaye Bakayoko,DF,Saint-Étienne,18,93,136,68.4,ee95585f
Dilane Bakwa,FWMF,Bordeaux,18,7,14,50.0,2b5a35e5
Ibrahima Baldé,FWMF,Lens,18,7,11,63.6,a30cb0d4
Leonardo Balerdi,DF,Marseille,22,753,819,91.9,7c3ed041
Abdoulaye Bamba,DFFW,Angers,31,140,183,76.5,7fecbcdb
Jonathan Bamba,MFFW,Lille,25,866,1148,75.4,b2bd0f6c
Simon Banza,FW,Lens,24,18,31,58.1,be47b750
Danilo Barbosa,DF,Nice,25,32,42,76.2,0557ff4f
Bradley Barcola,FWMF,Lyon,18,57,81,70.4,a0d55a09
Melvin Bard,DF,Nice,20,1508,1878,80.3,1ddbc7ca
Toma Bašić,MF,Bordeaux,24,67,95,70.5,80556f08
Amine Bassi,MFFW,Metz,23,85,117,72.6,ced1d98f
Paul Baysse,MFDF,Bordeaux,33,2,4,50.0,2515040a
Youcef Belaïli,MFFW,Brest,29,271,390,69.5,1a248246
Haris Belkebla,MF,Brest,27,826,986,83.8,2b1bed19
Jean-Ricner Bellegarde,MF,Strasbourg,23,876,1073,81.6,10f0fdd3
Jeanöel Belocian,DF,Rennes,16,8,10,80.0,c678ddd7
Hatem Ben Arfa,FWMF,Lille,34,132,153,86.3,74dc806c
Salim Ben Seghir,MF,Marseille,18,0,0,,1f6298f2
