Player,Pos,Squad,Age,Touches,Succ,Att,Succ%,Mis,Dis,-9999
Tammy Abraham,FW,Roma,23,1050,38,77,49.4,86,41,f586779e
Francesco Acerbi,DF,Lazio,33,2289,4,6,66.7,13,4,b96b595c
Michel Aebischer,MF,Bologna,24,285,1,4,25.0,9,5,f9c927de
Felix Afena-Gyan,FWMF,Roma,18,271,5,20,25.0,42,21,0154d290
Kevin Agudelo,MFFW,Spezia,22,574,28,51,54.9,40,37,46fa7204
Ola Aina,DF,Torino,24,931,18,40,45.0,32,10,246d153b
Marley Aké,FWMF,Juventus,20,23,0,2,0.0,3,1,414e1f69
Jean-Daniel Akpa-Akpro,MF,Lazio,28,165,6,10,60.0,13,4,fdf4b948
Luis Alberto,MF,Lazio,28,2163,27,44,61.4,29,23,5294a83f
Giorgio Altare,DF,Cagliari,22,993,8,10,80.0,6,3,aa5322d5
Wisdom Amey,DF,Bologna,15,41,0,1,0.0,0,0,35b4bc62
Kelvin Amian,DF,Spezia,23,1424,23,37,62.2,27,20,bcc81786
Nadiem Amiri,MFFW,Genoa,24,403,12,29,41.4,33,13,555d5edd
Ethan Ampadu,MFDF,Venezia,20,1472,13,17,76.5,19,10,10b9fa99
Sofyan Amrabat,MF,Fiorentina,24,795,10,12,83.3,9,6,5a2cb25d
Felipe Anderson,FW,Lazio,28,1858,58,108,53.7,88,38,9f1893b9
Ebenezer Annan,DF,Bologna,18,14,0,0,,0,0,39aa05a7
Cristian Ansaldi,DF,Torino,34,493,8,16,50.0,16,4,bbafc0c4
Janis Antiste,FW,Spezia,18,310,8,21,38.1,24,7,38d9ce53
Mattia Aramu,MFFW,Venezia,26,1027,17,38,44.7,43,24,0847b5a5
Marko Arnautović,FW,Bologna,32,1193,37,59,62.7,81,36,00459419
Tolgay Arslan,MF,Udinese,30,861,22,34,64.7,27,15,963a328b
Arthur,FW,Fiorentina,23,227,9,14,64.3,17,8,a820e429
Kristoffer Askildsen,MF,Sampdoria,20,321,4,5,80.0,9,5,a69cc629
Kristjan Asllani,MF,Empoli,19,897,7,10,70.0,18,7,0fdcef0e
Emil Audero,GK,Sampdoria,24,1079,0,0,,0,0,649b01d8
Tommaso Augello,DF,Sampdoria,26,1580,23,44,52.3,29,13,3cd3b384
Ramzi Aya,DF,Salernitana,30,33,0,0,,0,0,6a1f66a7
