Player,Pos,Squad,Age,Touches,Att,Succ,Succ%,Mis,Dis,-9999
Oliver Abildgaard,MFDF,Hellas Verona,26-290,35,0,0,,2,0,8f5cdf66
Tammy Abraham,FW,Roma,25-176,609,54,14,25.9,45,24,f586779e
Christian Acella,MF,Cremonese,20-263,11,0,0,,1,0,771a2cfe
Francesco Acerbi,DF,Inter,35-045,1275,6,3,50.0,7,3,b96b595c
Yacine Adli,MFFW,Milan,22-241,83,1,1,100.0,2,3,26777636
Michel Aebischer,FWMF,Bologna,26-080,536,6,2,33.3,22,14,f9c927de
Felix Afena-Gyan,FWMF,Cremonese,20-067,232,20,6,30.0,23,15,0154d290
Kevin Agudelo,MFFW,Spezia,24-133,869,71,31,43.7,52,46,46fa7204
Ola Aina,DF,Torino,26-170,620,43,21,48.8,14,6,246d153b
Emanuel Aiwum,DF,Cremonese,22-092,791,7,2,28.6,6,3,d810c13b
Jean-Daniel Akpa-Akpro,MF,Empoli,30-167,467,35,21,60.0,15,9,fdf4b948
Luis Alberto,MF,Lazio,30-180,1324,23,8,34.8,20,18,5294a83f
Agustín Álvarez Martínez,FWMF,Sassuolo,21-312,135,14,5,35.7,16,10,ab472696
Kelvin Amian,DF,Spezia,25-047,872,19,11,57.9,16,10,bcc81786
Bruno Amione,DF,Hellas Verona,21-083,20,0,0,,0,0,2df7cc43
Bruno Amione,DF,Sampdoria,21-083,843,4,1,25.0,13,1,2df7cc43
Ethan Ampadu,DFMF,Spezia,22-194,1256,7,4,57.1,11,5,10b9fa99
Sofyan Amrabat,MF,Fiorentina,26-218,1332,16,11,68.8,20,16,5a2cb25d
Felipe Anderson,FW,Lazio,29-346,1252,76,36,47.4,65,34,9f1893b9
Janis Antiste,FW,Sassuolo,20-221,23,1,0,0.0,1,0,38d9ce53
Marcos Antônio,MF,Lazio,22-287,245,2,1,50.0,5,3,108fe016
Valentin Antov,DF,Monza,22-138,156,1,1,100.0,3,2,8f68aa41
Marko Arnautović,FW,Bologna,33-342,497,21,11,52.4,32,16,00459419
Tolgay Arslan,MF,Udinese,32-223,573,29,13,44.8,21,13,963a328b
Arthur,FW,Fiorentina,24-336,348,24,8,33.3,41,17,a820e429
Santiago Ascacíbar,MF,Cremonese,26-030,553,9,4,44.4,8,4,e26fcca3
Kristoffer Askildsen,MF,Lecce,22-077,300,6,3,50.0,13,3,a69cc629
Kristjan Asllani,MF,Inter,21-018,254,3,1,33.3,3,2,0fdcef0e
Emil Audero,GK,Sampdoria,26-068,982,0,0,,1,0,649b01d8
Tommaso Augello,DF,Sampdoria,28-209,1353,43,21,48.8,14,13,3cd3b384
Kaan Ayhan,DF,Sassuolo,28-137,385,0,0,,0,1,2200181e
Jaime Báez,DF,Cremonese,27-336,62,2,1,50.0,1,0,dfd24c07
Nedim Bajrami,MFFW,Empoli,24-027,457,31,11,35.5,24,17,f42d6c13
Nedim Bajrami,FW,Sassuolo,24-027,172,12,5,41.7,10,3,f42d6c13
Tiemoué Bakayoko,MF,Milan,28-222,24,2,1,50.0,1,1,59bf127b
Tommaso Baldanzi,MF,Empoli,20-004,587,27,9,33.3,22,9,102e2599
Fodé Ballo-Touré,DF,Milan,26-083,199,7,1,14.3,3,3,f449640d
Lameck Banda,FWMF,Lecce,22-057,518,79,30,38.0,51,27,8a6de8c7
Filippo Bandinelli,MF,Empoli,27-363,1012,32,9,28.1,33,24,d44360be
