Player,Pos,Squad,Age,Touches,Att,Succ,Succ%,Mis,Dis,-9999
Max Aarons,DF,Norwich City,21,1841,68,34,50.0,38,23,774cf58b
Che Adams,FW,Southampton,25,712,35,20,57.1,59,34,f2bf1b0f
Rayan Aït Nouri,DFMF,Wolves,20,1293,81,42,51.9,44,27,9b398aea
Kristoffer Ajer,DF,Brentford,23,1101,18,13,72.2,25,7,a8c0acb7
Nathan Aké,DF,Manchester City,26,956,2,0,0.0,4,3,eaeca114
Marc Albrighton,FWDF,Leicester City,31,705,40,15,37.5,21,8,b827d5b3
Thiago Alcántara,MF,Liverpool,30,1700,32,20,62.5,16,13,77e84962
Trent Alexander-Arnold,DF,Liverpool,22,3036,39,19,48.7,41,19,cd1acf9d
Alisson,GK,Liverpool,28,1469,1,1,100.0,1,0,7a2e46a8
Allan,MF,Everton,30,1259,31,21,67.7,38,24,cc700722
Dele Alli,MF,Tottenham,25,339,27,12,44.4,13,19,cea4ee8f
Dele Alli,MFFW,Everton,25,225,14,5,35.7,15,6,cea4ee8f
Miguel Almirón,MFFW,Newcastle Utd,27,728,39,26,66.7,44,24,862a1c15
Marcos Alonso,DF,Chelsea,30,1791,35,15,42.9,43,25,f4290206
Steven Alzate,MF,Brighton,22,292,8,6,75.0,8,3,ad1f61f3
Daniel Amartey,DF,Leicester City,26,1752,7,6,85.7,7,1,1a4ef233
Joachim Andersen,DF,Crystal Palace,25,2614,9,7,77.8,8,8,e34fc66d
Michail Antonio,FW,West Ham,31,1095,93,50,53.8,136,72,ac05f970
Cameron Archer,FWMF,Aston Villa,20,11,1,0,0.0,1,2,05e8ca6d
Alphonse Areola,GK,West Ham,28,42,0,0,,0,0,2f965a72
Adam Armstrong,FW,Southampton,24,493,42,16,38.1,45,13,68c720b5
Stuart Armstrong,MF,Southampton,29,946,54,27,50.0,40,27,97333cf5
Kepa Arrizabalaga,GK,Chelsea,26,146,0,0,,0,0,28d596a0
Harrison Ashby,DF,West Ham,19,9,0,0,,0,0,b391383a
Pierre-Emerick Aubameyang,FW,Arsenal,32,319,7,2,28.6,16,4,d5dd5f1f
Jordan Ayew,FW,Crystal Palace,29,1087,71,34,47.9,84,77,da052c14
Luke Ayling,DF,Leeds United,29,1884,37,23,62.2,42,10,420d7c7d
César Azpilicueta,DF,Chelsea,31,2017,19,15,78.9,21,10,53cad200
Daniel Bachmann,GK,Watford,27,401,1,1,100.0,0,0,1c0eea98
Leon Bailey,FWMF,Aston Villa,23,348,29,13,44.8,33,24,3a233281
Eric Bailly,DF,Manchester Utd,27,114,1,0,0.0,3,1,a1232f4e
Folarin Balogun,FW,Arsenal,20,22,2,0,0.0,4,0,31822f8c
Patrick Bamford,FW,Leeds United,27,173,7,4,57.1,18,3,93feac6e
Shandon Baptiste,MF,Brentford,23,418,28,19,67.9,21,12,2886c9b5
Ross Barkley,MFFW,Chelsea,27,153,8,7,87.5,3,7,3a24769f
Ashley Barnes,FW,Burnley,31,302,8,5,62.5,37,22,2691c772
Harvey Barnes,FWMF,Leicester City,23,1052,75,31,41.3,58,43,3ea50f67
Lewis Bate,MF,Leeds United,18,86,5,1,20.0,9,2,cd4256d3
Mads Bech Sørensen,DF,Brentford,22,576,1,0,0.0,2,0,30db8574
