Player,Pos,Squad,Age,Att,Succ,Succ%,Mis,Dis,-9999
Yunis Abdelhamid,DF,Reims,33,18,14,77.8,28,13,32c2d95f
Salis Abdul Samed,MF,Clermont Foot,21,41,26,63.4,42,30,82464ce3
Laurent Abergel,MF,Lorient,28,61,39,63.9,52,40,31626657
Charles Abi,FW,Saint-Étienne,21,0,0,,3,0,469d3d84
Matthis Abline,FW,Rennes,18,6,3,50.0,1,3,0e46fa2f
Mohamed Achi,MF,Nantes,19,0,0,,0,0,1e93fc5d
Martin Adeline,MFFW,Reims,17,9,6,66.7,8,6,7587446d
Yacine Adli,MFFW,Bordeaux,21,80,46,57.5,59,47,26777636
Lucien Agoume,MF,Brest,19,32,22,68.8,19,17,8bc8829a
Nayef Aguerd,DF,Rennes,25,6,5,83.3,7,4,288e1e13
Ruben Aguilar,DF,Monaco,28,11,5,45.5,31,5,3dd738a1
Anel Ahmedhodzic,DF,Bordeaux,22,4,1,25.0,8,5,eab957a3
Jean-Eudes Aholou,MF,Strasbourg,27,23,11,47.8,21,10,48b28bfd
Ludovic Ajorque,FW,Strasbourg,27,27,14,51.9,70,36,462475ed
Maghnes Akliouche,MFFW,Monaco,19,1,0,0.0,5,1,b625b241
Sofiane Alakouch,DFMF,Metz,23,4,2,50.0,6,2,5314e067
Josué Albert,DF,Clermont Foot,29,0,0,,0,0,3d738df0
Doğan Alemdar,GK,Rennes,18,0,0,,0,0,9e17ccff
Mohamed Ali Cho,FW,Angers,17,58,25,43.1,91,32,f8405304
Jim Allevinah,FW,Clermont Foot,26,68,32,47.1,42,40,1956b948
Ibrahim Amadou,DFMF,Metz,28,7,6,85.7,9,5,9260926b
Jordan Amavi,DF,Nice,27,9,5,55.6,6,4,22721b88
Jordan Amavi,DFFW,Marseille,27,2,0,0.0,2,3,22721b88
Benjamin André,MF,Lille,30,25,20,80.0,54,26,ef9c1c95
Houssem Aouar,MFFW,Lyon,23,129,70,54.3,72,52,a5db0bec
Adil Aouchiche,MFFW,Saint-Étienne,19,40,15,37.5,31,17,b94b8be1
Dennis Appiah,DF,Nantes,29,30,14,46.7,23,5,feb5d3ab
Lorenz Assignon,DF,Rennes,21,10,5,50.0,10,6,b026bbf6
Youcef Atal,DF,Nice,25,39,18,46.2,19,19,6a827d8e
Jean-Kévin Augustin,FWMF,Nantes,24,0,0,,7,3,97bfa797
