Player,Pos,Squad,Age,SCA,-9999
Tammy Abraham,FW,Roma,23,94,f586779e
Francesco Acerbi,DF,Lazio,33,17,b96b595c
Michel Aebischer,MF,Bologna,24,10,f9c927de
Felix Afena-Gyan,FWMF,Roma,18,23,0154d290
Kevin Agudelo,MFFW,Spezia,22,40,46fa7204
Ola Aina,DF,Torino,24,37,246d153b
Marley Aké,FWMF,Juventus,20,1,414e1f69
Jean-Daniel Akpa-Akpro,MF,Lazio,28,3,fdf4b948
Luis Alberto,MF,Lazio,28,120,5294a83f
Giorgio Altare,DF,Cagliari,22,27,aa5322d5
Wisdom Amey,DF,Bologna,15,0,35b4bc62
Kelvin Amian,DF,Spezia,23,33,bcc81786
Nadiem Amiri,MFFW,Genoa,24,30,555d5edd
Ethan Ampadu,MFDF,Venezia,20,45,10b9fa99
Sofyan Amrabat,MF,Fiorentina,24,18,5a2cb25d
Felipe Anderson,FW,Lazio,28,115,9f1893b9
Ebenezer Annan,DF,Bologna,18,0,39aa05a7
Cristian Ansaldi,DF,Torino,34,29,bbafc0c4
Janis Antiste,FW,Spezia,18,14,38d9ce53
Mattia Aramu,MFFW,Venezia,26,74,0847b5a5
Marko Arnautović,FW,Bologna,32,89,00459419
Tolgay Arslan,MF,Udinese,30,48,963a328b
Arthur,FW,Fiorentina,23,17,a820e429
Kristoffer Askildsen,MF,Sampdoria,20,7,a69cc629
Kristjan Asllani,MF,Empoli,19,30,0fdcef0e
Emil Audero,GK,Sampdoria,24,5,649b01d8
Tommaso Augello,DF,Sampdoria,26,49,3cd3b384
Ramzi Aya,DF,Salernitana,30,0,6a1f66a7
Kaan Ayhan,DF,Sassuolo,26,8,2200181e
Milan Badelj,MF,Genoa,32,72,e8c930bb
Nicola Bagnolini,GK,Bologna,17,0,ad263695
Issa Bah,FW,Venezia,19,0,956a78ea
Nedim Bajrami,MFFW,Empoli,22,104,f42d6c13
Tiemoué Bakayoko,MF,Milan,26,7,59bf127b
Tommaso Baldanzi,FW,Empoli,18,1,102e2599
Keita Baldé,FW,Cagliari,26,23,509a4ccb
Fodé Ballo-Touré,DF,Milan,24,13,f449640d
Filippo Bandinelli,MF,Empoli,26,58,d44360be
Mattia Bani,DF,Genoa,27,5,0821331c
Antonín Barák,MFFW,Hellas Verona,26,70,01efac19
Francesco Bardi,GK,Bologna,29,0,0acda699
Nicolò Barella,MF,Inter,24,140,6928979a
Musa Barrow,FWMF,Bologna,22,87,e5bf73f3
Daniele Baselli,MFFW,Torino,29,2,ea06dd97
Daniele Baselli,MF,Cagliari,29,15,ea06dd97
Toma Bašić,MF,Lazio,24,9,80556f08
Alessandro Bastoni,DF,Inter,22,45,75b86fb3
Simone Bastoni,MFDF,Spezia,24,80,1ac232b8
Rodrigo Becão,DF,Udinese,25,27,19e4eab9
Valon Behrami,MFFW,Genoa,36,5,d3d758d8
Vid Belec,GK,Salernitana,31,1,4f8ce0e1
Raoul Bellanova,DFFW,Cagliari,21,65,e3756e72
Andrea Belotti,FW,Torino,27,39,d705ba44
Marco Benassi,DFMF,Fiorentina,26,1,0000acda
Marco Benassi,MF,Empoli,26,7,0000acda
Filip Benković,DFFW,Udinese,24,0,305a3820
Ismaël Bennacer,MF,Milan,23,61,db092d3b
Rodrigo Bentancur,MF,Juventus,24,36,3b8674e6
Alessandro Berardi,GK,Hellas Verona,30,0,ec1f737d
Domenico Berardi,FW,Sassuolo,26,171,53a0e358
Bartosz Bereszyński,DF,Sampdoria,29,54,61b3978f
Etrit Berisha,GK,Torino,32,0,ee833569
Federico Bernardeschi,MFFW,Juventus,27,62,ee93c1a9
Nicolò Bertola,MFDF,Spezia,18,0,04b40c58
Daniel Bessa,MF,Hellas Verona,28,26,88895312
Beto,FW,Udinese,23,49,ed5c0319
Luis Binks,DF,Bologna,19,1,36e88fbc
Cristiano Biraghi,DF,Fiorentina,28,126,9e1577aa
Davide Biraschi,DF,Genoa,27,5,64cd167d
Bjarki Bjarkason,MF,Venezia,21,0,f1d25de7
Jeremie Boga,FWMF,Atalanta,24,50,fe012aca
Jeremie Boga,FWMF,Sassuolo,24,24,fe012aca
Luka Bogdan,DF,Salernitana,25,1,cb678320
Emil Bohinen,MF,Salernitana,22,25,c83c203f
Giacomo Bonaventura,MF,Fiorentina,31,83,d995ed27
Federico Bonazzoli,FWMF,Salernitana,24,41,bf57eaab
Kevin Bonifazi,DF,Bologna,25,12,fb77bfef
Leonardo Bonucci,DF,Juventus,34,18,52ec54d0
Mehdi Bourabia,MF,Spezia,29,5,0d077b88
Edoardo Bove,MFDF,Roma,19,0,ae94a6c5
Josip Brekalo,MF,Torino,23,122,d4a2533d
Gleison Bremer,DF,Torino,24,23,5fd5ed86
Marcelo Brozović,MF,Inter,28,98,33b8d077
Aleksander Buksa,FW,Genoa,18,0,59f2d958
Alessandro Buongiorno,DF,Torino,22,9,4ae67f27
Gianluca Busio,MF,Venezia,19,40,4a0b7f07
Jovane Cabral,FW,Lazio,23,4,e34e086c
Liberato Cacace,DF,Empoli,20,5,dd86e8e4
Martín Cáceres,DF,Cagliari,34,14,e94d79e3
Felipe Caicedo,FW,Genoa,32,9,93b891d1
Felipe Caicedo,FWDF,Inter,32,1,93b891d1
Davide Calabria,DF,Milan,24,47,2146785a
Riccardo Calafiori,DF,Genoa,19,1,aded8e6f
Riccardo Calafiori,DF,Roma,19,4,aded8e6f
Mattia Caldara,DF,Venezia,27,20,ac7e640b
Hakan Çalhanoğlu,MF,Inter,27,172,cd0fa27b
José Callejón,FW,Fiorentina,34,47,78841da9
Andrea Cambiaso,DF,Genoa,21,39,247ed022
Matteo Cancellieri,MFDF,Hellas Verona,19,7,b6a1cdf9
Antonio Candreva,MFFW,Sampdoria,34,140,356c9002
Leonardo Capezzi,MF,Salernitana,26,1,07ea0ef2
Gianluca Caprari,MFFW,Hellas Verona,28,141,54e53b7e
Francesco Caputo,FW,Sampdoria,33,74,5bd72174
Francesco Caputo,FW,Sassuolo,33,6,5bd72174
Andrea Carboni,DF,Cagliari,20,20,f7e2af2c
Nicolò Casale,DF,Hellas Verona,23,34,3f5f38fb
Francesco Cassata,MF,Genoa,24,0,96960855
Samu Castillejo,FWMF,Milan,26,10,130a7a3f
Gaetano Castrovilli,MF,Fiorentina,24,49,0728bebe
Danilo Cataldi,MF,Lazio,26,39,ba3d3bea
Pietro Ceccaroni,DF,Venezia,25,17,4d1efb48
Federico Ceccherini,DF,Hellas Verona,29,24,d9624b51
Emil Ceide,FWMF,Sassuolo,19,1,98a84572
Luca Ceppitelli,DF,Cagliari,31,10,7d50454d
Damir Ceter,FW,Cagliari,23,0,eade5337
Julian Chabot,DF,Sampdoria,23,2,ae7058f9
Giorgio Chiellini,DF,Juventus,36,21,e85fb9b8
Federico Chiesa,MFFW,Juventus,23,41,b0f7e36c
Vlad Chiricheș,DF,Sassuolo,31,8,c316607a
Riccardo Ciervo,MFDF,Sampdoria,19,7,da77b60b
Moustapha Cissé,FW,Atalanta,17,1,ee3c4b3f
Giorgio Cittadini,DF,Atalanta,19,0,e4ba67f2
Ebrima Colley,FWMF,Spezia,21,12,bf356094
Omar Colley,DF,Sampdoria,28,10,8b95acda
Andrea Consigli,GK,Sassuolo,34,8,8cabdc1e
Andrea Conti,DFMF,Sampdoria,27,2,8fef5412
Andrea Conti,DF,Milan,27,0,8fef5412
Diego Coppola,DF,Hellas Verona,17,0,22ae86f9
Joaquín Correa,FW,Inter,26,43,45b9b619
Lassana Coulibaly,MF,Salernitana,25,43,85a44ecc
Mamadou Coulibaly,MF,Salernitana,22,25,c976160c
Alessio Cragno,GK,Cagliari,27,4,f554e29b
Domenico Criscito,DF,Genoa,34,25,35dd6d80
Bryan Cristante,MF,Roma,26,62,16657b95
Domen Črnigoj,MF,Venezia,25,35,22cd43d2
Giovanni Crociata,FW,Empoli,23,0,8c964914
Juan Cuadrado,DFMF,Juventus,33,112,0ab1f153
Mickaël Cuisance,MF,Venezia,21,25,5722eced
Patrick Cutrone,FW,Empoli,23,22,a4fe8cda
Danilo D'Ambrosio,DF,Inter,32,11,44eb9093
Mikkel Damsgaard,MFFW,Sampdoria,21,27,215f3907
Danilo,DFMF,Juventus,30,39,94b2001f
Ebrima Darboe,MF,Roma,20,1,cf043a33
Matteo Darmian,DF,Inter,31,43,96e0490d
Paweł Dawidowicz,DF,Hellas Verona,26,11,16bb656a
Sebastien De Maio,DF,Udinese,34,1,952a03fe
Tommaso De Nipoti,FW,Atalanta,18,0,7f9d956a
Mattia De Sciglio,DF,Juventus,28,32,ae4e2852
Lorenzo De Silvestri,DF,Bologna,33,46,e74f0e59
Grégoire Defrel,FW,Sassuolo,30,47,854ee61a
Alessandro Deiola,MF,Cagliari,25,37,7f267d66
Filippo Delli Carri,DF,Salernitana,22,4,d2e8fd9b
Merih Demiral,DF,Atalanta,23,8,e3cceee6
Diego Demme,MF,Napoli,29,23,dc3fa3b5
Fabio Depaoli,DF,Hellas Verona,24,17,d97f2e8d
Fabio Depaoli,MFDF,Sampdoria,24,0,d97f2e8d
Mattia Destro,FW,Genoa,30,31,d7d32194
Gerard Deulofeu,FWMF,Udinese,27,149,39583cfd
Jacopo Dezi,MF,Venezia,29,2,e921b9db
Samuel Di Carmine,FW,Hellas Verona,32,0,ef94dc2f
Federico Di Francesco,FWMF,Empoli,27,41,1fca9171
Giovanni Di Lorenzo,DF,Napoli,27,68,230a2fac
Francesco Di Mariano,FW,Venezia,25,1,35a2557c
Francesco Di Tacchio,MF,Salernitana,31,16,b5c3ff9f
Amadou Diawara,MF,Roma,24,1,bf309d24
Brahim Díaz,MF,Milan,21,78,407feb71
Mitchell Dijks,DFFW,Bologna,28,12,0a3065c8
Federico Dimarco,DF,Inter,23,88,970b8574
Filippo Distefano,FW,Fiorentina,17,0,2110f96c
Koffi Djidji,DF,Torino,28,15,933d3b51
Berat Djimsiti,DF,Atalanta,28,23,6eee05f1
Nicolás Domínguez,MF,Bologna,23,61,20b3a502
Bartłomiej Drągowski,GK,Fiorentina,23,0,085e71a7
Radu Drăgușin,DF,Sampdoria,19,5,620922ed
Radu Drăgușin,DF,Salernitana,19,3,620922ed
Denzel Dumfries,DF,Inter,25,63,481c9ece
Alfred Duncan,MF,Fiorentina,28,51,528492ea
Paulo Dybala,FWMF,Juventus,27,113,e0921a4f
Edin Džeko,FW,Inter,35,92,3bb7f478
Tyronne Ebuehi,DF,Venezia,25,19,6af30900
Éderson,MF,Salernitana,22,31,a9202def
Albin Ekdal,MF,Sampdoria,32,19,f503ea63
Caleb Ekuban,FWMF,Genoa,27,38,7afbd2c3
Elif Elmas,FWMF,Napoli,21,58,cf007308
Martin Erlic,DF,Spezia,23,11,0fee6bda
Gonzalo Escalante,MF,Lazio,28,0,3f79a1c8
Diego Falcinelli,FW,Bologna,30,1,a39b9ef6
Wladimiro Falcone,GK,Sampdoria,26,0,9f5a610b
Paolo Faragò,MF,Cagliari,28,0,9085dd7c
Davide Faraoni,DF,Hellas Verona,29,48,aae9d04a
Mohamed Fares,DFFW,Genoa,25,21,b7a5bc86
Diego Farias,MFFW,Cagliari,31,0,157d29b6
Andrea Favilli,FW,Genoa,24,0,44510fde
Federico Fazio,DF,Salernitana,34,17,4e358a2d
Luiz Felipe,DF,Lazio,24,14,15d0c248
Alex Ferrari,DF,Sampdoria,27,10,d0dbca9f
Salvador Ferrer,DFMF,Spezia,23,31,eb76987d
Riccardo Fiamozzi,DF,Empoli,28,9,9f9b9269
Luca Fiordilino,MF,Venezia,25,15,9bb1ad91
Vincenzo Fiorillo,GK,Salernitana,31,0,a2565f79
Alessandro Florenzi,DFFW,Milan,30,34,e288d4b3
Fernando Forestieri,FWMF,Udinese,31,4,d60c26fc
Francesco Forte,FW,Venezia,28,8,69e11a01
Gianluca Frabotta,DFMF,Hellas Verona,22,0,d80b1835
Davide Frattesi,MF,Sassuolo,21,89,2a7d27c1
Morten Frendrup,DFMF,Genoa,20,14,f4d60499
Remo Freuler,MF,Atalanta,29,71,98d2c2c4
Matteo Gabbia,DF,Milan,21,3,c235e803
Manolo Gabbiadini,FWMF,Sampdoria,29,37,8f866fe8
Gianluca Gaetano,MF,Napoli,21,0,3b387cc7
Luca Gagliano,FWDF,Cagliari,21,0,1d00a56c
Roberto Gagliardini,MF,Inter,27,17,ce30bfc8
Riccardo Gagliolo,DF,Salernitana,31,7,173061c0
Nicolas Galazzi,MF,Venezia,20,1,a796492f
Pablo Galdames Millán,MF,Genoa,24,29,dd403465
Luca Gemello,GK,Torino,21,0,53e494ec
Paolo Ghiglione,DF,Genoa,24,12,71dc23da
Faouzi Ghoulam,DF,Napoli,30,13,c5adc293
Sebastian Giovinco,MF,Sampdoria,34,0,2b7c18ae
Olivier Giroud,FW,Milan,34,55,16ceb862
Diego Godín,DF,Cagliari,35,8,fc4f85b1
Edoardo Goldaniga,DF,Cagliari,27,10,4b029b31
