Player,Pos,Squad,Age,SCA,-9999
Max Aarons,DF,Norwich City,21,46,774cf58b
Che Adams,FW,Southampton,25,51,f2bf1b0f
Rayan Aït Nouri,DFMF,Wolves,20,45,9b398aea
Kristoffer Ajer,DF,Brentford,23,33,a8c0acb7
Nathan Aké,DF,Manchester City,26,5,eaeca114
Marc Albrighton,FWDF,Leicester City,31,19,b827d5b3
Thiago Alcántara,MF,Liverpool,30,67,77e84962
Trent Alexander-Arnold,DF,Liverpool,22,160,cd1acf9d
Alisson,GK,Liverpool,28,2,7a2e46a8
Allan,MF,Everton,30,38,cc700722
Dele Alli,MF,Tottenham,25,7,cea4ee8f
Dele Alli,MFFW,Everton,25,13,cea4ee8f
Miguel Almirón,MFFW,Newcastle Utd,27,49,862a1c15
Marcos Alonso,DF,Chelsea,30,93,f4290206
Steven Alzate,MF,Brighton,22,6,ad1f61f3
Daniel Amartey,DF,Leicester City,26,18,1a4ef233
Joachim Andersen,DF,Crystal Palace,25,33,e34fc66d
Michail Antonio,FW,West Ham,31,97,ac05f970
Cameron Archer,FWMF,Aston Villa,20,0,05e8ca6d
Alphonse Areola,GK,West Ham,28,0,2f965a72
Adam Armstrong,FW,Southampton,24,36,68c720b5
Stuart Armstrong,MF,Southampton,29,54,97333cf5
Kepa Arrizabalaga,GK,Chelsea,26,0,28d596a0
Harrison Ashby,DF,West Ham,19,0,b391383a
Pierre-Emerick Aubameyang,FW,Arsenal,32,22,d5dd5f1f
Jordan Ayew,FW,Crystal Palace,29,61,da052c14
Luke Ayling,DF,Leeds United,29,33,420d7c7d
César Azpilicueta,DF,Chelsea,31,48,53cad200
Daniel Bachmann,GK,Watford,27,0,1c0eea98
Leon Bailey,FWMF,Aston Villa,23,20,3a233281
Eric Bailly,DF,Manchester Utd,27,1,a1232f4e
Folarin Balogun,FW,Arsenal,20,0,31822f8c
Patrick Bamford,FW,Leeds United,27,13,93feac6e
Shandon Baptiste,MF,Brentford,23,21,2886c9b5
Ross Barkley,MFFW,Chelsea,27,18,3a24769f
Ashley Barnes,FW,Burnley,31,18,2691c772
Harvey Barnes,FWMF,Leicester City,23,63,3ea50f67
Lewis Bate,MF,Leeds United,18,3,cd4256d3
Mads Bech Sørensen,DF,Brentford,22,11,30db8574
Jan Bednarek,DF,Southampton,25,22,4115ce4e
Donny van de Beek,MF,Manchester Utd,24,6,50dc94ce
Donny van de Beek,MF,Everton,24,8,50dc94ce
Asmir Begović,GK,Everton,34,0,7b4de647
Saïd Benrahma,FWMF,West Ham,25,75,5a04fd92
Rodrigo Bentancur,MF,Tottenham,24,38,3b8674e6
Christian Benteke,FW,Crystal Palace,30,23,ab070c55
Jóhann Berg Guðmundsson,MF,Burnley,30,23,f72293fc
Steven Bergwijn,FWMF,Tottenham,23,21,a29b1131
Ryan Bertrand,DF,Leicester City,31,2,01226327
Mads Bidstrup,MF,Brentford,20,0,407db0d5
Yves Bissouma,MF,Brighton,24,31,6c203af0
Willy Boly,DF,Wolves,30,3,a4ac4b8f
Jarrod Bowen,FW,West Ham,24,98,79c84d1c
Jarrad Branthwaite,DF,Everton,19,0,c1949191
Armando Broja,FW,Southampton,19,38,97220da2
Josh Brownhill,MF,Burnley,25,75,47369df8
Lewis Brunt,MF,Leicester City,20,0,a2081c6b
Bryan,FWMF,Tottenham,20,5,7b5ab7f2
Emi Buendía,MFFW,Aston Villa,24,83,66b76d44
Dan Burn,DF,Newcastle Utd,29,6,b2d31e83
Dan Burn,DF,Brighton,29,7,b2d31e83
Jack Butland,GK,Crystal Palace,28,0,cc70a1d5
Sam Byram,DF,Norwich City,27,11,1bf811d4
Willy Caballero,GK,Southampton,39,0,a179d516
