Player,Pos,Squad,Age,SCA,-9999
Yunis Abdelhamid,DF,Reims,33,22,32c2d95f
Salis Abdul Samed,MF,Clermont Foot,21,50,82464ce3
Laurent Abergel,MF,Lorient,28,83,31626657
Charles Abi,FW,Saint-Étienne,21,1,469d3d84
Matthis Abline,FW,Rennes,18,0,0e46fa2f
Mohamed Achi,MF,Nantes,19,0,1e93fc5d
Martin Adeline,MFFW,Reims,17,10,7587446d
Yacine Adli,MFFW,Bordeaux,21,121,26777636
Lucien Agoume,MF,Brest,19,35,8bc8829a
Nayef Aguerd,DF,Rennes,25,15,288e1e13
Ruben Aguilar,DF,Monaco,28,32,3dd738a1
Anel Ahmedhodzic,DF,Bordeaux,22,20,eab957a3
Jean-Eudes Aholou,MF,Strasbourg,27,23,48b28bfd
Ludovic Ajorque,FW,Strasbourg,27,84,462475ed
Maghnes Akliouche,MFFW,Monaco,19,1,b625b241
Sofiane Alakouch,DFMF,Metz,23,4,5314e067
Josué Albert,DF,Clermont Foot,29,0,3d738df0
Doğan Alemdar,GK,Rennes,18,1,9e17ccff
Mohamed Ali Cho,FW,Angers,17,42,f8405304
Jim Allevinah,FW,Clermont Foot,26,53,1956b948
Ibrahim Amadou,DFMF,Metz,28,9,9260926b
Jordan Amavi,DF,Nice,27,6,22721b88
Jordan Amavi,DFFW,Marseille,27,2,22721b88
Benjamin André,MF,Lille,30,56,ef9c1c95
Houssem Aouar,MFFW,Lyon,23,101,a5db0bec
Adil Aouchiche,MFFW,Saint-Étienne,19,38,b94b8be1
Dennis Appiah,DF,Nantes,29,15,feb5d3ab
Lorenz Assignon,DF,Rennes,21,18,b026bbf6
Youcef Atal,DF,Nice,25,31,6a827d8e
Jean-Kévin Augustin,FWMF,Nantes,24,1,97bfa797
Karim Azamoum,DF,Troyes,31,1,eaf71a5e
Loïc Bade,DF,Rennes,21,5,114bbdee
Benoît Badiashile,DF,Monaco,20,15,06df8256
Youssouph Badji,FWMF,Brest,19,3,6a2b9aee
Stéphane Bahoken,FW,Angers,29,15,5046b7d4
Dénys Bain,DF,Brest,28,1,5065d67d
Stefan Bajic,GK,Saint-Étienne,19,0,be13e5a8
Cédric Bakambu,FW,Marseille,30,13,0af4dcf0
Abdoulaye Bakayoko,DF,Saint-Étienne,18,3,ee95585f
Dilane Bakwa,FWMF,Bordeaux,18,0,2b5a35e5
Ibrahima Baldé,FWMF,Lens,18,1,a30cb0d4
Leonardo Balerdi,DF,Marseille,22,6,7c3ed041
Abdoulaye Bamba,DFFW,Angers,31,7,7fecbcdb
Jonathan Bamba,MFFW,Lille,25,89,b2bd0f6c
Simon Banza,FW,Lens,24,4,be47b750
Danilo Barbosa,DF,Nice,25,0,0557ff4f
Bradley Barcola,FWMF,Lyon,18,11,a0d55a09
Melvin Bard,DF,Nice,20,45,1ddbc7ca
Toma Bašić,MF,Bordeaux,24,6,80556f08
Amine Bassi,MFFW,Metz,23,12,ced1d98f
Paul Baysse,MFDF,Bordeaux,33,0,2515040a
Youcef Belaïli,MFFW,Brest,29,36,1a248246
Haris Belkebla,MF,Brest,27,34,2b1bed19
Jean-Ricner Bellegarde,MF,Strasbourg,23,52,10f0fdd3
Jeanöel Belocian,DF,Rennes,16,0,c678ddd7
Hatem Ben Arfa,FWMF,Lille,34,13,74dc806c
Salim Ben Seghir,MF,Marseille,18,0,1f6298f2
Wissam Ben Yedder,FW,Monaco,30,71,942b4f90
Darío Benedetto,FWMF,Marseille,31,1,bef0a7ac
Walter Benítez,GK,Nice,28,3,8a2248b4
Loris Benito,DF,Bordeaux,29,0,f5b6fb78
Nabil Bentaleb,MF,Angers,26,18,3189f61a
Patrick Berg,MF,Lens,23,5,e4114f5d
Mitchell van Bergen,FWMF,Reims,21,27,0b2c9aec
