Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Gennaro Acampora,MFFW,Spezia,26,4.9,9,0,0.0,01040647
Francesco Acerbi,DF,Lazio,32,31.3,9,0,0.0,b96b595c
Andrea Adorante,FW,Parma,20,0.1,0,0,,7005ac66
Lucien Agoume,MF,Spezia,18,8.9,2,0,0.0,8bc8829a
Kevin Agudelo,FW,Spezia,21,15.1,19,4,21.1,46fa7204
Jean-Daniel Akpa-Akpro,MF,Lazio,27,11.7,12,1,8.3,fdf4b948
Luis Alberto,MF,Lazio,27,29.1,69,29,42.0,5294a83f
Bruno Alves,DF,Parma,38,18.1,10,3,30.0,585a73a8
Wisdom Amey,DF,Bologna,14,0.0,0,0,,35b4bc62
Sofyan Amrabat,MF,Fiorentina,23,27.1,10,3,30.0,5a2cb25d
Djavan Anderson,DF,Lazio,25,0.8,0,0,,ca241ad3
Nícolas Andrade,GK,Udinese,32,2.0,0,0,,326d09ef
Davide Angelo Ghislandi,DF,Atalanta,19,0.1,0,0,,0e0e4422
Philip Ankhrah,MF,Hellas Verona,17,0.1,0,0,,f5409698
Cristian Ansaldi,DFFW,Torino,33,21.6,17,6,35.3,bbafc0c4
Valentin Antov,DF,Bologna,19,2.6,1,0,0.0,8f68aa41
Nicolò Armini,DF,Lazio,19,0.1,0,0,,2f7407fa
Tolgay Arslan,MF,Udinese,29,20.2,22,6,27.3,963a328b
Kwadwo Asamoah,DFMF,Cagliari,31,2.5,2,1,50.0,089550f5
Kristoffer Askildsen,MF,Sampdoria,19,1.1,1,0,0.0,a69cc629
Emil Audero,GK,Sampdoria,23,37.0,0,0,,649b01d8
Tommaso Augello,DF,Sampdoria,25,35.7,8,2,25.0,3cd3b384
Kaan Ayhan,DF,Sassuolo,25,8.8,5,0,0.0,2200181e
Milan Badelj,MF,Genoa,31,26.8,17,4,23.5,e8c930bb
Tiemoué Bakayoko,MF,Napoli,25,21.8,16,4,25.0,59bf127b
Keita Baldé,FW,Sampdoria,25,13.3,44,19,43.2,509a4ccb
Botond Balogh,DF,Parma,18,1.8,0,0,,348bafd4
Mattia Bani,DF,Genoa,26,10.2,5,1,20.0,0821331c
Mattia Bani,DF,Parma,26,12.7,8,2,25.0,0821331c
Antonín Barák,MF,Hellas Verona,25,30.7,45,16,35.6,01efac19
Federico Barba,DF,Benevento,26,29.5,13,3,23.1,c010b898
Nicolò Barella,MF,Inter,23,32.2,36,8,22.2,6928979a
Antonio Barreca,DF,Fiorentina,25,0.9,2,1,50.0,6a189491
Musa Barrow,FWMF,Bologna,21,32.5,88,38,43.2,e5bf73f3
Paolo Bartolomei,MF,Spezia,30,3.6,4,0,0.0,6029a945
Daniele Baselli,MF,Torino,28,4.4,5,2,40.0,ea06dd97
Alessandro Bastoni,DF,Inter,21,32.5,10,1,10.0,75b86fb3
Simone Bastoni,DF,Spezia,23,16.9,21,4,19.0,1ac232b8
Bastos,DF,Lazio,29,0.7,0,0,,c01c66d9
Rodrigo Becão,DF,Udinese,24,30.9,10,3,30.0,19e4eab9
Valon Behrami,MF,Genoa,35,9.9,4,1,25.0,d3d758d8
Andrea Belotti,FW,Torino,26,32.1,102,35,34.3,d705ba44
Ahmad Benali,MF,Crotone,28,13.5,10,4,40.0,a128b07e
Ismaël Bennacer,MF,Milan,22,14.7,12,1,8.3,db092d3b
Rodrigo Bentancur,MF,Juventus,23,25.8,15,5,33.3,3b8674e6
Alessandro Berardi,GK,Hellas Verona,29,0.3,0,0,,ec1f737d
Domenico Berardi,FW,Sassuolo,25,27.5,105,32,30.5,53a0e358
Álex Berenguer,MF,Torino,25,1.5,2,2,100.0,dc1c2fce
Bartosz Bereszyński,DF,Sampdoria,28,29.0,3,1,33.3,61b3978f
Federico Bernardeschi,MFDF,Juventus,26,10.8,13,6,46.2,ee93c1a9
Marco Bertini,MF,Lazio,17,0.1,0,0,,4b520f96
Daniel Bessa,MF,Hellas Verona,27,6.8,8,4,50.0,88895312
Cristiano Biraghi,DF,Fiorentina,27,31.1,25,6,24.0,9e1577aa
Davide Biraschi,DF,Genoa,26,10.2,2,0,0.0,64cd167d
Jeremie Boga,FWMF,Sassuolo,23,19.8,32,15,46.9,fe012aca
Giacomo Bonaventura,MF,Fiorentina,30,25.1,44,11,25.0,d995ed27
Federico Bonazzoli,FW,Torino,23,6.3,21,5,23.8,bf57eaab
Federico Bonazzoli,FW,Sampdoria,23,1.5,4,0,0.0,bf57eaab
Kevin Bonifazi,DF,Udinese,24,27.4,17,0,0.0,fb77bfef
Leonardo Bonucci,DF,Juventus,33,22.5,16,3,18.8,52ec54d0
Mehdi Bourabia,MF,Sassuolo,28,5.9,9,3,33.3,0d077b88
Edoardo Bove,MF,Roma,18,0.1,0,0,,ae94a6c5
Jayden Braaf,FW,Udinese,17,1.3,2,2,100.0,c609e90e
Gleison Bremer,DF,Torino,23,32.6,26,9,34.6,5fd5ed86
Marcelo Brozović,MF,Inter,27,28.7,25,4,16.0,33b8d077
Gastón Brugman,MF,Parma,27,18.0,18,8,44.4,e947ee4a
Juan Brunetta,FWMF,Parma,23,5.3,10,5,50.0,d60099bc
Gianluigi Buffon,GK,Juventus,42,8.0,0,0,,e40d028b
Alessandro Buongiorno,DF,Torino,21,9.5,3,0,0.0,4ae67f27
Maxime Busi,DF,Parma,20,13.3,8,2,25.0,7b082ec2
Martín Cáceres,DF,Fiorentina,33,24.9,15,6,40.0,e94d79e3
Felipe Caicedo,FW,Lazio,31,10.3,30,11,36.7,93b891d1
Arturo Calabresi,DFFW,Bologna,24,0.2,0,0,,34bb6fbd
Arturo Calabresi,DF,Cagliari,24,0.2,0,0,,34bb6fbd
Davide Calabria,DF,Milan,23,29.4,24,7,29.2,2146785a
Riccardo Calafiori,DF,Roma,18,0.7,0,0,,aded8e6f
Mattia Caldara,DF,Atalanta,26,1.2,2,0,0.0,ac7e640b
Luca Caldirola,DF,Benevento,29,17.5,7,3,42.9,226008f1
Hakan Çalhanoğlu,MFFW,Milan,26,29.0,82,22,26.8,cd0fa27b
Fabrizio Caligara,MFFW,Cagliari,20,2.0,0,0,,22ca11f1
José Callejón,FWMF,Fiorentina,33,7.4,10,1,10.0,78841da9
Drissa Camara,MF,Parma,18,0.2,0,0,,543d9d2b
Antonio Candreva,MF,Sampdoria,33,27.8,55,18,32.7,356c9002
Elio Capradossi,DF,Spezia,24,1.0,1,0,0.0,174944a3
Gianluca Caprari,MFFW,Benevento,27,20.7,47,15,31.9,54e53b7e
Francesco Caputo,FW,Sassuolo,32,18.9,40,16,40.0,5bd72174
Andrea Carboni,DF,Cagliari,19,12.1,5,0,0.0,f7e2af2c
Giuseppe Caso,DFFW,Genoa,21,0.6,0,0,,099a2de5
Francesco Cassata,DFFW,Genoa,23,2.5,1,1,100.0,96960855
Samu Castillejo,FW,Milan,25,13.1,25,7,28.0,130a7a3f
Gaetano Castrovilli,MF,Fiorentina,23,25.9,32,13,40.6,0728bebe
Danilo Cataldi,MF,Lazio,25,6.3,6,2,33.3,ba3d3bea
Federico Ceccherini,DF,Hellas Verona,28,19.3,12,0,0.0,d9624b51
Federico Ceccherini,DF,Fiorentina,28,3.0,0,0,,d9624b51
Luca Ceppitelli,DF,Cagliari,30,16.3,7,1,14.3,7d50454d
Alberto Cerri,FW,Cagliari,24,4.1,16,6,37.5,1079c685
Julian Chabot,DF,Spezia,22,18.4,9,3,33.3,ae7058f9
Giorgio Chiellini,DF,Juventus,35,15.4,6,0,0.0,e85fb9b8
Federico Chiesa,DF,Fiorentina,22,2.7,10,1,10.0,b0f7e36c
Federico Chiesa,MFDF,Juventus,22,24.6,60,25,41.7,b0f7e36c
Vlad Chiricheș,DF,Sassuolo,30,20.4,12,3,25.0,c316607a
Luca Cigarini,MF,Crotone,34,10.3,15,2,13.3,ae64d449
Antonio Cioffi,FW,Napoli,17,0.1,0,0,,3f1107d5
Ebrima Colley,MFFW,Hellas Verona,20,8.2,17,7,41.2,bf356094
Omar Colley,DF,Sampdoria,27,28.8,12,3,25.0,8b95acda
Simone Colombi,GK,Parma,29,2.0,0,0,,72be9309
Lorenzo Colombo,FW,Milan,18,1.0,4,1,25.0,04df29a5
Andrea Consigli,GK,Sassuolo,33,37.0,0,0,,8cabdc1e
Andrea Conti,DF,Milan,26,0.3,0,0,,8fef5412
Andrea Conti,DF,Parma,26,9.0,5,2,40.0,8fef5412
Alex Cordaz,GK,Crotone,37,36.0,0,0,,e66ebabb
Andreas Cornelius,FW,Parma,27,21.1,30,7,23.3,c693347d
Joaquín Correa,FW,Lazio,25,21.5,53,22,41.5,45b9b619
Félix Correia,MF,Juventus,19,0.1,0,0,,c803c92a
Douglas Costa,MFFW,Juventus,29,0.5,0,0,,4fa7cb9b
Angelo da Costa Júnior,GK,Bologna,36,6.0,0,0,,18736214
Mamadou Coulibaly,MF,Udinese,21,2.0,2,0,0.0,c976160c
Alessio Cragno,GK,Cagliari,26,34.0,0,0,,f554e29b
Gian Crespi,GK,Crotone,19,1.0,0,0,,4dea2f2c
Domenico Criscito,DF,Genoa,33,19.2,5,1,20.0,35dd6d80
Bryan Cristante,DFMF,Roma,25,23.9,28,8,28.6,16657b95
Giovanni Crociata,DF,Crotone,22,0.3,0,0,,8c964914
Juan Cuadrado,DFMF,Juventus,32,24.2,18,6,33.3,0ab1f153
Giuseppe Cuomo,DF,Crotone,22,8.9,2,0,0.0,ae5b04fe
Patrick Cutrone,FW,Fiorentina,22,2.2,3,1,33.3,a4fe8cda
Wylan Cyprien,MF,Parma,25,4.6,6,1,16.7,3e092724
Lennart-Marten Czyborra,DF,Genoa,21,13.0,5,2,40.0,7ba1f1ef
Danilo D'Ambrosio,DF,Inter,31,7.8,8,6,75.0,44eb9093
Bryan Dabo,MF,Benevento,28,12.4,12,2,16.7,c53083ad
Diogo Dalot,DF,Milan,21,12.1,10,5,50.0,d9565625
Mikkel Damsgaard,MFFW,Sampdoria,20,19.7,25,8,32.0,215f3907
Danilo,DFMF,Juventus,29,32.4,19,2,10.5,94b2001f
Andrea Danzi,DF,Hellas Verona,21,1.2,1,0,0.0,263b855a
Ebrima Darboe,MF,Roma,19,3.6,3,0,0.0,cf043a33
