Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Max Aarons,DF,Norwich City,21,32.0,13,2,15.4,774cf58b
Che Adams,FW,Southampton,25,22.7,49,24,49.0,f2bf1b0f
Rayan Aït Nouri,DFMF,Wolves,20,20.3,13,4,30.8,9b398aea
Kristoffer Ajer,DF,Brentford,23,22.2,7,1,14.3,a8c0acb7
Nathan Aké,DF,Manchester City,26,10.3,5,2,40.0,eaeca114
Marc Albrighton,FWDF,Leicester City,31,12.6,4,1,25.0,b827d5b3
Thiago Alcántara,MF,Liverpool,30,17.0,25,6,24.0,77e84962
Trent Alexander-Arnold,DF,Liverpool,22,31.7,51,15,29.4,cd1acf9d
Alisson,GK,Liverpool,28,36.0,0,0,,7a2e46a8
Allan,MF,Everton,30,24.3,7,3,42.9,cc700722
Dele Alli,MF,Tottenham,25,7.3,3,2,66.7,cea4ee8f
Dele Alli,MFFW,Everton,25,3.8,3,0,0.0,cea4ee8f
Miguel Almirón,MFFW,Newcastle Utd,27,19.1,32,7,21.9,862a1c15
Marcos Alonso,DF,Chelsea,30,24.1,43,10,23.3,f4290206
Steven Alzate,MF,Brighton,22,4.5,1,1,100.0,ad1f61f3
Daniel Amartey,DF,Leicester City,26,23.6,2,1,50.0,1a4ef233
Joachim Andersen,DF,Crystal Palace,25,32.4,8,3,37.5,e34fc66d
Michail Antonio,FW,West Ham,31,33.0,82,27,32.9,ac05f970
Cameron Archer,FWMF,Aston Villa,20,0.3,1,0,0.0,05e8ca6d
Alphonse Areola,GK,West Ham,28,1.0,0,0,,2f965a72
Adam Armstrong,FW,Southampton,24,15.7,47,14,29.8,68c720b5
Stuart Armstrong,MF,Southampton,29,16.4,38,9,23.7,97333cf5
Kepa Arrizabalaga,GK,Chelsea,26,4.0,0,0,,28d596a0
Harrison Ashby,DF,West Ham,19,0.1,0,0,,b391383a
Pierre-Emerick Aubameyang,FW,Arsenal,32,11.5,33,16,48.5,d5dd5f1f
Jordan Ayew,FW,Crystal Palace,29,22.4,35,8,22.9,da052c14
Luke Ayling,DF,Leeds United,29,25.2,19,3,15.8,420d7c7d
César Azpilicueta,DF,Chelsea,31,23.0,11,4,36.4,53cad200
Daniel Bachmann,GK,Watford,27,12.0,0,0,,1c0eea98
Leon Bailey,FWMF,Aston Villa,23,8.5,21,8,38.1,3a233281
Eric Bailly,DF,Manchester Utd,27,2.4,0,0,,a1232f4e
