Player,Pos,Squad,Age,90s,Sh,SoT,SoT%,-9999
Yunis Abdelhamid,DF,Reims,33,33.1,18,6,33.3,32c2d95f
Salis Abdul Samed,MF,Clermont Foot,21,27.4,18,5,27.8,82464ce3
Laurent Abergel,MF,Lorient,28,32.8,29,7,24.1,31626657
Charles Abi,FW,Saint-Étienne,21,0.5,0,0,,469d3d84
Matthis Abline,FW,Rennes,18,1.1,2,0,0.0,0e46fa2f
Mohamed Achi,MF,Nantes,19,0.1,0,0,,1e93fc5d
Martin Adeline,MFFW,Reims,17,3.9,4,1,25.0,7587446d
Yacine Adli,MFFW,Bordeaux,21,25.1,32,15,46.9,26777636
Lucien Agoume,MF,Brest,19,20.8,15,1,6.7,8bc8829a
Nayef Aguerd,DF,Rennes,25,30.4,25,7,28.0,288e1e13
Ruben Aguilar,DF,Monaco,28,23.8,10,2,20.0,3dd738a1
Anel Ahmedhodzic,DF,Bordeaux,22,15.0,8,4,50.0,eab957a3
Jean-Eudes Aholou,MF,Strasbourg,27,11.2,17,2,11.8,48b28bfd
Ludovic Ajorque,FW,Strasbourg,27,30.4,56,24,42.9,462475ed
Maghnes Akliouche,MFFW,Monaco,19,0.6,2,1,50.0,b625b241
Sofiane Alakouch,DFMF,Metz,23,1.8,1,0,0.0,5314e067
Josué Albert,DF,Clermont Foot,29,0.2,1,0,0.0,3d738df0
Doğan Alemdar,GK,Rennes,18,12.0,0,0,,9e17ccff
Mohamed Ali Cho,FW,Angers,17,20.4,42,15,35.7,f8405304
Jim Allevinah,FW,Clermont Foot,26,16.5,43,15,34.9,1956b948
Ibrahim Amadou,DFMF,Metz,28,9.0,3,2,66.7,9260926b
Jordan Amavi,DF,Nice,27,4.6,0,0,,22721b88
Jordan Amavi,DFFW,Marseille,27,1.4,0,0,,22721b88
Benjamin André,MF,Lille,30,30.6,18,5,27.8,ef9c1c95
Houssem Aouar,MFFW,Lyon,23,27.8,76,24,31.6,a5db0bec
Adil Aouchiche,MFFW,Saint-Étienne,19,12.0,21,10,47.6,b94b8be1
Dennis Appiah,DF,Nantes,29,23.3,2,0,0.0,feb5d3ab
Lorenz Assignon,DF,Rennes,21,6.8,6,4,66.7,b026bbf6
Youcef Atal,DF,Nice,25,12.7,13,5,38.5,6a827d8e
Jean-Kévin Augustin,FWMF,Nantes,24,0.9,2,0,0.0,97bfa797
Karim Azamoum,DF,Troyes,31,4.3,3,3,100.0,eaf71a5e
Loïc Bade,DF,Rennes,21,10.9,7,0,0.0,114bbdee
Benoît Badiashile,DF,Monaco,20,20.4,14,4,28.6,06df8256
Youssouph Badji,FWMF,Brest,19,1.5,2,0,0.0,6a2b9aee
Stéphane Bahoken,FW,Angers,29,12.2,24,14,58.3,5046b7d4
Dénys Bain,DF,Brest,28,2.0,0,0,,5065d67d
Stefan Bajic,GK,Saint-Étienne,19,5.7,0,0,,be13e5a8
Cédric Bakambu,FW,Marseille,30,4.0,19,8,42.1,0af4dcf0
Abdoulaye Bakayoko,DF,Saint-Étienne,18,3.4,0,0,,ee95585f
Dilane Bakwa,FWMF,Bordeaux,18,0.5,2,1,50.0,2b5a35e5
Ibrahima Baldé,FWMF,Lens,18,0.6,0,0,,a30cb0d4
Leonardo Balerdi,DF,Marseille,22,10.6,2,0,0.0,7c3ed041
Abdoulaye Bamba,DFFW,Angers,31,5.1,1,0,0.0,7fecbcdb
Jonathan Bamba,MFFW,Lille,25,27.0,51,12,23.5,b2bd0f6c
Simon Banza,FW,Lens,24,1.4,6,4,66.7,be47b750
Danilo Barbosa,DF,Nice,25,1.0,0,0,,0557ff4f
Bradley Barcola,FWMF,Lyon,18,2.9,5,2,40.0,a0d55a09
Melvin Bard,DF,Nice,20,28.8,5,2,40.0,1ddbc7ca
Toma Bašić,MF,Bordeaux,24,2.3,2,0,0.0,80556f08
Amine Bassi,MFFW,Metz,23,2.0,4,1,25.0,ced1d98f
Paul Baysse,MFDF,Bordeaux,33,0.1,0,0,,2515040a
Youcef Belaïli,MFFW,Brest,29,9.2,16,6,37.5,1a248246
Haris Belkebla,MF,Brest,27,25.7,4,1,25.0,2b1bed19
Jean-Ricner Bellegarde,MF,Strasbourg,23,25.9,31,7,22.6,10f0fdd3
Jeanöel Belocian,DF,Rennes,16,0.1,0,0,,c678ddd7
Hatem Ben Arfa,FWMF,Lille,34,3.5,3,1,33.3,74dc806c
Salim Ben Seghir,MF,Marseille,18,0.0,0,0,,1f6298f2
Wissam Ben Yedder,FW,Monaco,30,28.1,64,36,56.3,942b4f90
Darío Benedetto,FWMF,Marseille,31,0.6,3,0,0.0,bef0a7ac
Walter Benítez,GK,Nice,28,37.0,0,0,,8a2248b4
Loris Benito,DF,Bordeaux,29,0.7,0,0,,f5b6fb78
Nabil Bentaleb,MF,Angers,26,16.8,15,7,46.7,3189f61a
Patrick Berg,MF,Lens,23,3.4,1,0,0.0,e4114f5d
Mitchell van Bergen,FWMF,Reims,21,10.9,12,5,41.7,0b2c9aec
Valon Berisha,MFFW,Reims,28,5.1,4,0,0.0,d5575935
Paul Bernardoni,GK,Angers,24,13.0,0,0,,28dabd43
Paul Bernardoni,GK,Saint-Étienne,24,19.0,0,0,,28dabd43
Juan Bernat,DFMF,Paris S-G,28,10.6,1,1,100.0,433dc9a2
Dimitry Bertaud,GK,Montpellier,23,9.3,0,0,,380a15e2
Jason Berthomier,MF,Clermont Foot,31,19.2,23,4,17.4,03e91055
Giulian Biancone,DFMF,Troyes,21,25.5,28,9,32.1,de40e38c
El Bilal Touré,FW,Reims,19,13.3,32,10,31.3,47c609d5
Jean-Claude Billong,DF,Clermont Foot,27,10.9,5,1,20.0,a3e1d20d
Nathan Bitu Mazala,DF,Paris S-G,18,0.1,0,0,,0f697e02
Marco Bizot,GK,Brest,30,38.0,0,0,,3d214e5f
Ludovic Blas,MFFW,Nantes,23,32.9,85,32,37.6,6191093d
Myron Boadu,FW,Monaco,20,10.7,21,8,38.1,5b479568
Jérôme Boateng,DF,Lyon,32,18.0,5,3,60.0,2db2fd7b
Antonin Bobichon,MFFW,Angers,25,0.4,0,0,,7d937aa1
Quentin Boisgard,MFFW,Lorient,24,10.6,16,8,50.0,f6496133
Charles Boli,MFDF,Lens,22,0.4,0,0,,bbdd999a
Sven Botman,DF,Lille,21,25.0,15,5,33.3,ccce7025
Denis Bouanga,FWMF,Saint-Étienne,26,27.1,84,30,35.7,0b0cbe5b
Hicham Boudaoui,MF,Nice,21,18.0,16,5,31.3,f9d5908e
Ryad Boudebouz,MFFW,Saint-Étienne,31,25.0,27,9,33.3,1001ae82
Sofiane Boufal,FWMF,Angers,27,25.9,60,24,40.0,b0c71810
Farid Boulaya,MFFW,Metz,28,17.0,19,6,31.6,a0791826
Ismaëlben Boura,DF,Lens,20,1.1,1,0,0.0,62e02107
Benjamin Bourigeaud,FWMF,Rennes,27,35.5,51,21,41.2,20e73fac
Redwan Bourles,MFFW,Lorient,18,0.2,0,0,,5c7895a0
Domagoj Bradarić,DF,Lille,21,4.6,1,0,0.0,8bbe2df5
Bilal Brahimi,MF,Nice,21,4.2,4,0,0.0,02bcaf8e
Bilal Brahimi,FW,Angers,21,3.8,6,2,33.3,02bcaf8e
Lilian Brassier,DF,Brest,21,25.1,11,2,18.2,5b146df3
Jimmy Briand,FWMF,Bordeaux,35,2.5,8,2,25.0,f83c8d6c
Dylan Bronn,DF,Metz,26,28.3,15,7,46.7,edd81e2a
Osman Bukari,FWMF,Nantes,22,11.2,20,9,45.0,eab85789
Maxime Busi,DF,Reims,21,14.4,6,2,33.3,7b082ec2
Oriol Busquets,MF,Clermont Foot,22,2.2,1,0,0.0,49712367
Marcin Bułka,GK,Nice,21,1.0,0,0,,db87a2c4
Rémy Cabella,MFFW,Montpellier,31,3.5,2,0,0.0,148e136f
Jimmy Cabot,DF,Angers,27,22.3,11,3,27.3,46359159
Anthony Caci,DF,Strasbourg,24,26.6,15,4,26.7,0118c54c
Mathieu Cafaro,MFFW,Reims,24,2.1,6,2,33.3,2a657da0
Yannick Cahuzac,MF,Lens,36,6.9,1,0,0.0,677ee102
Marc-Aurèle Caillard,GK,Metz,27,17.1,0,0,,5ee6e943
Jens Cajuste,MFFW,Reims,21,4.0,8,6,75.0,928a4a61
Duje Ćaleta-Car,DF,Marseille,24,22.9,12,4,33.3,94f8d10c
Lucas Calodat,DF,Saint-Étienne,19,0.0,0,0,,7a72e960
Mahdi Camara,MFDF,Saint-Étienne,23,34.1,28,15,53.6,8577e60a
Mamadou Camara,FW,Troyes,20,0.4,1,1,100.0,316e70c7
Eduardo Camavinga,MF,Rennes,18,1.6,0,0,,7b9c2d84
Fali Candé,DF,Metz,23,10.8,6,2,33.3,3cc4bb19
Pierrick Capelle,MFDF,Angers,34,13.3,17,1,5.9,79b2399c
Maxence Caqueret,MF,Lyon,21,25.9,15,2,13.3,f81ef10d
Irvin Cardona,FWMF,Brest,23,14.8,26,12,46.2,5e080f73
Igor Carioca,DF,Lorient,24,17.5,14,6,42.9,e3e32fbb
Moreto Cassamã,MF,Reims,23,8.9,11,7,63.6,f54d2149
Jean-Charles Castelletto,DF,Nantes,26,27.9,16,4,25.0,e0f3a1f6
Zeki Çelik,DF,Lille,24,30.0,23,3,13.0,31a62dc7
Fabien Centonze,DF,Metz,25,17.6,15,7,46.7,3c6bbbab
Leonardo César Jardim,GK,Lille,26,17.0,0,0,,f5dfc256
El Chadaille Bitshiabu,DF,Paris S-G,16,0.1,0,0,,2180c761
Nassim Chadli,MFDF,Troyes,20,1.1,2,0,0.0,5c61496e
Mehdi Chahiri,DF,Strasbourg,25,0.2,0,0,,1787195f
Dylan Chambost,MFFW,Troyes,23,8.4,10,1,10.0,dbde4959
Brendan Chardonnet,DF,Brest,26,29.8,14,6,42.9,16aa7d4c
Xavier Chavalerin,MF,Troyes,30,30.2,31,10,32.3,279ddf6a
Xavier Chavalerin,MF,Reims,30,2.4,3,0,0.0,279ddf6a
Rayan Cherki,FWMF,Lyon,17,4.9,14,3,21.4,b34c63a5
Pedro Chirivella,MF,Nantes,24,29.3,21,6,28.6,68a26d51
Joris Chotard,MF,Montpellier,19,32.6,18,3,16.7,7909ffa4
Alexis Claude-Maurice,MF,Nice,23,2.3,6,1,16.7,741418c3
Jonathan Clauss,DF,Lens,28,33.8,40,16,40.0,5219ab4a
Marcus Coco,MFFW,Nantes,25,10.3,12,3,25.0,3010aefb
Abdu Conté,DF,Troyes,23,15.0,5,1,20.0,cfa49cc1
Sébastien Corchia,DF,Nantes,30,14.7,11,3,27.3,0e7ccfc4
Maxwel Cornet,DF,Lyon,24,0.7,0,0,,beb391dd
David Pereira da Costa,MFFW,Lens,20,16.3,25,8,32.0,59948ef7
