,,,,Play,Play,Play,Play,Perf,Perf,Perf,Perf,-additional
Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,-9999
,,,,,,,,,,,,-9999
Gennaro Acampora,MFFW,Spezia,26,14,2,441,4.9,0,0,2,0,01040647
Francesco Acerbi,DF,Lazio,32,32,32,2813,31.3,0,1,9,1,b96b595c
Andrea Adorante,FW,Parma,20,1,0,10,0.1,0,0,0,0,7005ac66
Lucien Agoume,MF,Spezia,18,12,9,800,8.9,0,0,2,0,8bc8829a
Kevin Agudelo,FW,Spezia,21,29,14,1356,15.1,1,2,4,0,46fa7204
Jean-Daniel Akpa-Akpro,MF,Lazio,27,32,6,1056,11.7,0,1,9,0,fdf4b948
Luis Alberto,MF,Lazio,27,34,33,2618,29.1,9,2,5,0,5294a83f
Bruno Alves,DF,Parma,38,19,18,1632,18.1,1,0,3,0,585a73a8
Wisdom Amey,DF,Bologna,14,1,0,2,0.0,0,0,0,0,35b4bc62
Sofyan Amrabat,MF,Fiorentina,23,31,28,2441,27.1,0,0,7,0,5a2cb25d
Djavan Anderson,DF,Lazio,25,3,1,72,0.8,0,0,0,0,ca241ad3
Nícolas Andrade,GK,Udinese,32,2,2,180,2.0,0,0,0,0,326d09ef
Davide Angelo Ghislandi,DF,Atalanta,19,1,0,5,0.1,0,0,0,0,0e0e4422
Philip Ankhrah,MF,Hellas Verona,17,1,0,13,0.1,0,0,0,0,f5409698
Cristian Ansaldi,DFFW,Torino,33,31,20,1947,21.6,1,6,1,0,bbafc0c4
Valentin Antov,DF,Bologna,19,5,2,232,2.6,0,0,1,0,8f68aa41
Nicolò Armini,DF,Lazio,19,1,0,5,0.1,0,0,0,0,2f7407fa
Tolgay Arslan,MF,Udinese,29,30,25,1818,20.2,3,0,9,0,963a328b
Kwadwo Asamoah,DFMF,Cagliari,31,9,1,224,2.5,0,0,0,0,089550f5
Kristoffer Askildsen,MF,Sampdoria,19,6,0,95,1.1,0,0,2,0,a69cc629
Emil Audero,GK,Sampdoria,23,37,37,3330,37.0,0,1,0,0,649b01d8
Tommaso Augello,DF,Sampdoria,25,37,37,3216,35.7,1,3,2,1,3cd3b384
Kaan Ayhan,DF,Sassuolo,25,19,7,796,8.8,0,0,3,0,2200181e
Milan Badelj,MF,Genoa,31,30,29,2408,26.8,1,4,7,0,e8c930bb
Tiemoué Bakayoko,MF,Napoli,25,32,23,1964,21.8,2,1,6,1,59bf127b
Keita Baldé,FW,Sampdoria,25,25,12,1197,13.3,7,1,4,1,509a4ccb
Botond Balogh,DF,Parma,18,3,1,165,1.8,0,0,1,0,348bafd4
Mattia Bani,DF,Genoa,26,11,10,921,10.2,0,0,4,0,0821331c
Mattia Bani,DF,Parma,26,15,14,1145,12.7,0,0,6,0,0821331c
Antonín Barák,MF,Hellas Verona,25,34,32,2765,30.7,7,3,5,1,01efac19
Federico Barba,DF,Benevento,26,32,31,2659,29.5,0,2,8,0,c010b898
Nicolò Barella,MF,Inter,23,36,32,2896,32.2,3,7,5,0,6928979a
Antonio Barreca,DF,Fiorentina,25,3,1,85,0.9,0,0,0,0,6a189491
Musa Barrow,FWMF,Bologna,21,38,34,2921,32.5,8,8,0,0,e5bf73f3
Paolo Bartolomei,MF,Spezia,30,6,3,320,3.6,0,1,1,0,6029a945
Daniele Baselli,MF,Torino,28,15,3,396,4.4,0,0,2,0,ea06dd97
Alessandro Bastoni,DF,Inter,21,33,33,2922,32.5,0,3,6,0,75b86fb3
Simone Bastoni,DF,Spezia,23,22,19,1522,16.9,1,7,7,0,1ac232b8
Bastos,DF,Lazio,29,2,0,63,0.7,0,0,0,0,c01c66d9
Rodrigo Becão,DF,Udinese,24,35,32,2780,30.9,1,0,5,0,19e4eab9
Valon Behrami,MF,Genoa,35,26,8,892,9.9,0,0,3,1,d3d758d8
Andrea Belotti,FW,Torino,26,35,33,2888,32.1,13,6,4,0,d705ba44
Ahmad Benali,MF,Crotone,28,18,15,1214,13.5,0,1,2,0,a128b07e
Ismaël Bennacer,MF,Milan,22,21,17,1326,14.7,0,2,4,0,db092d3b
Rodrigo Bentancur,MF,Juventus,23,33,27,2324,25.8,0,4,8,1,3b8674e6
Alessandro Berardi,GK,Hellas Verona,29,1,0,28,0.3,0,0,0,0,ec1f737d
Domenico Berardi,FW,Sassuolo,25,30,28,2475,27.5,17,7,4,0,53a0e358
Álex Berenguer,MF,Torino,25,2,2,131,1.5,0,0,0,0,dc1c2fce
Bartosz Bereszyński,DF,Sampdoria,28,31,29,2607,29.0,1,0,2,0,61b3978f
Federico Bernardeschi,MFDF,Juventus,26,27,8,972,10.8,0,2,3,0,ee93c1a9
Marco Bertini,MF,Lazio,17,1,0,5,0.1,0,0,0,0,4b520f96
Daniel Bessa,MF,Hellas Verona,27,18,4,615,6.8,0,2,1,0,88895312
Cristiano Biraghi,DF,Fiorentina,27,35,31,2803,31.1,1,5,8,0,9e1577aa
Davide Biraschi,DF,Genoa,26,13,11,915,10.2,0,0,2,0,64cd167d
Jeremie Boga,FWMF,Sassuolo,23,27,20,1785,19.8,4,2,0,0,fe012aca
Giacomo Bonaventura,MF,Fiorentina,30,34,27,2256,25.1,3,2,5,0,d995ed27
Federico Bonazzoli,FW,Torino,23,20,4,564,6.3,2,2,2,0,bf57eaab
Federico Bonazzoli,FW,Sampdoria,23,2,2,131,1.5,0,1,0,0,bf57eaab
Kevin Bonifazi,DF,Udinese,24,30,28,2469,27.4,0,0,4,0,fb77bfef
Leonardo Bonucci,DF,Juventus,33,26,23,2028,22.5,2,0,4,0,52ec54d0
Mehdi Bourabia,MF,Sassuolo,28,15,4,528,5.9,1,0,2,0,0d077b88
Edoardo Bove,MF,Roma,18,1,0,11,0.1,0,0,0,0,ae94a6c5
Jayden Braaf,FW,Udinese,17,4,1,116,1.3,1,0,0,0,c609e90e
Gleison Bremer,DF,Torino,23,33,33,2935,32.6,5,0,2,0,5fd5ed86
Marcelo Brozović,MF,Inter,27,33,29,2581,28.7,2,6,9,1,33b8d077
Gastón Brugman,MF,Parma,27,26,21,1616,18.0,1,1,7,0,e947ee4a
Juan Brunetta,FWMF,Parma,23,12,4,475,5.3,1,2,3,0,d60099bc
Gianluigi Buffon,GK,Juventus,42,8,8,720,8.0,0,0,0,0,e40d028b
Alessandro Buongiorno,DF,Torino,21,12,9,858,9.5,0,0,4,0,4ae67f27
Maxime Busi,DF,Parma,20,24,11,1195,13.3,0,1,3,0,7b082ec2
Martín Cáceres,DF,Fiorentina,33,29,26,2238,24.9,2,2,4,0,e94d79e3
Felipe Caicedo,FW,Lazio,31,25,9,929,10.3,8,0,5,0,93b891d1
Arturo Calabresi,DFFW,Bologna,24,1,0,20,0.2,0,0,0,0,34bb6fbd
Arturo Calabresi,DF,Cagliari,24,2,0,14,0.2,0,0,0,0,34bb6fbd
Davide Calabria,DF,Milan,23,32,30,2647,29.4,2,1,7,0,2146785a
Riccardo Calafiori,DF,Roma,18,3,1,66,0.7,0,0,2,0,aded8e6f
