,,,,Play,Play,Play,Play,Perf,Perf,Perf,Perf,-additional
Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,-9999
,,,,,,,,,,,,-9999
Max Aarons,DF,Norwich City,21,34,32,2881,32.0,0,2,8,0,774cf58b
Che Adams,FW,Southampton,25,30,23,2039,22.7,7,3,0,0,f2bf1b0f
Rayan Aït Nouri,DFMF,Wolves,20,23,20,1828,20.3,1,2,4,0,9b398aea
Kristoffer Ajer,DF,Brentford,23,24,23,1995,22.2,1,3,5,0,a8c0acb7
Nathan Aké,DF,Manchester City,26,14,10,923,10.3,2,0,0,0,eaeca114
Marc Albrighton,FWDF,Leicester City,31,17,11,1132,12.6,1,2,3,0,b827d5b3
Thiago Alcántara,MF,Liverpool,30,25,17,1534,17.0,1,4,2,0,77e84962
Trent Alexander-Arnold,DF,Liverpool,22,32,32,2853,31.7,2,12,2,0,cd1acf9d
Alisson,GK,Liverpool,28,36,36,3240,36.0,0,1,0,0,7a2e46a8
Allan,MF,Everton,30,28,25,2183,24.3,0,2,7,1,cc700722
Dele Alli,MF,Tottenham,25,10,8,657,7.3,1,0,1,0,cea4ee8f
Dele Alli,MFFW,Everton,25,11,1,338,3.8,0,0,3,0,cea4ee8f
Miguel Almirón,MFFW,Newcastle Utd,27,30,19,1716,19.1,1,0,2,0,862a1c15
Marcos Alonso,DF,Chelsea,30,28,25,2167,24.1,4,4,8,0,f4290206
Steven Alzate,MF,Brighton,22,9,5,404,4.5,0,0,0,0,ad1f61f3
Daniel Amartey,DF,Leicester City,26,28,23,2123,23.6,0,0,4,0,1a4ef233
Joachim Andersen,DF,Crystal Palace,25,34,32,2916,32.4,0,3,4,0,e34fc66d
Michail Antonio,FW,West Ham,31,36,34,2971,33.0,10,8,8,1,ac05f970
Cameron Archer,FWMF,Aston Villa,20,3,0,27,0.3,0,0,0,0,05e8ca6d
Alphonse Areola,GK,West Ham,28,1,1,90,1.0,0,0,0,0,2f965a72
Adam Armstrong,FW,Southampton,24,23,17,1413,15.7,2,2,1,0,68c720b5
Stuart Armstrong,MF,Southampton,29,25,15,1473,16.4,2,0,1,0,97333cf5
Kepa Arrizabalaga,GK,Chelsea,26,4,4,360,4.0,0,0,0,0,28d596a0
Harrison Ashby,DF,West Ham,19,1,0,7,0.1,0,0,0,0,b391383a
Pierre-Emerick Aubameyang,FW,Arsenal,32,14,12,1037,11.5,4,1,3,0,d5dd5f1f
Jordan Ayew,FW,Crystal Palace,29,31,23,2019,22.4,3,3,2,0,da052c14
Luke Ayling,DF,Leeds United,29,26,26,2272,25.2,2,2,4,1,420d7c7d
César Azpilicueta,DF,Chelsea,31,27,24,2070,23.0,1,2,3,0,53cad200
Daniel Bachmann,GK,Watford,27,12,12,1080,12.0,0,0,0,0,1c0eea98
Leon Bailey,FWMF,Aston Villa,23,18,7,761,8.5,1,2,3,0,3a233281
Eric Bailly,DF,Manchester Utd,27,4,3,217,2.4,0,0,1,0,a1232f4e
Folarin Balogun,FW,Arsenal,20,2,1,70,0.8,0,0,0,0,31822f8c
Patrick Bamford,FW,Leeds United,27,9,7,559,6.2,2,2,2,0,93feac6e
Shandon Baptiste,MF,Brentford,23,22,9,910,10.1,1,0,2,1,2886c9b5
Ross Barkley,MFFW,Chelsea,27,6,1,179,2.0,1,0,0,0,3a24769f
Ashley Barnes,FW,Burnley,31,23,8,808,9.0,1,0,4,0,2691c772
Harvey Barnes,FWMF,Leicester City,23,32,24,2101,23.3,6,10,2,0,3ea50f67
Lewis Bate,MF,Leeds United,18,3,1,146,1.6,0,0,0,0,cd4256d3
Mads Bech Sørensen,DF,Brentford,22,11,9,835,9.3,0,0,3,0,30db8574
Jan Bednarek,DF,Southampton,25,31,30,2629,29.2,4,0,10,0,4115ce4e
Donny van de Beek,MF,Manchester Utd,24,8,0,75,0.8,1,0,0,0,50dc94ce
Donny van de Beek,MF,Everton,24,7,5,483,5.4,1,0,1,0,50dc94ce
Asmir Begović,GK,Everton,34,3,3,270,3.0,0,0,0,0,7b4de647
Saïd Benrahma,FWMF,West Ham,25,32,26,2168,24.1,8,6,0,0,5a04fd92
Rodrigo Bentancur,MF,Tottenham,24,17,16,1361,15.1,0,4,5,0,3b8674e6
Christian Benteke,FW,Crystal Palace,30,25,11,1145,12.7,4,1,3,0,ab070c55
Jóhann Berg Guðmundsson,MF,Burnley,30,18,13,1102,12.2,0,1,2,0,f72293fc
Steven Bergwijn,FWMF,Tottenham,23,25,4,565,6.3,3,1,1,0,a29b1131
Ryan Bertrand,DF,Leicester City,31,4,4,337,3.7,0,0,1,0,01226327
Mads Bidstrup,MF,Brentford,20,4,0,41,0.5,0,0,0,0,407db0d5
Yves Bissouma,MF,Brighton,24,26,25,2111,23.5,1,2,10,0,6c203af0
Willy Boly,DF,Wolves,30,10,10,900,10.0,0,0,1,0,a4ac4b8f
Jarrod Bowen,FW,West Ham,24,36,34,2983,33.1,12,10,6,0,79c84d1c
Jarrad Branthwaite,DF,Everton,19,6,4,388,4.3,1,0,0,1,c1949191
Armando Broja,FW,Southampton,19,32,21,1975,21.9,6,0,2,0,97220da2
Josh Brownhill,MF,Burnley,25,35,32,2955,32.8,2,3,10,0,47369df8
Lewis Brunt,MF,Leicester City,20,1,0,24,0.3,0,0,0,0,a2081c6b
Bryan,FWMF,Tottenham,20,9,0,94,1.0,0,0,0,0,7b5ab7f2
Emi Buendía,MFFW,Aston Villa,24,35,22,1899,21.1,4,6,1,0,66b76d44
Dan Burn,DF,Newcastle Utd,29,16,16,1440,16.0,0,1,4,0,b2d31e83
Dan Burn,DF,Brighton,29,13,12,1022,11.4,1,0,4,0,b2d31e83
Jack Butland,GK,Crystal Palace,28,9,8,765,8.5,0,0,0,0,cc70a1d5
Sam Byram,DF,Norwich City,27,15,11,1027,11.4,0,0,3,0,1bf811d4
Willy Caballero,GK,Southampton,39,2,2,180,2.0,0,0,1,0,a179d516
Moisés Caicedo,MF,Brighton,19,8,8,660,7.3,1,1,2,0,16264a81
Dominic Calvert-Lewin,FW,Everton,24,17,15,1283,14.3,5,2,2,0,59e6e5bf
Chem Campbell,MF,Wolves,18,1,0,13,0.1,0,0,0,0,6f711f67
João Cancelo,DF,Manchester City,27,36,36,3227,35.9,1,7,7,0,bd6351cd
Sergi Canós,DFFW,Brentford,24,31,25,2083,23.1,3,2,8,1,1137759d
Todd Cantwell,FWMF,Norwich City,23,8,5,441,4.9,0,0,2,0,f63d8a4b
Matty Cash,DF,Aston Villa,23,38,38,3377,37.5,4,3,8,0,2389cdc2
Timothy Castagne,DF,Leicester City,25,27,22,2127,23.6,1,0,1,0,197640fd
Jonny Castro,DF,Wolves,27,13,10,1024,11.4,2,0,1,0,e28868f3
Craig Cathcart,DF,Watford,32,31,27,2396,26.6,0,1,3,0,89e4b358
Edinson Cavani,FW,Manchester Utd,34,15,7,766,8.5,2,1,0,0,527f063d
Kayky Chagas,FW,Manchester City,18,1,0,7,0.1,0,0,0,0,17734ea0
