,,,,Play,Play,Play,Play,Perf,Perf,Perf,Perf,-additional
Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,-9999
,,,,,,,,,,,,-9999
Yunis Abdelhamid,DF,Reims,33,34,34,2983,33.1,2,0,5,1,32c2d95f
Salis Abdul Samed,MF,Clermont Foot,21,31,29,2462,27.4,1,0,12,3,82464ce3
Laurent Abergel,MF,Lorient,28,34,34,2956,32.8,0,2,9,0,31626657
Charles Abi,FW,Saint-Étienne,21,1,1,45,0.5,0,0,0,0,469d3d84
Matthis Abline,FW,Rennes,18,7,1,103,1.1,0,0,0,0,0e46fa2f
Mohamed Achi,MF,Nantes,19,1,0,10,0.1,0,0,0,0,1e93fc5d
Martin Adeline,MFFW,Reims,17,8,2,352,3.9,0,0,1,0,7587446d
Yacine Adli,MFFW,Bordeaux,21,36,25,2260,25.1,1,7,5,0,26777636
Lucien Agoume,MF,Brest,19,27,21,1868,20.8,0,0,6,0,8bc8829a
Nayef Aguerd,DF,Rennes,25,31,31,2735,30.4,2,2,3,1,288e1e13
Ruben Aguilar,DF,Monaco,28,28,22,2140,23.8,0,2,4,0,3dd738a1
Anel Ahmedhodzic,DF,Bordeaux,22,15,15,1350,15.0,0,1,6,0,eab957a3
Jean-Eudes Aholou,MF,Strasbourg,27,25,11,1004,11.2,1,1,2,0,48b28bfd
Ludovic Ajorque,FW,Strasbourg,27,36,31,2738,30.4,12,8,5,1,462475ed
Maghnes Akliouche,MFFW,Monaco,19,7,0,54,0.6,0,0,1,0,b625b241
Sofiane Alakouch,DFMF,Metz,23,4,0,158,1.8,0,0,1,0,5314e067
Josué Albert,DF,Clermont Foot,29,2,0,22,0.2,0,0,0,0,3d738df0
Doğan Alemdar,GK,Rennes,18,12,12,1080,12.0,0,0,1,0,9e17ccff
Mohamed Ali Cho,FW,Angers,17,32,21,1837,20.4,4,1,6,2,f8405304
Jim Allevinah,FW,Clermont Foot,26,30,13,1488,16.5,1,2,1,0,1956b948
Ibrahim Amadou,DFMF,Metz,28,10,10,812,9.0,1,0,4,0,9260926b
Jordan Amavi,DF,Nice,27,8,4,413,4.6,0,0,1,0,22721b88
Jordan Amavi,DFFW,Marseille,27,2,2,128,1.4,0,0,0,0,22721b88
Benjamin André,MF,Lille,30,33,33,2752,30.6,2,1,12,1,ef9c1c95
Houssem Aouar,MFFW,Lyon,23,36,29,2504,27.8,6,4,1,0,a5db0bec
Adil Aouchiche,MFFW,Saint-Étienne,19,35,11,1081,12.0,0,4,2,0,b94b8be1
Dennis Appiah,DF,Nantes,29,32,22,2099,23.3,0,0,4,0,feb5d3ab
Lorenz Assignon,DF,Rennes,21,20,5,616,6.8,0,2,0,0,b026bbf6
Youcef Atal,DF,Nice,25,17,13,1140,12.7,2,1,4,0,6a827d8e
Jean-Kévin Augustin,FWMF,Nantes,24,7,0,84,0.9,0,0,1,0,97bfa797
Karim Azamoum,DF,Troyes,31,7,4,388,4.3,0,0,2,0,eaf71a5e
Loïc Bade,DF,Rennes,21,14,11,985,10.9,0,1,3,1,114bbdee
Benoît Badiashile,DF,Monaco,20,24,21,1838,20.4,1,0,4,0,06df8256
Youssouph Badji,FWMF,Brest,19,9,1,135,1.5,0,0,0,0,6a2b9aee
Stéphane Bahoken,FW,Angers,29,29,12,1099,12.2,3,1,0,0,5046b7d4
Dénys Bain,DF,Brest,28,2,2,180,2.0,0,0,0,0,5065d67d
Stefan Bajic,GK,Saint-Étienne,19,7,4,510,5.7,0,0,0,0,be13e5a8
Cédric Bakambu,FW,Marseille,30,12,5,356,4.0,4,0,1,0,0af4dcf0
Abdoulaye Bakayoko,DF,Saint-Étienne,18,4,4,307,3.4,0,0,0,0,ee95585f
Dilane Bakwa,FWMF,Bordeaux,18,5,0,43,0.5,0,0,0,0,2b5a35e5
Ibrahima Baldé,FWMF,Lens,18,4,0,58,0.6,0,0,0,0,a30cb0d4
Leonardo Balerdi,DF,Marseille,22,17,10,950,10.6,0,0,4,1,7c3ed041
Abdoulaye Bamba,DFFW,Angers,31,10,4,458,5.1,0,0,1,0,7fecbcdb
Jonathan Bamba,MFFW,Lille,25,31,28,2428,27.0,1,2,3,0,b2bd0f6c
Simon Banza,FW,Lens,24,4,1,124,1.4,1,1,0,0,be47b750
Danilo Barbosa,DF,Nice,25,1,1,90,1.0,0,0,0,0,0557ff4f
Bradley Barcola,FWMF,Lyon,18,11,2,263,2.9,0,1,0,0,a0d55a09
Melvin Bard,DF,Nice,20,33,30,2589,28.8,2,2,3,0,1ddbc7ca
Toma Bašić,MF,Bordeaux,24,3,3,209,2.3,0,1,0,0,80556f08
Amine Bassi,MFFW,Metz,23,5,2,184,2.0,0,0,0,0,ced1d98f
Paul Baysse,MFDF,Bordeaux,33,2,0,11,0.1,0,0,0,0,2515040a
Youcef Belaïli,MFFW,Brest,29,13,11,825,9.2,3,2,2,0,1a248246
Haris Belkebla,MF,Brest,27,31,26,2310,25.7,0,0,2,0,2b1bed19
Jean-Ricner Bellegarde,MF,Strasbourg,23,36,26,2332,25.9,2,3,5,0,10f0fdd3
Jeanöel Belocian,DF,Rennes,16,1,0,12,0.1,0,0,0,0,c678ddd7
Hatem Ben Arfa,FWMF,Lille,34,7,4,314,3.5,0,1,1,0,74dc806c
Salim Ben Seghir,MF,Marseille,18,1,0,1,0.0,0,0,0,0,1f6298f2
Wissam Ben Yedder,FW,Monaco,30,37,29,2529,28.1,25,5,3,0,942b4f90
Darío Benedetto,FWMF,Marseille,31,2,0,54,0.6,0,0,0,0,bef0a7ac
Walter Benítez,GK,Nice,28,37,37,3330,37.0,0,0,2,0,8a2248b4
Loris Benito,DF,Bordeaux,29,1,1,61,0.7,0,0,0,0,f5b6fb78
Nabil Bentaleb,MF,Angers,26,18,18,1515,16.8,1,0,4,0,3189f61a
Patrick Berg,MF,Lens,23,14,2,307,3.4,0,0,0,0,e4114f5d
Mitchell van Bergen,FWMF,Reims,21,20,11,983,10.9,0,0,1,0,0b2c9aec
Valon Berisha,MFFW,Reims,28,13,5,455,5.1,0,1,2,1,d5575935
Paul Bernardoni,GK,Angers,24,13,13,1170,13.0,0,0,0,0,28dabd43
Paul Bernardoni,GK,Saint-Étienne,24,19,19,1710,19.0,0,0,0,0,28dabd43
Juan Bernat,DFMF,Paris S-G,28,15,12,958,10.6,0,0,2,0,433dc9a2
Dimitry Bertaud,GK,Montpellier,23,11,9,833,9.3,0,0,0,0,380a15e2
Jason Berthomier,MF,Clermont Foot,31,29,22,1732,19.2,1,5,0,0,03e91055
Giulian Biancone,DFMF,Troyes,21,33,26,2292,25.5,1,2,10,0,de40e38c
El Bilal Touré,FW,Reims,19,21,15,1194,13.3,2,4,2,0,47c609d5
Jean-Claude Billong,DF,Clermont Foot,27,15,10,980,10.9,0,0,2,0,a3e1d20d
Nathan Bitu Mazala,DF,Paris S-G,18,1,0,11,0.1,0,0,0,0,0f697e02
Marco Bizot,GK,Brest,30,38,38,3420,38.0,0,1,1,0,3d214e5f
