Squad;DF;DM;FW;GK;MF
Atalanta;1.0;1.0;1.0;0.0;3.0
Bologna;0.0;1.0;0.0;0.0;1.0
Cagliari;1.0;0.0;0.0;0.0;0.0
Empoli;2.0;2.0;0.0;0.0;1.0
Fiorentina;0.0;0.0;0.0;1.0;0.0
Genoa;1.0;1.0;0.0;0.0;0.0
Hellas-Verona;0.0;0.0;0.0;0.0;1.0
Internazionale;1.0;0.0;2.0;0.0;1.0
Juventus;2.0;0.0;0.0;0.0;2.0
Lazio;0.0;0.0;0.0;0.0;2.0
Milan;1.0;0.0;1.0;1.0;0.0
Napoli;0.0;0.0;2.0;1.0;5.0
Roma;1.0;0.0;0.0;0.0;0.0
Salernitana;0.0;0.0;0.0;1.0;0.0
Sampdoria;2.0;0.0;0.0;0.0;0.0
Sassuolo;1.0;0.0;2.0;0.0;0.0
Spezia;1.0;0.0;0.0;0.0;1.0
Torino;2.0;0.0;0.0;0.0;1.0
Udinese;2.0;0.0;0.0;0.0;0.0
Venezia;0.0;0.0;0.0;1.0;0.0
