;Squad;DF;DM;FW;GK;MF;score_df_mean;score_mf_mean;score_fw_mean;score_dm_mean;score_gk_mean
0;Atalanta;0.0;2.0;2.0;1.0;2.0;2.02318917673053;3.9240445843470524;6.620125577408346;2.8822002094312738;3.5583538610602394
1;Benevento;1.0;0.0;0.0;0.0;1.0;2.389680764839752;1.1067851657154977;1.5564399981316774;1.143530428137367;-2.488409957992107
2;Bologna;1.0;1.0;0.0;0.0;1.0;2.4705157276623777;2.029961487125798;1.8477012542538713;2.6994822989826703;0.39942928552636614
3;Cagliari;3.0;2.0;0.0;0.0;0.0;3.397288338800947;0.9567639155500762;2.271754093315603;7.52927330877934;0.8583980590036799
4;Crotone;1.0;0.0;0.0;0.0;0.0;2.3446456455153246;1.7212596642970381;1.9906319682679243;0.7084532748254329;0.5419795633749938
5;Fiorentina;1.0;0.0;0.0;0.0;0.0;2.192230422582887;1.0307581393548568;2.5109993923455907;0.84658243794053;1.9848730850812675
6;Genoa;1.0;1.0;0.0;0.0;1.0;2.224530278481364;1.7615570744604352;2.6717242756716786;1.6100279596888918;1.0986339472494464
7;Hellas-Verona;1.0;0.0;0.0;0.0;0.0;2.566978304146168;0.8308363501331328;0.0;0.9601395171089998;0.022707852437762188
8;Internazionale;0.0;0.0;1.0;0.0;0.0;2.1115513634451983;1.697264848142001;3.970730643078517;1.5150586179531293;1.286198622857155
9;Juventus;2.0;0.0;1.0;1.0;1.0;3.7747871345522883;1.7652681703257436;4.151806104768186;0.968057741656652;2.72725871754998
10;Lazio;0.0;0.0;0.0;0.0;1.0;2.0027809996752124;1.4221225987353214;3.6735175012996137;0.0;2.4424482535783625
11;Milan;3.0;1.0;1.0;0.0;1.0;2.814747357208629;2.50317530653375;3.479383822727682;2.2985256140373016;1.914005691579044
12;Napoli;1.0;0.0;1.0;2.0;4.0;2.1023276297050466;3.9390359063515206;3.9158253910374903;0.6346540937434972;4.921870079858904
13;Parma;2.0;0.0;0.0;0.0;0.0;3.0067240576588947;1.4448381762148699;2.0749896431953907;0.7599748374319857;1.5253737717917306
14;Roma;0.0;1.0;0.0;1.0;1.0;1.4866671177851205;2.1003141815018402;3.7015737656431744;1.4806855982017835;2.4612783691224207
15;Sampdoria;1.0;0.0;0.0;0.0;0.0;2.8632508174690594;1.0366311362487675;2.5631124871248856;0.0;2.183006616703983
16;Sassuolo;0.0;1.0;1.0;0.0;0.0;2.898717786543163;1.6535165248766865;4.173720084882206;2.8053269829357417;-0.15664500309997287
17;Spezia;0.0;2.0;1.0;0.0;0.0;2.3097673291041425;0.6091103187765872;2.606990369851142;2.1426296995075518;1.3955490225247758
18;Torino;2.0;0.0;0.0;0.0;1.0;3.7119559896878194;2.251214820161403;2.3300394374564215;0.7256542073731463;1.2784492184606504
19;Udinese;1.0;0.0;0.0;0.0;1.0;3.0322339978007187;1.4271420309539442;1.9268403854822118;0.0;-3.250902998371477
