;index;Squad;DF;DM;FW;GK;MF;score_df_mean_x;score_mf_mean_x;score_fw_mean_x;score_dm_mean_x;score_gk_mean_x;score_df_mean_y;score_mf_mean_y;score_fw_mean_y;score_dm_mean_y;score_gk_mean_y
0;0;Atalanta;1.0;1.0;0.0;0.0;1.0;3.0440241165106072;4.61389203085031;0.0;2.250917270041824;2.4951425264166835;3.0440241165106072;4.61389203085031;0.0;2.250917270041824;2.4951425264166835
1;1;Bologna;0.0;1.0;0.0;0.0;0.0;2.5923570385168713;1.7193522931142216;3.5079379123632823;2.114169129707504;0.5895328198869243;2.5923570385168713;1.7193522931142216;3.5079379123632823;2.114169129707504;0.5895328198869243
2;2;Cremonese;1.0;1.0;0.0;0.0;0.0;2.320933057329803;1.1652956238086587;0.0;3.0666485603293756;2.258266559543066;2.320933057329803;1.1652956238086587;0.0;3.0666485603293756;2.258266559543066
3;3;Empoli;1.0;1.0;0.0;0.0;0.0;;;;;;3.7658084051977996;0.0;2.199248247746079;2.3285073350232337;0.22321917705735927
4;4;Fiorentina;2.0;0.0;0.0;0.0;0.0;2.7910432105811744;2.5169818769924914;3.3092607728415118;1.168157647486161;-3.630906550328138;2.7910432105811744;2.5169818769924914;3.3092607728415118;1.168157647486161;-3.630906550328138
5;5;Hellas-Verona;0.0;1.0;0.0;0.0;0.0;;;;;;0.8732383981492493;0.0;0.0;2.407736231904881;1.2145815946135552
6;6;Internazionale;1.0;2.0;0.0;1.0;2.0;2.7158120064945703;3.5160512237002592;3.6632147740732917;4.3495311343539775;3.993873945051031;2.7158120064945703;3.5160512237002592;3.6632147740732917;4.3495311343539775;3.993873945051031
7;7;Juventus;0.0;0.0;0.0;1.0;1.0;2.842208479408333;2.7890948506655344;3.13006866834523;0.0;4.596907984260573;2.842208479408333;2.7890948506655344;3.13006866834523;0.0;4.596907984260573
8;8;Lazio;1.0;1.0;1.0;1.0;2.0;2.516951507776028;3.5774962546374653;3.5922446865680655;3.793907624361167;3.3780532240075916;2.516951507776028;3.5774962546374653;3.5922446865680655;3.793907624361167;3.3780532240075916
9;9;Lecce;0.0;0.0;0.0;0.0;0.0;2.9649638717042683;0.9868139840172439;2.908392506854035;1.7042023617323494;-4.4050993587944935;2.9649638717042683;0.9868139840172439;2.908392506854035;1.7042023617323494;-4.4050993587944935
10;10;Milan;1.0;0.0;0.0;1.0;0.0;2.9047786415040586;3.0393255292620007;3.4344125125693665;1.541119611320079;4.292356829957298;2.9047786415040586;3.0393255292620007;3.4344125125693665;1.541119611320079;4.292356829957298
11;11;Monza;0.0;0.0;0.0;0.0;0.0;1.8960582287327012;2.0763835895256797;0.0;2.5077758636811063;1.5065962405491358;1.8960582287327012;2.0763835895256797;0.0;2.5077758636811063;1.5065962405491358
12;12;Napoli;1.0;0.0;2.0;0.0;1.0;2.859174505205528;3.699867731483883;5.414386364339498;0.0;2.6571882727535137;2.859174505205528;3.699867731483883;5.414386364339498;0.0;2.6571882727535137
13;13;Roma;1.0;0.0;0.0;0.0;1.0;2.9329015768634137;4.663681542022083;3.0191769067589194;2.227227900947918;-3.841500326270097;2.9329015768634137;4.663681542022083;3.0191769067589194;2.227227900947918;-3.841500326270097
14;14;Salernitana;1.0;0.0;1.0;0.0;0.0;2.4131259012406896;1.9461086849371618;2.9968538795145587;0.0;-6.213697704964154;2.4131259012406896;1.9461086849371618;2.9968538795145587;0.0;-6.213697704964154
15;15;Sampdoria;0.0;1.0;0.0;0.0;0.0;1.9730695206915527;0.20271341457940162;0.0;1.9117161857351654;1.657581139957061;1.9730695206915527;0.20271341457940162;0.0;1.9117161857351654;1.657581139957061
16;16;Sassuolo;1.0;0.0;1.0;0.0;0.0;2.366365078179536;1.9028057049466682;4.163530100490208;2.16196008930196;2.474527936131926;2.366365078179536;1.9028057049466682;4.163530100490208;2.16196008930196;2.474527936131926
17;17;Spezia;1.0;0.0;0.0;0.0;0.0;2.7314892134100983;1.5836777739277421;1.3412054919158511;0.0;0.06688549350858208;2.7314892134100983;1.5836777739277421;1.3412054919158511;0.0;0.06688549350858208
18;18;Torino;1.0;2.0;0.0;0.0;1.0;2.8954445678353156;3.519438525526221;3.0005265734370865;2.043752776909032;0.6001925023214474;2.8954445678353156;3.519438525526221;3.0005265734370865;2.043752776909032;0.6001925023214474
19;19;Udinese;1.0;0.0;0.0;0.0;1.0;2.8025311227397616;2.646192617743633;2.7801899600970112;0.0;1.872180227394371;2.8025311227397616;2.646192617743633;2.7801899600970112;0.0;1.872180227394371
