;Squad;DF;DM;FW;GK;MF;score_df_mean;score_mf_mean;score_fw_mean;score_dm_mean;score_gk_mean
0;Arsenal;1.0;1.0;1.0;0.0;2.0;2.5201472587107334;3.5031098934005036;3.9348634265072606;2.7330544730487887;2.1017864488765667
1;Aston-Villa;1.0;0.0;0.0;0.0;1.0;2.243540640041858;2.6805192565531897;2.733854824536415;1.45079074562822;1.492143152194908
2;Brentford;0.0;0.0;0.0;1.0;0.0;2.616661417743567;1.7227510753489743;2.1760260842448584;2.9420581932608534;2.413769600678054
3;Brighton-and-Hove-Albion;0.0;1.0;0.0;0.0;2.0;2.6032059612292024;2.4002015278537154;2.426688865723797;2.6797069127390705;0.6108084076225193
4;Burnley;3.0;0.0;0.0;0.0;0.0;3.4066555727757564;0.8575528650838549;1.8131083355472686;0.0;1.7382532804375346
5;Chelsea;2.0;2.0;0.0;0.0;2.0;2.792874704771037;3.915636494240902;3.115039271164786;2.5106203148464434;0.6218157133254163
6;Crystal-Palace;1.0;0.0;0.0;0.0;0.0;2.5666453779954184;2.1686679474606834;2.777965661175004;0.0;1.4084527502774997
7;Everton;0.0;0.0;0.0;0.0;1.0;2.1120132290130087;2.3661181067039383;2.131492938374042;-0.013997911635544646;1.3903763855455151
8;Leeds-United;0.0;0.0;0.0;0.0;0.0;2.70610053595957;1.265789670518105;0.0;1.9055792932229483;1.4793603296777396
9;Leicester-City;2.0;1.0;0.0;0.0;3.0;3.352101601307479;3.6055187104290227;3.51338846298999;3.890056710992905;1.1407007183401894
10;Liverpool;0.0;0.0;1.0;1.0;1.0;2.4977913008876405;3.678306581646973;4.340341471369332;0.0;3.5679936442148676
11;Manchester-City;0.0;0.0;5.0;0.0;2.0;1.7450913940877628;4.773648807833711;4.867665091915923;0.0;1.7923791175548058
12;Manchester-United;1.0;0.0;0.0;0.0;1.0;2.5946202388568165;3.5489517464335325;3.510774891686764;1.4847324889058293;1.635408638246298
13;Newcastle-United;2.0;0.0;0.0;1.0;0.0;3.2709428642653284;1.848928042947427;2.3118596491792394;0.0;2.780202754987113
14;Norwich-City;1.0;0.0;0.0;0.0;0.0;2.4985116656419146;1.4097301328824834;2.0092114139476016;3.1936331592831775;1.1401989794430933
15;Southampton;0.0;0.0;0.0;2.0;2.0;2.2894988739381104;3.07777183308463;2.7632975958547337;0.0;4.485519658363751
16;Tottenham-Hotspur;0.0;0.0;0.0;0.0;1.0;2.5952559219027793;3.0138377858602547;3.882458077954744;2.353403120984094;1.7653191566909547
17;Watford;2.0;1.0;0.0;0.0;0.0;3.1270636713032625;1.4643890233402812;1.9995422240887015;2.2241937048586258;0.13566721466235476
18;West-Ham-United;3.0;1.0;0.0;0.0;2.0;3.510739189540857;3.838606492526933;3.2587405609298923;3.490815462451259;0.8953672988118819
19;Wolverhampton-Wanderers;0.0;0.0;0.0;0.0;1.0;2.5665642349961932;2.3113148627304296;1.2630639519513638;0.0;-1.8680755771232378
