;Squad;DF;DM;FW;GK;MF;score_df_mean;score_mf_mean;score_fw_mean;score_dm_mean;score_gk_mean
0;Angers;1.0;0.0;0.0;0.0;0.0;2.9346699235356453;0.8414807331943093;1.7799978064918833;1.3249472470052643;0.9169256581717207
1;Bordeaux;1.0;1.0;0.0;0.0;1.0;2.1081986707158746;2.290421855058532;1.8109531048273115;1.4838421761538725;0.12077270748977087
2;Brest;2.0;0.0;0.0;0.0;2.0;3.216145584102459;1.9954992798277391;1.72532302210749;0.642955169714782;1.0326377635372463
3;Clermont Foot;2.0;1.0;1.0;0.0;1.0;3.332568249438572;2.7349582920207673;3.3459087606645834;1.5233184718078328;0.7537740924030647
4;Lens;0.0;2.0;0.0;0.0;1.0;1.8334691553607023;2.4189903359477385;3.214500667364937;1.8207216828036372;-0.9609902021146128
5;Lille;1.0;0.0;0.0;0.0;0.0;2.767851183465254;1.0144942579550915;1.7935623943320098;0.4149587951777596;0.40527051652660817
6;Lorient;2.0;0.0;0.0;1.0;0.0;3.012938336307999;0.884964247992138;2.558606878551653;1.33807706385379;2.553614111647398
7;Lyon;1.0;0.0;2.0;0.0;2.0;2.9597740865017705;2.1759406203715304;4.86473657435829;1.1794184624062636;0.11609051720123942
8;Marseille;0.0;0.0;0.0;0.0;1.0;2.4103791904672454;1.5536156333502849;3.25701846292583;1.190817555830543;1.0955907604068398
9;Metz;1.0;0.0;0.0;1.0;1.0;3.144424586629906;0.8516373298017953;2.1863017246545158;1.1916558772129249;1.6590527490788385
10;Monaco;0.0;0.0;1.0;0.0;1.0;2.388935942228122;0.9486812034922695;4.247586403475774;0.0;1.5061010672850867
11;Montpellier;1.0;1.0;0.0;0.0;0.0;2.9100190751224746;1.2474710776855211;2.127361501654393;0.815479652753175;1.0516466778770872
12;Nantes;0.0;0.0;0.0;0.0;3.0;2.752124190619006;1.5236261703016551;0.0;0.0;-0.3444662920304282
13;Nice;0.0;0.0;0.0;0.0;1.0;2.967525684529739;1.1910237588897352;2.992854127009096;0.0;1.1923035182330033
14;Paris S-G;1.0;0.0;2.0;2.0;2.0;2.9039185949598423;2.3166834236695393;6.819435414816138;0.0;1.8648436934430022
15;Reims;1.0;2.0;0.0;0.0;1.0;2.998527087421292;1.365729300934391;0.0;2.0947681321040656;0.8777433794071992
16;Rennes;1.0;0.0;0.0;0.0;3.0;2.042774020158476;2.498750601869887;3.1725414959345803;0.0;0.9196188100705922
17;Saint-Étienne;1.0;0.0;0.0;1.0;1.0;3.174713064941124;1.0740403836857049;0.0;0.0;2.955745778697045
18;Strasbourg;0.0;0.0;0.0;0.0;0.0;2.0677473617521107;1.243500312110599;3.4356656856636776;0.0;0.8744059350278561
19;Troyes;2.0;0.0;0.0;0.0;0.0;3.0486099501870445;0.74289361418761;3.2933768765285185;0.0;1.2469998436029086
