;Squad;AIL;DF;DM;GK;MIL;MO;score_df2_mean;score_mil_mean;score_ail_mean;score_dm2_mean;score_gk2_mean;score_mo_mean
0;Atalanta;0.0;1.0;1.0;0.0;0.0;2.0;3.1488879938879992;0.0;0.0;2.473930933563555;1.1066166672039035;3.3139151988375177
1;Bologna;0.0;0.0;0.0;0.0;0.0;1.0;1.5408147671906107;1.7605304154877506;2.0569224468541867;2.3656050083358084;0.822759813397016;2.5518502153418514
2;Cagliari;0.0;1.0;0.0;0.0;3.0;0.0;3.827992433054217;2.0173140535728735;0.0;0.0;0.21662682537523414;0.0
3;Empoli;0.0;2.0;2.0;0.0;0.0;1.0;2.92470214161799;2.254800156300071;0.0;3.1972765953907576;1.317573844849539;2.233804697254079
4;Fiorentina;0.0;0.0;0.0;1.0;2.0;0.0;0.9103820228248232;2.3118217277974296;2.097176756425461;0.0;2.8134424711533135;0.0
5;Genoa;0.0;1.0;1.0;0.0;0.0;0.0;3.462882854575903;0.7711795063097069;0.41555229791286674;3.9393834898276268;1.4743750308379722;0.08200707043988054
6;Hellas-Verona;1.0;0.0;0.0;0.0;0.0;0.0;0.9936947450282658;0.0;6.409702464098064;1.839707112406148;0.5707977436299809;1.7208399909702834
7;Internazionale;0.0;0.0;0.0;0.0;4.0;0.0;2.2356575874557936;2.888322368815017;0.0;0.0;1.54929992279154;0.0
8;Juventus;0.0;2.0;1.0;0.0;2.0;0.0;3.740883691395846;2.658080536176721;1.564715141015544;4.08863606825127;1.2235431990716248;2.500223620802218
9;Lazio;1.0;0.0;0.0;0.0;3.0;0.0;1.1555295116497972;3.7639365911969516;2.84010600624997;0.0;1.0438145405259294;0.0
10;Milan;0.0;1.0;1.0;1.0;0.0;0.0;1.8867920170535968;0.0;2.153109773915788;2.310186170539882;2.956710077901359;0.0
11;Napoli;1.0;0.0;0.0;1.0;0.0;1.0;2.0017220964770854;2.3486060038725705;2.514275464563577;2.2619956305253126;2.838236414204742;2.9914332745091596
12;Roma;1.0;1.0;1.0;0.0;0.0;0.0;1.8070404485638487;1.9140619401777466;3.303998876208717;2.7528787210221943;1.038192896138407;1.1338928226713914
13;Salernitana;0.0;0.0;0.0;1.0;2.0;0.0;2.181159996477503;1.553908388295549;3.539935420225926;1.9693334052953577;2.122440160400848;3.1074354829601982
14;Sampdoria;1.0;2.0;0.0;0.0;0.0;1.0;2.4537536658818;0.9758265158227156;3.6238562594430217;1.123677917714774;1.25377781055218;3.1840760086983595
15;Sassuolo;1.0;1.0;1.0;0.0;0.0;0.0;1.835834564083413;2.2155607433043505;3.837548726086148;2.6397059138002383;-0.45103319647135454;2.2398318809567206
16;Spezia;0.0;1.0;0.0;0.0;1.0;0.0;2.023771504966811;2.845399705005049;2.1901300360004203;0.0;0.410305008622204;1.6460560107795668
17;Torino;0.0;2.0;1.0;0.0;0.0;0.0;2.7041193705212185;1.355839868847899;0.0;1.7021031488671585;-0.3018679728160456;1.9710090994742424
18;Udinese;0.0;2.0;0.0;0.0;1.0;0.0;2.095068266645698;2.332372499563617;0.0;0.0;1.087226125756682;0.0
19;Venezia;1.0;0.0;0.0;1.0;0.0;1.0;2.506802169582011;1.3667060474357244;4.041389174038891;0.0;1.8456334692256193;2.749593668016547
