;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
0;Gennaro Acampora;MF;Spezia;26;14.0;2;441.0;4.9;0.0;0.0;2.0;0.0;01040647;Gennaro AcamporaMFFWSpezia;9;0;0.0;185.0;223.0;83.0;8.0;6.0;4;28.6;4.0;1.0;3.0;4;10.0;4.0;0.0;62.5;12.0;12.0;10;1;7;37.5;;;;;
1;Francesco Acerbi;DF;Lazio;32;32.0;32;2813.0;31.3;0.0;1.0;9.0;1.0;b96b595c;Francesco AcerbiDFLazio;9;0;0.0;1854.0;2097.0;88.4;31.0;51.0;32;45.0;24.0;15.0;9.0;76;127.0;121.0;2.0;75.0;21.0;10.0;31;2;32;71.3;;;;;
2;Andrea Adorante;FW;Parma;20;1.0;0;10.0;0.1;0.0;0.0;0.0;0.0;7005ac66;Andrea AdoranteFWParma;0;0;;1.0;1.0;100.0;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;2.0;0;0;0;0.0;;;;;
3;Lucien Agoume;MF;Spezia;18;12.0;9;800.0;8.9;0.0;0.0;2.0;0.0;8bc8829a;Lucien AgoumeMFSpezia;2;0;0.0;434.0;487.0;89.1;7.0;18.0;10;31.6;10.0;5.0;5.0;15;33.0;10.0;0.0;75.0;9.0;8.0;17;0;1;85.7;;;;;
4;Kevin Agudelo;FW;Spezia;21;29.0;14;1356.0;15.1;1.0;2.0;4.0;0.0;46fa7204;Kevin AgudeloFWSpezia;19;4;21.1;228.0;328.0;69.5;38.0;39.0;28;35.3;30.0;0.0;30.0;10;49.0;2.0;0.0;57.9;35.0;25.0;20;2;11;32.0;;;;;
5;Jean-Daniel Akpa-Akpro;MF;Lazio;27;32.0;6;1056.0;11.7;0.0;1.0;9.0;0.0;fdf4b948;Jean-Daniel Akpa-AkproMFLazio;12;1;8.3;293.0;361.0;81.2;19.0;38.0;25;29.6;24.0;6.0;18.0;18;56.0;13.0;0.0;57.7;26.0;13.0;31;0;4;50.0;;;;;
6;Luis Alberto;MF;Lazio;27;34.0;33;2618.0;29.1;9.0;2.0;5.0;0.0;5294a83f;Luis AlbertoMFLazio;69;29;42.0;1493.0;1946.0;76.7;157.0;43.0;24;20.5;41.0;2.0;39.0;13;56.0;11.0;1.0;53.7;46.0;39.0;19;2;150;45.5;;;;;
7;Bruno Alves;DF;Parma;38;19.0;18;1632.0;18.1;1.0;0.0;3.0;0.0;585a73a8;Bruno AlvesDFParma;10;3;30.0;790.0;931.0;84.9;9.0;13.0;10;77.8;17.0;12.0;5.0;26;39.0;81.0;0.0;50.0;1.0;1.0;20;1;8;89.6;;;;;
8;Wisdom Amey;DF;Bologna;14;1.0;0;2.0;0.0;0.0;0.0;0.0;0.0;35b4bc62;Wisdom AmeyDFBologna;0;0;;5.0;5.0;100.0;1.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;0.0;0;0;0;;;;;;
9;Sofyan Amrabat;DM;Fiorentina;23;31.0;28;2441.0;27.1;0.0;0.0;7.0;0.0;5a2cb25d;Sofyan AmrabatMFFiorentina;10;3;30.0;1210.0;1378.0;87.8;36.0;39.0;22;37.5;30.0;5.0;25.0;23;62.0;12.0;0.0;66.2;33.0;48.0;59;0;16;40.9;;;;Sofyan Amrabat;1.0
