;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Drib_pct;Mis;Dis;Touches;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
0;Oliver Abildgaard;DM;Hellas-Verona;26-290;4.0;0;78.0;0.9;0.0;0.0;0.0;0.0;8f5cdf66;Oliver AbildgaardMFDFHellas Verona;0;0;;11.0;22.0;50.0;1.0;2.0;2;25.0;2.0;0.0;2.0;1;3.0;3.0;0.0;;2.0;0.0;35.0;2;0;0;71.4;;;;Oliver Abildgaard;1.0
1;Tammy Abraham;FW;Roma;25-176;27.0;20;1743.0;19.4;6.0;3.0;1.0;0.0;f586779e;Tammy AbrahamFWRoma;49;23;46.9;269.0;394.0;68.3;58.0;12.0;7;25.0;10.0;4.0;6.0;3;15.0;10.0;0.0;25.9;45.0;24.0;609.0;26;10;6;52.3;;;;;
2;Christian Acella;DM;Cremonese;20-263;1.0;0;15.0;0.2;0.0;0.0;0.0;0.0;771a2cfe;Christian AcellaMFCremonese;0;0;;9.0;9.0;100.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0;1.0;0.0;0.0;;1.0;0.0;11.0;0;0;0;;;;;Christian Acella;1.0
3;Francesco Acerbi;DF;Internazionale;35-045;20.0;17;1605.0;17.8;0.0;1.0;3.0;0.0;b96b595c;Francesco AcerbiDFInter;11;2;18.2;980.0;1120.0;87.5;22.0;24.0;12;75.0;13.0;7.0;6.0;23;47.0;53.0;0.0;50.0;7.0;3.0;1275.0;9;1;15;69.0;;;;;
4;Yacine Adli;MF;Milan;22-241;5.0;1;124.0;1.4;0.0;0.0;1.0;0.0;26777636;Yacine AdliMFFWMilan;2;2;100.0;43.0;65.0;66.2;2.0;6.0;3;100.0;2.0;0.0;2.0;1;7.0;1.0;0.0;100.0;2.0;3.0;83.0;4;1;4;0.0;;;;;
5;Michel Aebischer;MF;Bologna;26-080;23.0;11;1011.0;11.2;1.0;0.0;3.0;0.0;f*9c927de;Michel AebischerFWMFBologna;11;2;18.2;370.0;453.0;81.7;27.0;8.0;3;20.0;11.0;2.0;9.0;5;13.0;6.0;0.0;33.3;22.0;14.0;536.0;14;7;17;23.8;;;;;
6;Felix Afena-Gyan;MF;Cremonese;20-067;16.0;5;605.0;6.7;0.0;0.0;2.0;0.0;0154d290;Felix Afena-GyanFWMFCremonese;15;1;6.7;109.0;143.0;76.2;9.0;6.0;3;28.6;4.0;1.0;3.0;1;7.0;3.0;0.0;30.0;23.0;15.0;232.0;14;4;4;30.8;;;;;
7;Kevin Agudelo;MF;Spezia;24-133;26.0;21;1788.0;19.9;0.0;1.0;3.0;0.0;46fa7204;Kevin AgudeloMFFWSpezia;20;5;25.0;431.0;591.0;72.9;42.0;58.0;29;40.0;33.0;5.0;28.0;9;67.0;6.0;0.0;43.7;52.0;46.0;869.0;30;2;26;36.8;;;;;
8;Ola Aina;DF;Torino;26-170;16.0;9;807.0;9.0;1.0;1.0;5.0;0.0;246d153b;Ola AinaDFTorino;7;3;42.9;370.0;498.0;74.3;26.0;15.0;11;57.1;11.0;2.0;9.0;9;24.0;26.0;0.0;48.8;14.0;6.0;620.0;15;1;31;57.1;;;;;
9;Emanuel Aiwum;DF;Cremonese;22-092;18.0;14;1299.0;14.4;0.0;0.0;3.0;0.0;d810c13b;Emanuel AiwumDFCremonese;3;1;33.3;498.0;640.0;77.8;10.0;46.0;27;71.1;20.0;12.0;8.0;22;68.0;44.0;1.0;28.6;6.0;3.0;791.0;16;0;4;71.4;;;;;
