;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Touches;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
0;Max Aarons;DF;Norwich City;21;34.0;32;2881.0;32.0;0.0;2.0;8.0;0.0;774cf58b;Max AaronsDFNorwich City;13;2;15.4;1107.0;1469.0;75.4;46.0;64.0;44;67.3;39.0;19.0;20.0;28;92.0;96.0;1.0;1841.0;50.0;38.0;23.0;27;1;50;20.6;;;;;
1;Che Adams;FW;Southampton;25;30.0;23;2039.0;22.7;7.0;3.0;0.0;0.0;f2bf1b0f;Che AdamsFWSouthampton;49;24;49.0;304.0;472.0;64.4;51.0;13.0;6;12.5;18.0;2.0;16.0;8;21.0;18.0;0.0;712.0;57.1;59.0;34.0;29;7;8;40.1;;;;;
2;Rayan Aït Nouri;MF;Wolves;20;23.0;20;1828.0;20.3;1.0;2.0;4.0;0.0;9b398aea;Rayan Aït NouriDFMFWolves;13;4;30.8;763.0;1025.0;74.4;45.0;64.0;36;50.0;24.0;2.0;22.0;22;86.0;39.0;1.0;1293.0;51.9;44.0;27.0;14;3;96;56.7;;;;;
3;Kristoffer Ajer;DF;Brentford;23;24.0;23;1995.0;22.2;1.0;3.0;5.0;0.0;a8c0acb7;Kristoffer AjerDFBrentford;7;1;14.3;627.0;892.0;70.3;33.0;29.0;18;61.9;19.0;11.0;8.0;26;55.0;74.0;0.0;1101.0;72.2;25.0;7.0;12;0;17;61.3;;;;;
4;Nathan Aké;DF;Manchester City;26;14.0;10;923.0;10.3;2.0;0.0;0.0;0.0;eaeca114;Nathan AkéDFManchester City;5;2;40.0;796.0;878.0;90.7;5.0;16.0;9;75.0;7.0;5.0;2.0;8;24.0;23.0;0.0;956.0;0.0;4.0;3.0;9;0;1;75.5;;;;;
5;Marc Albrighton;FW;Leicester City;31;17.0;11;1132.0;12.6;1.0;2.0;3.0;0.0;b827d5b3;Marc AlbrightonFWDFLeicester City;4;1;25.0;347.0;558.0;62.2;19.0;31.0;19;21.3;15.0;3.0;12.0;14;45.0;20.0;0.0;705.0;37.5;21.0;8.0;6;2;78;23.5;;;;;
6;Thiago Alcántara;MF;Liverpool;30;25.0;17;1534.0;17.0;1.0;4.0;2.0;0.0;77e84962;Thiago AlcántaraMFLiverpool;25;6;24.0;1340.0;1508.0;88.9;67.0;48.0;29;23.8;22.0;2.0;20.0;26;74.0;13.0;2.0;1700.0;62.5;16.0;13.0;19;0;4;72.1;;;;;
7;Trent Alexander-Arnold;DF;Liverpool;22;32.0;32;2853.0;31.7;2.0;12.0;2.0;0.0;cd1acf9d;Trent Alexander-ArnoldDFLiverpool;51;15;29.4;2039.0;2757.0;74.0;160.0;40.0;23;45.0;22.0;4.0;18.0;43;83.0;40.0;0.0;3036.0;48.7;41.0;19.0;12;11;273;53.6;;;;;
8;Alisson;GK;Liverpool;28;36.0;36;3240.0;36.0;0.0;1.0;0.0;0.0;7a2e46a8;AlissonGKLiverpool;0;0;;1214.0;1388.0;87.5;2.0;3.0;1;60.0;1.0;0.0;1.0;0;3.0;28.0;1.0;1469.0;100.0;1.0;0.0;0;0;0;93.8;75.8;55.6;6.5;;
9;Allan;MF;Everton;30;28.0;25;2183.0;24.3;0.0;2.0;7.0;1.0;cc700722;AllanMFEverton;7;3;42.9;778.0;982.0;79.2;38.0;74.0;44;32.4;40.0;9.0;31.0;23;97.0;39.0;1.0;1259.0;67.7;38.0;24.0;30;0;10;42.3;;;;;
10;Dele Alli;MF;Tottenham;25;10.0;8;657.0;7.3;1.0;0.0;1.0;0.0;cea4ee8f;Dele AlliMFTottenham;3;2;66.7;177.0;228.0;77.6;7.0;14.0;8;29.4;22.0;5.0;17.0;6;20.0;16.0;0.0;339.0;44.4;13.0;19.0;12;2;5;38.9;;;;;
11;Dele Alli;MF;Everton;25;11.0;1;338.0;3.8;0.0;0.0;3.0;0.0;cea4ee8f;Dele AlliMFFWEverton;3;0;0.0;114.0;157.0;72.6;13.0;7.0;2;0.0;7.0;2.0;5.0;6;13.0;10.0;0.0;225.0;35.7;15.0;6.0;9;2;1;52.9;;;;;
12;Miguel Almirón;MF;Newcastle Utd;27;30.0;19;1716.0;19.1;1.0;0.0;2.0;0.0;862a1c15;Miguel AlmirónMFFWNewcastle Utd;32;7;21.9;402.0;511.0;78.7;49.0;47.0;29;25.0;14.0;1.0;13.0;20;67.0;13.0;0.0;728.0;66.7;44.0;24.0;17;9;20;26.3;;;;;
13;Marcos Alonso;DM;Chelsea;30;28.0;25;2167.0;24.1;4.0;4.0;8.0;0.0;f4290206;Marcos AlonsoDFChelsea;43;10;23.3;1142.0;1486.0;76.9;93.0;41.0;29;47.2;29.0;5.0;24.0;43;84.0;53.0;0.0;1791.0;42.9;43.0;25.0;25;3;149;58.8;;;;Marcos Alonso;1.0
14;Steven Alzate;MF;Brighton;22;9.0;5;404.0;4.5;0.0;0.0;0.0;0.0;ad1f61f3;Steven AlzateMFBrighton;1;1;100.0;204.0;233.0;87.6;6.0;10.0;4;57.1;2.0;1.0;1.0;10;20.0;10.0;0.0;292.0;75.0;8.0;3.0;6;0;0;33.3;;;;;
15;Daniel Amartey;DF;Leicester City;26;28.0;23;2123.0;23.6;0.0;0.0;4.0;0.0;1a4ef233;Daniel AmarteyDFLeicester City;2;1;50.0;1399.0;1546.0;90.5;18.0;26.0;13;65.5;30.0;22.0;8.0;21;47.0;93.0;4.0;1752.0;85.7;7.0;1.0;14;1;0;47.1;;;;;
