;Player;Pos;Squad;Age;MP;Starts;Min;90s;Gls;Ast;CrdY;CrdR;-9999;key;Sh;SoT;SoT_pct;Cmp;Att;Cmp_pct;SCA;Tkl;TklW;Tkl_pct;Blocks;Sh_block;Pass;Int;Tkl+Int;Clr;Err;Drib_pct;Mis;Dis;Fls;Off;Crs;duels_aeriens_pct;Save_pct;CS_pct_goal;Stop_pct_goal;PLAYER;DM
0;Yunis Abdelhamid;DF;Reims;33;34.0;34;2983.0;33.1;2.0;0.0;5.0;1.0;32c2d95f;Yunis AbdelhamidDFReims;18;6;33.3;1284.0;1578.0;81.4;22.0;48.0;27;50.0;50.0;25.0;25.0;68;116.0;104.0;0.0;77.8;28.0;13.0;39;0;4;62.0;;;;;
1;Salis Abdul Samed;DM;Clermont Foot;21;31.0;29;2462.0;27.4;1.0;0.0;12.0;3.0;82464ce3;Salis Abdul SamedMFClermont Foot;18;5;27.8;1535.0;1701.0;90.2;50.0;43.0;23;35.1;18.0;1.0;17.0;42;85.0;15.0;0.0;63.4;42.0;30.0;43;0;14;45.9;;;;Salis Abdul Samed;1.0
2;Laurent Abergel;MF;Lorient;28;34.0;34;2956.0;32.8;0.0;2.0;9.0;0.0;31626657;Laurent AbergelMFLorient;29;7;24.1;1342.0;1660.0;80.8;83.0;110.0;60;42.8;58.0;1.0;57.0;55;165.0;13.0;0.0;63.9;52.0;40.0;41;1;37;61.1;;;;;
3;Charles Abi;FW;Saint-Étienne;21;1.0;1;45.0;0.5;0.0;0.0;0.0;0.0;469d3d84;Charles AbiFWSaint-Étienne;0;0;;3.0;7.0;42.9;1.0;0.0;0;0.0;2.0;0.0;2.0;0;0.0;0.0;0.0;;3.0;0.0;1;0;1;;;;;;
4;Matthis Abline;FW;Rennes;18;7.0;1;103.0;1.1;0.0;0.0;0.0;0.0;0e46fa2f;Matthis AblineFWRennes;2;0;0.0;7.0;9.0;77.8;0.0;0.0;0;;2.0;0.0;2.0;0;0.0;1.0;0.0;50.0;1.0;3.0;2;0;0;0.0;;;;;
5;Mohamed Achi;MF;Nantes;19;1.0;0;10.0;0.1;0.0;0.0;0.0;0.0;1e93fc5d;Mohamed AchiMFNantes;0;0;;6.0;9.0;66.7;0.0;0.0;0;;0.0;0.0;0.0;0;0.0;0.0;0.0;;0.0;0.0;0;0;0;;;;;;
6;Martin Adeline;MF;Reims;17;8.0;2;352.0;3.9;0.0;0.0;1.0;0.0;7587446d;Martin AdelineMFFWReims;4;1;25.0;107.0;147.0;72.8;10.0;15.0;11;50.0;0.0;0.0;0.0;11;26.0;6.0;0.0;66.7;8.0;6.0;16;0;11;37.5;;;;;
7;Yacine Adli;MF;Bordeaux;21;36.0;25;2260.0;25.1;1.0;7.0;5.0;0.0;26777636;Yacine AdliMFFWBordeaux;32;15;46.9;906.0;1251.0;72.4;121.0;43.0;27;27.9;33.0;3.0;30.0;37;80.0;11.0;2.0;57.5;59.0;47.0;21;4;114;38.7;;;;;
8;Lucien Agoume;MF;Brest;19;27.0;21;1868.0;20.8;0.0;0.0;6.0;0.0;8bc8829a;Lucien AgoumeMFBrest;15;1;6.7;836.0;996.0;83.9;35.0;51.0;31;51.1;30.0;9.0;21.0;52;103.0;27.0;1.0;68.8;19.0;17.0;31;0;5;47.3;;;;;
9;Nayef Aguerd;DF;Rennes;25;31.0;31;2735.0;30.4;2.0;2.0;3.0;1.0;288e1e13;Nayef AguerdDFRennes;25;7;28.0;1959.0;2204.0;88.9;15.0;27.0;18;58.3;24.0;14.0;10.0;24;51.0;127.0;1.0;83.3;7.0;4.0;20;1;1;65.1;;;;;
10;Ruben Aguilar;DF;Monaco;28;28.0;22;2140.0;23.8;0.0;2.0;4.0;0.0;3dd738a1;Ruben AguilarDFMonaco;10;2;20.0;1435.0;1728.0;83.0;32.0;78.0;53;63.2;19.0;4.0;15.0;44;122.0;57.0;0.0;45.5;31.0;5.0;32;1;64;45.2;;;;;
11;Anel Ahmedhodzic;DF;Bordeaux;22;15.0;15;1350.0;15.0;0.0;1.0;6.0;0.0;eab957a3;Anel AhmedhodzicDFBordeaux;8;4;50.0;766.0;858.0;89.3;20.0;38.0;26;64.5;16.0;8.0;8.0;22;60.0;44.0;0.0;25.0;8.0;5.0;21;0;6;58.1;;;;;
12;Jean-Eudes Aholou;MF;Strasbourg;27;25.0;11;1004.0;11.2;1.0;1.0;2.0;0.0;48b28bfd;Jean-Eudes AholouMFStrasbourg;17;2;11.8;339.0;412.0;82.3;23.0;16.0;9;26.3;8.0;1.0;7.0;19;35.0;7.0;0.0;47.8;21.0;10.0;21;0;6;73.7;;;;;
13;Ludovic Ajorque;FW;Strasbourg;27;36.0;31;2738.0;30.4;12.0;8.0;5.0;1.0;462475ed;Ludovic AjorqueFWStrasbourg;56;24;42.9;653.0;906.0;72.1;84.0;36.0;25;17.5;28.0;3.0;25.0;8;44.0;31.0;1.0;51.9;70.0;36.0;40;14;17;55.5;;;;;
