;team;Formation;year;Poss;age;Dist;Fls;diff_value;PK;coup_arret;nb_top;cluster
0;Atalanta;3-5-2;2021;51.6;25.0;17.119999999999997;14.8;181.91299999999998;0.3;0.8;4.0;2
1;Atalanta;4-5-1;2021;59.5;25.0;16.2;19.5;326.33000000000004;0.5;0.0;4.0;1
2;Atalanta;3-4-3;2022;55.4;24.5;16.379999999999995;13.3;162.7835;0.15;0.65;4.0;2
3;Atalanta;3-5-2;2022;53.0;24.5;16.509090909090908;13.909090909090908;78.58909090909091;0.09090909090909091;0.6363636363636364;4.0;2
4;Atalanta;4-3-3;2022;37.0;24.5;15.0;12.0;-159.79999999999995;0.0;0.0;4.0;0
5;Atalanta;4-5-1;2022;60.666666666666664;24.5;16.76666666666667;15.0;183.97333333333336;0.0;1.0;4.0;2
6;Atalanta;3-4-3;2023;53.333333333333336;26.400000000000002;18.733333333333334;12.777777777777779;152.61222222222221;0.3333333333333333;0.0;4.0;2
7;Atalanta;3-5-2;2023;48.285714285714285;26.399999999999995;16.97857142857143;12.714285714285714;74.63714285714286;0.14285714285714285;0.7142857142857143;4.0;2
8;Atalanta;4-5-1;2023;44.0;26.4;17.299999999999997;10.0;4.924999999999983;0.5;0.5;4.0;3
9;Benevento;3-5-2;2021;37.0;27.4;17.8;13.8;-176.716;0.4;0.8;2.0;0
10;Benevento;4-5-1;2021;45.15;27.399999999999988;18.225;12.3;-241.58199999999997;0.05;0.6;2.0;0
11;Bologna;4-5-1;2021;49.92;24.10000000000001;18.904000000000003;14.56;-119.77160000000002;0.04;0.76;3.0;3
12;Bologna;3-4-3;2022;49.857142857142854;23.699999999999992;19.72857142857143;11.785714285714286;-58.13214285714288;0.14285714285714285;0.7857142857142857;1.0;3
13;Bologna;3-5-2;2022;50.266666666666666;23.699999999999992;17.426666666666666;10.6;-130.44;0.06666666666666667;0.4666666666666667;1.0;3
14;Bologna;4-3-3;2022;41.0;23.7;15.4;14.0;-212.55;0.0;2.0;1.0;0
15;Bologna;4-5-1;2022;58.4;23.7;16.3;14.6;-21.774000000000008;0.2;1.0;1.0;3
16;Bologna;3-4-3;2023;50.0;25.6;15.85;16.0;-6.415000000000015;0.0;1.0;1.0;3
17;Bologna;3-5-2;2023;50.5;25.599999999999998;21.516666666666666;10.0;-85.84666666666668;0.3333333333333333;0.0;1.0;3
18;Bologna;4-3-3;2023;56.0;25.600000000000005;19.099999999999998;12.666666666666666;-143.28333333333333;0.0;0.6666666666666666;1.0;0
19;Bologna;4-5-1;2023;53.142857142857146;25.6;18.407142857142862;13.071428571428571;-86.11357142857143;0.14285714285714285;0.5;1.0;3
20;Cagliari;3-5-2;2021;41.18181818181818;25.400000000000002;18.081818181818186;15.545454545454545;-102.61999999999998;0.2727272727272727;0.7272727272727273;2.0;3
21;Cagliari;4-5-1;2021;46.23076923076923;25.4;16.876923076923074;13.307692307692308;-99.93769230769229;0.0;0.7692307692307693;2.0;3
22;Cagliari;3-4-3;2022;58.0;25.0;15.0;17.0;56.03;1.0;1.0;1.0;2
23;Cagliari;3-5-2;2022;45.370370370370374;25.0;17.34444444444444;15.074074074074074;-127.52851851851848;0.037037037037037035;0.6296296296296297;1.0;3
24;Cagliari;4-4-2;2022;38.0;25.0;19.325;13.0;-218.3825;0.0;1.0;1.0;0
25;Cagliari;4-5-1;2022;37.0;25.0;19.35;10.0;-229.58500000000004;0.5;2.0;1.0;0
26;Crotone;3-5-2;2021;47.24;26.0;19.208000000000002;13.96;-239.4704;0.16;0.96;1.0;0
27;Empoli;4-3-3;2022;48.0;24.5;19.2;10.0;-272.25;0.0;0.0;3.0;0
28;Empoli;4-4-2;2022;47.62068965517241;24.5;18.717241379310344;12.827586206896552;-154.12586206896555;0.2413793103448276;0.4482758620689655;3.0;0
29;Empoli;4-5-1;2022;46.666666666666664;24.5;19.516666666666666;15.5;-120.10666666666668;0.0;0.5;3.0;3
30;Empoli;4-3-3;2023;53.0;25.0;19.6;10.0;-226.2;0.0;1.0;3.0;0
31;Empoli;4-4-2;2023;47.125;25.0;18.687500000000004;12.166666666666666;-141.74875;0.0;0.7916666666666666;3.0;0
32;Empoli;4-5-1;2023;46.0;25.0;13.4;10.0;-171.59999999999997;0.0;0.0;3.0;0
33;Fiorentina;3-5-2;2021;43.608695652173914;25.7;17.630434782608692;13.695652173913043;5.71434782608697;0.21739130434782608;0.8260869565217391;1.0;3
34;Fiorentina;4-5-1;2021;54.5;25.7;14.0;13.5;46.735;0.0;1.0;1.0;2
35;Fiorentina;4-3-3;2022;57.666666666666664;25.399999999999988;17.088888888888885;12.027777777777779;67.75694444444446;0.2222222222222222;0.2222222222222222;1.0;2
36;Fiorentina;4-4-2;2022;54.0;25.4;17.6;16.0;-151.43;0.0;1.0;1.0;0
37;Fiorentina;4-3-3;2023;59.0;26.300000000000008;17.76153846153846;13.076923076923077;-71.16538461538461;0.15384615384615385;0.6153846153846154;1.0;3
38;Fiorentina;4-5-1;2023;53.8;26.300000000000004;17.880000000000003;12.6;58.53300000000003;0.1;0.2;1.0;2
39;Genoa;3-5-2;2021;46.30434782608695;26.5;18.604347826086958;13.26086956521739;-172.6713043478261;0.08695652173913043;0.9130434782608695;3.0;0
40;Genoa;4-5-1;2021;51.0;26.5;19.9;10.0;-283.72;0.0;0.0;3.0;0
41;Genoa;3-5-2;2022;43.833333333333336;26.100000000000005;17.875;13.583333333333334;-143.8066666666667;0.08333333333333333;0.25;2.0;0
42;Genoa;4-3-3;2022;51.0;26.1;13.5;27.0;-21.02000000000001;0.0;0.0;2.0;3
43;Genoa;4-4-2;2022;47.666666666666664;26.100000000000005;23.099999999999998;13.666666666666666;-41.30666666666668;0.0;1.3333333333333333;2.0;3
44;Genoa;4-5-1;2022;43.578947368421055;26.100000000000012;19.52105263157895;16.0;-156.5784210526316;0.2631578947368421;0.8947368421052632;2.0;0
45;Hellas-Verona;4-5-1;2021;41.0;24.2;13.9;15.0;-169.11999999999995;0.0;0.0;1.0;0
46;Hellas-Verona;3-4-3;2022;49.4;24.700000000000006;17.14333333333333;14.633333333333333;-105.48833333333339;0.16666666666666666;0.6;1.0;3
47;Hellas-Verona;3-5-2;2022;54.2;24.7;20.759999999999998;14.8;-118.87200000000003;0.4;0.4;1.0;3
48;Hellas-Verona;3-4-3;2023;43.266666666666666;26.199999999999992;19.39333333333333;13.4;-128.138;0.0;0.5333333333333333;1.0;3
49;Hellas-Verona;3-5-2;2023;42.3;26.199999999999996;17.48;15.6;-166.88500000000002;0.0;0.4;1.0;0
50;Internazionale;3-5-2;2021;50.5;25.200000000000003;16.707692307692305;12.307692307692308;392.731923076923;0.19230769230769232;0.46153846153846156;1.0;1
51;Internazionale;3-5-2;2022;56.18181818181818;27.200000000000014;16.13939393939394;12.0;292.19606060606054;0.15151515151515152;0.42424242424242425;3.0;1
52;Internazionale;3-5-2;2023;55.608695652173914;28.3;16.83913043478261;12.08695652173913;333.8895652173913;0.17391304347826086;0.7391304347826086;3.0;1
53;Juventus;3-5-2;2021;60.8;24.7;18.16;13.6;430.25999999999993;0.0;0.8;4.0;1
54;Juventus;4-5-1;2021;52.0;24.7;18.8;10.0;306.97;1.0;1.0;4.0;1
55;Juventus;3-5-2;2022;42.0;25.0;16.3;15.333333333333334;418.74666666666667;0.6666666666666666;1.3333333333333333;3.0;1
56;Juventus;4-3-3;2022;45.714285714285715;25.0;17.3;12.714285714285714;355.3757142857143;0.0;0.5714285714285714;3.0;1
57;Juventus;4-4-2;2022;53.05555555555556;25.0;17.183333333333334;13.38888888888889;390.69055555555565;0.1111111111111111;0.2777777777777778;3.0;1
58;Juventus;4-5-1;2022;52.333333333333336;25.0;17.76666666666667;13.0;370.8433333333334;0.0;0.8333333333333334;3.0;1
59;Juventus;3-4-3;2023;45.0;26.9;12.7;11.0;184.4;0.0;0.0;3.0;2
